Row	ID	AllWeights	AllProperties
0	:N3190	1 sneetje=25g|1 sneetje zonder korst=12g|1 kop (kruimels)=45g|1 kop (blokjes)=35g|1 grote sneetje (blokjes)=30g|1 dun plakje=20g|1 dun plakje zonder korst (blokjes)=9g|1 zeer dun plakje (blokjes)=15g	03231|0410.6|053|0635.6|079.8|1233|132|14236|15434|090.6|100.8|111.2|160.7
1	:N3190	1 sneetje=25g|1 sneetje zonder korst=12g|1 kop (kruimels)=45g|1 kop (blokjes)=35g|1 grote sneetje (blokjes)=30g|1 dun plakje=20g|1 dun plakje zonder korst (blokjes)=9g|1 zeer dun plakje (blokjes)=15g	03231|0410.6|053|0635.6|079.8|1233|132|14236|15434|090.6|100.8|111.2|160.7
2	:N1972	1 koekje (6 cm)=35g|1 medium=51g|1 grote=77g|1 kleine=35g	03466|045.3|0521.7|0661.6|071.6|1224|130.7|14112|15210|180.2|0911.2|105.6|111.7|1655.6
3	:N0920	1 middelgrote stengel (19 cm - 20 cm)=180g|0.5 kop (gehakte)=92g|1 speer (ongeveer 12 cm)=37g|1 grote stengel (12 cm - 15 cm)=280g|1 kleine stengel (12 cm)=140g	0327|043.9|050.3|060.8|072.7|1233|130.9|14399|155|1738|090.1|110.2
4	:N1391	1 sneetje=8g|1 dun plakje=5g|1 dikke sneetje=12g|1 dikke sneetje=12g	03424|0425.7|0535.5|060.3|128|130.8|14380|151176|180.6|0911.6|1014.6|115.6|1650
5	:N0286	1 kopje=237g|1 klein kopje=178g|1 grote kop=356g	0346|043.4|051.5|064.6|12122|14162|1539|171|091|100.3|165.6
6	:N3190	1 sneetje=25g|1 sneetje zonder korst=12g|1 kop (kruimels)=45g|1 kop (blokjes)=35g|1 grote sneetje (blokjes)=30g|1 dun plakje=20g|1 dun plakje zonder korst (blokjes)=9g|1 zeer dun plakje (blokjes)=15g	03231|0410.6|053|0635.6|079.8|1233|132|14236|15434|090.6|100.8|111.2|160.7
7	:N1391	1 sneetje=8g|1 dun plakje=5g|1 dikke sneetje=12g|1 dikke sneetje=12g	03424|0425.7|0535.5|060.3|128|130.8|14380|151176|180.6|0911.6|1014.6|115.6|1650
8	:N0431	1 kopje=237g|1 klein kopje=178g|1 grote kop=356g	03553|046.9|0534.2|0653|072.8|12162|133.2|14404|1570|171|0920.7|1010.6|111.2|1618
9	:U08020	1 kopje=28g	03357|047.5|050.4|0684.1|073.3|089.5|127|1328.9|14168|15729|183.6|1721|090.116|100.067|110.196
10	:N0646	1 kopje=140g	03121|045.7|055.5|0612|070.3|1213|131.2|14141|15180|180.2|092.4|102.2|110.3|1610
11	:N1809	1 sneetje=28g|1 kop (in blokjes gesneden)=132g|1 kop (versnipperd)=113g|1 kop (gesmolten)=244g|1 kubieke inch=17g|1 pakket (gesmolten)=170g	03357|0425.4|0527.3|12830|130.4|1481|15720|180.8|0917.8|106|110.8|1670.5
12	:U21299	1 sneetje=118g|1 pizza=946g	03266|0411.39|059.69|0633.33|072.3|083.58|12188|132.48|14172|15598|171.4|094.465|102.608|111.681|1617
13	:N1809	1 sneetje=28g|1 kop (in blokjes gesneden)=132g|1 kop (versnipperd)=113g|1 kop (gesmolten)=244g|1 kubieke inch=17g|1 pakket (gesmolten)=170g	03357|0425.4|0527.3|12830|130.4|1481|15720|180.8|0917.8|106|110.8|1670.5
14	:N3190	1 sneetje=25g|1 sneetje zonder korst=12g|1 kop (kruimels)=45g|1 kop (blokjes)=35g|1 grote sneetje (blokjes)=30g|1 dun plakje=20g|1 dun plakje zonder korst (blokjes)=9g|1 zeer dun plakje (blokjes)=15g	03231|0410.6|053|0635.6|079.8|1233|132|14236|15434|090.6|100.8|111.2|160.7
15	:N1972	1 koekje (6 cm)=35g|1 medium=51g|1 grote=77g|1 kleine=35g	03466|045.3|0521.7|0661.6|071.6|1224|130.7|14112|15210|180.2|0911.2|105.6|111.7|1655.6
16	:N0122	10 fiches=12g|1 kopje=34g|1 zak=168g	03542|046.3|0533.3|0652.4|074|1227|132.3|141048|15587|1711|095.9|1019.6|115.7
17	:N0122	10 fiches=12g|1 kopje=34g|1 zak=168g	03542|046.3|0533.3|0652.4|074|1227|132.3|141048|15587|1711|095.9|1019.6|115.7
18	:N0644	1 kopje=237g|1 klein kopje=178g|1 grote kop=356g	031|040.2|060.1|124|130.2|1478|151
19	:N0122	10 fiches=12g|1 kopje=34g|1 zak=168g	03542|046.3|0533.3|0652.4|074|1227|132.3|141048|15587|1711|095.9|1019.6|115.7
20	:N1391	1 sneetje=8g|1 dun plakje=5g|1 dikke sneetje=12g|1 dikke sneetje=12g	03424|0425.7|0535.5|060.3|128|130.8|14380|151176|180.6|0911.6|1014.6|115.6|1650
21	:U08037	1 kopje=122g	03489|0414.85|0524.06|0653.25|079|0820|1278|134.23|14540|1525|171.2|094.058|109.527|119.218
22	:N0920	1 middelgrote stengel (19 cm - 20 cm)=180g|0.5 kop (gehakte)=92g|1 speer (ongeveer 12 cm)=37g|1 grote stengel (12 cm - 15 cm)=280g|1 kleine stengel (12 cm)=140g	0327|043.9|050.3|060.8|072.7|1233|130.9|14399|155|1738|090.1|110.2
23	:N0286	1 kopje=237g|1 klein kopje=178g|1 grote kop=356g	0346|043.4|051.5|064.6|12122|14162|1539|171|091|100.3|165.6
24	:N2811	1 sneetje=25g|1 sneetje zonder korst=12g|1 kop (kruimels)=45g|1 kop (blokjes)=35g|1 grote sneetje (blokjes)=30g|1 dun plakje=20g|1 dun plakje zonder korst (blokjes)=9g|1 zeer dun plakje (blokjes)=15g	03233|0410.9|052.1|0639.3|076.6|1233|132|14217|15466|090.4|100.6|110.9|160.7
25	:N0689	1 avocado=201g|1 kop (gepureerd)=230g|1 kop (blokjes)=150g|1 kop (gesneden)=146g	03199|041.9|0519.5|061.8|074.3|1211|130.4|14377|153|176|092.2|1013.9|111.7
26	:N2811	1 sneetje=25g|1 sneetje zonder korst=12g|1 kop (kruimels)=45g|1 kop (blokjes)=35g|1 grote sneetje (blokjes)=30g|1 dun plakje=20g|1 dun plakje zonder korst (blokjes)=9g|1 zeer dun plakje (blokjes)=15g	03233|0410.9|052.1|0639.3|076.6|1233|132|14217|15466|090.4|100.6|110.9|160.7
27	:N2476	1 kopje=237g|1 klein kopje=178g|1 grote kop=356g	0313|040.8|050.7|060.8|070.3|1222|130.2|14104|158|090.4|100.2|161.5
28	:N0301	1 container=245g|1 middelgrote container=184g|1 kleine container=123g	0338|044.2|050.3|064.1|12150|14155|1542|090.2|100.1|162.7
29	:N0455	2 eetlepels=32g	03675|0422.4|0557.2|0613.6|078|1250|131.4|14537|15250|098.3|1034.9|1111.1
30	:N1972	1 koekje (6 cm)=35g|1 medium=51g|1 grote=77g|1 kleine=35g	03466|045.3|0521.7|0661.6|071.6|1224|130.7|14112|15210|180.2|0911.2|105.6|111.7|1655.6
31	:U01003	1 eetlepel=14g|1 theelepel=4g|1 pat (sq 2 cm, 1 cm)=5g|1 kopje=227g|1 stick (2 cm sq, 1 cm)=113g	03876|040.28|0599.48|124|145|152|181.8|0961.924|1028.732|113.694|16256
32	:N0165	1 medium (6 cm)=88g|1 klein (6 cm)=76g|1 grote (7 cm)=120g|1 kop (secties)=195g	0345|040.7|050.1|069.8|070.9|1225|130.1|14145|151|1740|110.1
33	:U08122	0.333 cup=27g|1 kopje=81g	03362|0411.92|056.9|0669.52|0710|081.5|12351|1324.72|14366|15220|091.346|102.325|112.533
34	:N0258	1 ronde (4 cm)=10g|1 ovale object (8 cm x 3 cm x 1 cm)=15g|1 oz=28.35g	03476|046.1|0520|0666.5|073|1240|131.7|14211|15313|180.2|099.4|105.6|112.1|1621.3
35	:N0443	1 eetl=21g	03321|040.3|0680|127|130.8|1455|1510|174
36	:N1904	0.5 cup=91g	0331|041.9|050.4|063.6|072.5|1244|130.7|14226|1546|1715|090.1|110.2|160.4
37	:N0301	1 container=245g|1 middelgrote container=184g|1 kleine container=123g	0338|044.2|050.3|064.1|12150|14155|1542|090.2|100.1|162.7
38	:N0286	1 kopje=237g|1 klein kopje=178g|1 grote kop=356g	0346|043.4|051.5|064.6|12122|14162|1539|171|091|100.3|165.6
39	:N1391	1 sneetje=8g|1 dun plakje=5g|1 dikke sneetje=12g|1 dikke sneetje=12g	03424|0425.7|0535.5|060.3|128|130.8|14380|151176|180.6|0911.6|1014.6|115.6|1650
40	:N2793	1 sneetje=25g|1 sneetje zonder korst=12g|1 kop (kruimels)=45g|1 kop (blokjes)=35g|1 grote sneetje (blokjes)=30g|1 dun plakje=20g|1 dun plakje zonder korst (blokjes)=9g|1 zeer dun plakje (blokjes)=15g	03269|049.8|051.2|0653.4|072.8|1227|130.9|14119|15468|090.3|100.2|110.5|161
41	:U21299	1 sneetje=118g|1 pizza=946g	03266|0411.39|059.69|0633.33|072.3|083.58|12188|132.48|14172|15598|171.4|094.465|102.608|111.681|1617
42	:N0445	1 eetl=20g|1 pakje=14g	03246|040.3|0660.7|070.9|128|130.4|1469|1510|173
43	:N0286	1 kopje=237g|1 klein kopje=178g|1 grote kop=356g	0346|043.4|051.5|064.6|12122|14162|1539|171|091|100.3|165.6
44	:N2559	1 eetlepel=14g|1 theelepel=4g|1 pat (sq 2 cm, 1 cm)=5g|1 kopje=227g|1 stick (2 cm sq, 1 cm)=113g	03318|0535|060.8|1210|130.1|1442|1510|187.5|098.6|106.7|1117.3|161
45	:N1056	1 kiwi=86g|1 kop (gesneden)=186g	0368|040.9|050.8|0612.2|072.3|1230|130.4|14312|153|1779|090.2|110.4
46	:N0301	1 container=245g|1 middelgrote container=184g|1 kleine container=123g	0338|044.2|050.3|064.1|12150|14155|1542|090.2|100.1|162.7
47	:N0689	1 avocado=201g|1 kop (gepureerd)=230g|1 kop (blokjes)=150g|1 kop (gesneden)=146g	03199|041.9|0519.5|061.8|074.3|1211|130.4|14377|153|176|092.2|1013.9|111.7
48	:N2793	1 sneetje=25g|1 sneetje zonder korst=12g|1 kop (kruimels)=45g|1 kop (blokjes)=35g|1 grote sneetje (blokjes)=30g|1 dun plakje=20g|1 dun plakje zonder korst (blokjes)=9g|1 zeer dun plakje (blokjes)=15g	03269|049.8|051.2|0653.4|072.8|1227|130.9|14119|15468|090.3|100.2|110.5|161
49	:U14209	1 kopje=237g|1 klein kopje=178g|1 grote kop=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
50	:U18229	5 ronde crackers=16g|1 vierkant=3g|1 grote kraker=10g|1 rechthoekig=4g|1 sandwich kraker=7g|1 kop (beet grootte)=62g	03504|046.6|0525.83|0661.37|072.1|087.45|1295|133.81|14111|15748|095.4|106.652|1112.597
51	:U01117	1 container=245g|1 middelgrote container=184g|1 kleine container=123g	0363|045.25|051.55|067.04|087.04|12183|130.08|14234|1570|170.8|091|100.426|110.044|166
52	:N0042	0.5 cup=35g|1 kop (versnipperd)=70g|1 blad (versnipperd)=15g|1 kop (gehakte)=89g|1 grote kool (ongeveer 18 cm)=1248g|1 grote blad (ongeveer 18 cm)=33g|1 middelgrote kool (ongeveer 14 cm)=908g|1 middelgrote blad (ongeveer 14 cm)=23g	0323|041.3|063|072.9|1242|130.3|14275|159|1738
53	:N2734	1 medium (6 cm)=123g|1 kopje=240g|1 slice (1 cm)=20g|1 grote (8 cm)=182g|1 wig (1/4 van middellange tomaat)=31g|1 dik/groot segment (1 cm)=27g|1 kleine tomaat (6 cm)=91g	0323|040.7|050.5|063.1|071.4|129|130.4|14266|152|1718|090.1|100.1|110.3
54	:U01123	1 medium=44g|1 grote=50g|1 extra grote=56g|1 jumbo=63g|1 kopje=243g|1 kleine=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
55	:N0517	2 eetlepel=32g|1 pot=142g	03152|0417|057.8|063.3|070.5|12498|130.1|14105|151080|180.2|171|094.4|102.2|110.2|1639.8
56	:N0516	2 eetlepel=32g|1 pot=142g	03227|0416|0517|062|12500|130.1|14135|151048|180.4|171|099.5|104.8|110.5|1660
57	:N0645	1 kopje=237g|1 klein kopje=178g|1 grote kop=356g	125|148|152
58	:N0646	1 kopje=140g	03121|045.7|055.5|0612|070.3|1213|131.2|14141|15180|180.2|092.4|102.2|110.3|1610
59	:N0689	1 avocado=201g|1 kop (gepureerd)=230g|1 kop (blokjes)=150g|1 kop (gesneden)=146g	03199|041.9|0519.5|061.8|074.3|1211|130.4|14377|153|176|092.2|1013.9|111.7
60	:N2559	1 eetlepel=14g|1 theelepel=4g|1 pat (sq 2 cm, 1 cm)=5g|1 kopje=227g|1 stick (2 cm sq, 1 cm)=113g	03318|0535|060.8|1210|130.1|1442|1510|187.5|098.6|106.7|1117.3|161
61	:N2403	1 cupcake=50g|1 spons cake=42g	03435|043.7|0520|0659.8|070.8|1227|130.6|1485|15222|181|097.6|107.6|112.8
62	:N0658	1 kopje=158g	03146|043.2|050.3|0632.3|070.7|1212|130.2|1425|154|090.1|100.1|110.1
63	:U	1 sandwich=146g	
