Row	ID	AllWeights	AllProperties
0	:U01123	1 média=44g|1 grande=50g|1 extra grande=56g|1 jumbo=63g|1 xícara=243g|1 pequeno=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
1	:U14209	1 xícara=237g|1 copo pequeno=178g|1 copo grande=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
2	:SD9909795	1 fatia=25g|1 fatia sem crosta=12g|1 xícara (migalhas)=45g|1 xícara (cubos)=35g|1 fatia grande (cubos)=30g|1 fatia fina=20g|1 fatia fina sem crosta (cubos)=9g|1 fatia muito fina (cubos)=15g	03272|0411|051|073.5|084.5|15650|090.5
3	:U18064	1 fatia=25g|1 fatia sem crosta=12g|1 xícara (migalhas)=45g|1 xícara (cubos)=35g|1 fatia grande (cubos)=30g|1 fatia fina=20g|1 fatia fina sem crosta (cubos)=9g|1 fatia muito fina (cubos)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
4	:SD1001795	1 xícara=237g|1 copo pequeno=178g|1 copo grande=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
5	:U18064	1 fatia=25g|1 fatia sem crosta=12g|1 xícara (migalhas)=45g|1 xícara (cubos)=35g|1 fatia grande (cubos)=30g|1 fatia fina=20g|1 fatia fina sem crosta (cubos)=9g|1 fatia muito fina (cubos)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
6	:U14355	1 xícara=237g|1 copo pequeno=178g|1 copo grande=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
7	:U14355	1 xícara=237g|1 copo pequeno=178g|1 copo grande=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
8	:U18065	1 fatia=25g|1 fatia sem crosta=12g|1 xícara (migalhas)=45g|1 xícara (cubos)=35g|1 fatia grande (cubos)=30g|1 fatia fina=20g|1 fatia fina sem crosta (cubos)=9g|1 fatia muito fina (cubos)=15g	03313|0412.96|054.27|0655.77|074.7|086.42|12165|134.09|14223|15601|170.2|090.989|101.019|111.72
9	:U18064	1 fatia=25g|1 fatia sem crosta=12g|1 xícara (migalhas)=45g|1 xícara (cubos)=35g|1 fatia grande (cubos)=30g|1 fatia fina=20g|1 fatia fina sem crosta (cubos)=9g|1 fatia muito fina (cubos)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
10	:U08122	1 xícara=81g	03362|0411.92|056.9|0669.52|0710|081.5|12351|1324.72|14366|15220|091.346|102.325|112.533
11	:LG042	1 recipiente=245g|1 recipiente médio=184g|1 recipiente pequeno=123g	0364.48|044.29|052.16|066.97
12	:LB798	1 médio (6 cm)=123g|1 xícara=240g|1 fatia (1 cm)=20g|1 grande (8 cm)=182g|1 Cunha (1/4 de tomate médio)=31g|1 fatia grossa/grande (1 cm)=27g|1 tomate pequeno (6 cm)=91g	0319.72|040.9|050.4|064.6|071.5|1215|131.1|1716
13	:U01123	1 média=44g|1 grande=50g|1 extra grande=56g|1 jumbo=63g|1 xícara=243g|1 pequeno=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
14	:U20045	1 xícara=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
15	:LA594	1 fatia=25g|1 fatia sem crosta=12g|1 xícara (migalhas)=45g|1 xícara (cubos)=35g|1 fatia grande (cubos)=30g|1 fatia fina=20g|1 fatia fina sem crosta (cubos)=9g|1 fatia muito fina (cubos)=15g	03259.55|0411.27|053.31|0650.49|074.32
16	:U11124	1 média=61g|1 grande (7 a 21 cm)=72g|1 pequeno (14 cm)=50g|1 fatia=3g|1 xícara (ralado)=110g|1 xícara (tiras ou fatias)=122g|1 tira de médio (tiras ou fatias)=4g|1 tira grande (8 cm)=7g|1 xícara (picada)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
17	:U18009	1 biscoito (6 cm)=35g|1 média=51g|1 grande=77g|1 pequeno=35g	03365|046.2|0516.5|0648.5|071.3|083.48|1249|133.3|14224|15942|092.49|106.906|116.209|161
18	:SF1001795	1 xícara=237g|1 copo pequeno=178g|1 copo grande=356g	031.523|040.067|060.37|070.115|080.022|127.97|130.026|1426.3|151.34
19	:U11529	1 médio (6 cm)=123g|1 xícara=240g|1 fatia (1 cm)=20g|1 grande (8 cm)=182g|1 Cunha (1/4 de tomate médio)=31g|1 fatia grossa/grande (1 cm)=27g|1 tomate pequeno (6 cm)=91g	0318|040.88|050.2|063.89|071.2|082.63|1210|130.27|14237|155|1713.7|090.028|100.031|110.083
20	:U20045	1 xícara=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
21	:U14209	1 xícara=237g|1 copo pequeno=178g|1 copo grande=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
22	:LG042	1 recipiente=245g|1 recipiente médio=184g|1 recipiente pequeno=123g	0364.48|044.29|052.16|066.97
23	:U11529	1 médio (6 cm)=123g|1 xícara=240g|1 fatia (1 cm)=20g|1 grande (8 cm)=182g|1 Cunha (1/4 de tomate médio)=31g|1 fatia grossa/grande (1 cm)=27g|1 tomate pequeno (6 cm)=91g	0318|040.88|050.2|063.89|071.2|082.63|1210|130.27|14237|155|1713.7|090.028|100.031|110.083
24	:U18064	1 fatia=25g|1 fatia sem crosta=12g|1 xícara (migalhas)=45g|1 xícara (cubos)=35g|1 fatia grande (cubos)=30g|1 fatia fina=20g|1 fatia fina sem crosta (cubos)=9g|1 fatia muito fina (cubos)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
25	:U01123	1 média=44g|1 grande=50g|1 extra grande=56g|1 jumbo=63g|1 xícara=243g|1 pequeno=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
26	:U11282	1 médio (6 cm)=110g|1 grande=150g|1 xícara (picada)=160g|1 xícara (fatiada)=115g|1 colher de sopa (picado)=10g|1 fatia grande (1 cm)=38g|1 fatia média=14g|1 pequeno=70g|1 fatia fina=9g|10 anéis=60g	0340|041.1|050.1|069.34|071.7|084.24|1223|130.21|14146|154|177.4|090.042|100.013|110.017
27	:U05009	1 peito=290g|1 baqueta=133g|1 asa=49g|1 pepita=20g|1 xícara (picado ou em cubos)=140g	03239|0427.3|0513.6|1215|131.26|14223|1582|093.79|105.34|112.97|1688
28	:U01121	1 recipiente=245g|1 recipiente médio=184g|1 recipiente pequeno=123g	03102|044.37|051.08|0619.05|0819.05|12152|130.07|14195|1558|170.7|090.697|100.297|110.031|164
29	:U01082	1 xícara=237g|1 copo pequeno=178g|1 copo grande=356g	0342|043.37|050.97|064.99|085.2|12125|130.03|14150|1544|181.2|090.633|100.277|110.035|165
30	:U20044	1 xícara=158g	03365|047.13|050.66|0679.95|071.3|080.12|1228|134.31|14115|155|090.18|100.206|110.177
31	:U14096	1 vidro=150g	0385|040.07|062.61|080.62|128|130.46|14127|154
32	:LL009	1 xícara=237g|1 copo pequeno=178g|1 copo grande=356g	0412.4|0543.7|0634.3|12130|135.8|173
33	:U11124	1 média=61g|1 grande (7 a 21 cm)=72g|1 pequeno (14 cm)=50g|1 fatia=3g|1 xícara (ralado)=110g|1 xícara (tiras ou fatias)=122g|1 tira de médio (tiras ou fatias)=4g|1 tira grande (8 cm)=7g|1 xícara (picada)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
