Row	ID	AllWeights	AllProperties
0	:U01123	1 средний=44g|1 большой=50g|1 очень большой=56g|1 слон=63g|1 чашка=243g|1 маленький=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
1	:U14209	1 чашка=237g|1 маленькая чашка=178g|1 большая чашка=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
2	:U09040	1 средний (18 см до 20 см)=118g|1 большой (20 см до 22 см)=136g|1 маленький (15 см до 18 см)=101g|1 очень большой (22 см или больше)=152g|1 очень маленький (меньше 15 см)=81g|1 чашка (нарезанный)=150g|1 чашка (пюре)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
3	:U05006	0,5 курицы=460g|1 грудка=290g|1 голень=133g|1 крыло=49g|1 самородок=20g|1 чашка (колотые или кубиками)=140g	
4	:U14355	1 чашка=237g|1 маленькая чашка=178g|1 большая чашка=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
5	:U18064	1 ломтик=25g|1 ломтик без коры=12g|1 чашка (крошки)=45g|1 чашка (кубики)=35g|1 большой ломтик (кубики)=30g|1 тонкий ломтик=20g|1 тонкий ломтик без коры (кубики)=9g|1 очень тонкий ломтик (кубики)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
6	:U14355	1 чашка=237g|1 маленькая чашка=178g|1 большая чашка=356g	031|060.3|130.02|1437|153|090.002|100.001|110.004
7	:U11529	1 средний (6 см)=123g|1 чашка=240g|1 срез (1 см)=20g|1 большой (8 см)=182g|1 клин (1/4 средних помидора)=31g|1 толстый/большой срез (1 см)=27g|1 маленький помидор (6 см)=91g	0318|040.88|050.2|063.89|071.2|082.63|1210|130.27|14237|155|1713.7|090.028|100.031|110.083
8	:U01009	1 ломтик=28g|1 чашка (кубиками)=132g|1 чашка (измельченных)=113g|1 чашка (расплавленного)=244g|1 кубический дюйм=17g|1 пакет (расплавленного)=170g	03403|0424.9|0533.14|061.28|080.52|12721|130.68|1498|15621|180.6|0921.092|109.391|110.942|16105
9	:U05006	0,5 курицы=460g|1 грудка=290g|1 голень=133g|1 крыло=49g|1 самородок=20g|1 чашка (колотые или кубиками)=140g	
10	:U18064	1 ломтик=25g|1 ломтик без коры=12g|1 чашка (крошки)=45g|1 чашка (кубики)=35g|1 большой ломтик (кубики)=30g|1 тонкий ломтик=20g|1 тонкий ломтик без коры (кубики)=9g|1 очень тонкий ломтик (кубики)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
11	:U09003	1 средний (8 см)=182g|1 большой (8 см)=223g|1 маленький (7 см)=149g|1 очень мелкий (6 см)=101g|1 чашка (рубленый)=125g|1 чашка (ломтики)=109g	0352|040.26|050.17|0613.81|072.4|0810.39|126|130.12|14107|151|174.6|090.028|100.007|110.051
12	:U01009	1 ломтик=28g|1 чашка (кубиками)=132g|1 чашка (измельченных)=113g|1 чашка (расплавленного)=244g|1 кубический дюйм=17g|1 пакет (расплавленного)=170g	03403|0424.9|0533.14|061.28|080.52|12721|130.68|1498|15621|180.6|0921.092|109.391|110.942|16105
13	:U01121	1 контейнер=245g|1 средний контейнер=184g|1 маленький контейнер=123g	03102|044.37|051.08|0619.05|0819.05|12152|130.07|14195|1558|170.7|090.697|100.297|110.031|164
14	:U11529	1 средний (6 см)=123g|1 чашка=240g|1 срез (1 см)=20g|1 большой (8 см)=182g|1 клин (1/4 средних помидора)=31g|1 толстый/большой срез (1 см)=27g|1 маленький помидор (6 см)=91g	0318|040.88|050.2|063.89|071.2|082.63|1210|130.27|14237|155|1713.7|090.028|100.031|110.083
15	:		
16	:U01123	1 средний=44g|1 большой=50g|1 очень большой=56g|1 слон=63g|1 чашка=243g|1 маленький=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
17	:U18064	1 ломтик=25g|1 ломтик без коры=12g|1 чашка (крошки)=45g|1 чашка (кубики)=35g|1 большой ломтик (кубики)=30g|1 тонкий ломтик=20g|1 тонкий ломтик без коры (кубики)=9g|1 очень тонкий ломтик (кубики)=15g	03270|0410.37|053.44|0649.46|074.2|086.08|12138|133.52|14182|15519|170.2|090.803|100.642|111.609
18	:U09040	1 средний (18 см до 20 см)=118g|1 большой (20 см до 22 см)=136g|1 маленький (15 см до 18 см)=101g|1 очень большой (22 см или больше)=152g|1 очень маленький (меньше 15 см)=81g|1 чашка (нарезанный)=150g|1 чашка (пюре)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
19	:U		
20	:U08122	0.333 Кубок=27g|1 чашка=81g	03362|0411.92|056.9|0669.52|0710|081.5|12351|1324.72|14366|15220|091.346|102.325|112.533
21	:U01009	1 ломтик=28g|1 чашка (кубиками)=132g|1 чашка (измельченных)=113g|1 чашка (расплавленного)=244g|1 кубический дюйм=17g|1 пакет (расплавленного)=170g	03403|0424.9|0533.14|061.28|080.52|12721|130.68|1498|15621|180.6|0921.092|109.391|110.942|16105
22	:U09003	1 средний (8 см)=182g|1 большой (8 см)=223g|1 маленький (7 см)=149g|1 очень мелкий (6 см)=101g|1 чашка (рубленый)=125g|1 чашка (ломтики)=109g	0352|040.26|050.17|0613.81|072.4|0810.39|126|130.12|14107|151|174.6|090.028|100.007|110.051
23	:U14209	1 чашка=237g|1 маленькая чашка=178g|1 большая чашка=356g	031|040.12|050.02|122|130.01|1449|152|090.002|100.015|110.001
24	:U09200	1 апельсин (7 см)=131g|1 чашка (разделы)=180g|1 большой (8 см)=184g|1 маленький (6 см)=96g	0347|040.94|050.12|0611.75|072.4|089.35|1240|130.1|14181|1753.2|090.015|100.023|110.025
25	:U09003	1 средний (8 см)=182g|1 большой (8 см)=223g|1 маленький (7 см)=149g|1 очень мелкий (6 см)=101g|1 чашка (рубленый)=125g|1 чашка (ломтики)=109g	0352|040.26|050.17|0613.81|072.4|0810.39|126|130.12|14107|151|174.6|090.028|100.007|110.051
26	:U20045	1 чашка=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
27	:U07064	1 порция=48g	03339|0419.43|0528.36|1213|131.36|14294|15895|180.7|170.7|099.153|1012.376|113.727|1684
28	:U01123	1 средний=44g|1 большой=50g|1 очень большой=56g|1 слон=63g|1 чашка=243g|1 маленький=38g	03143|0412.56|059.51|060.72|080.37|1256|131.75|14138|15142|182|093.126|103.658|111.911|16372
29	:U09040	1 средний (18 см до 20 см)=118g|1 большой (20 см до 22 см)=136g|1 маленький (15 см до 18 см)=101g|1 очень большой (22 см или больше)=152g|1 очень маленький (меньше 15 см)=81g|1 чашка (нарезанный)=150g|1 чашка (пюре)=225g	0389|041.09|050.33|0622.84|072.6|0812.23|125|130.26|14358|151|178.7|090.112|100.032|110.073
30	:U11124	1 средний=61g|1 большой (7-21 см)=72g|1 маленький (14 см)=50g|1 ломтик=3g|1 чашка (натертый)=110g|1 чашка (полосками или кусочками)=122g|1 средней полосы (полосками или кусочками)=4g|1 большой полосы (8 см)=7g|1 чашка (рубленый)=128g	0341|040.93|050.24|069.58|072.8|084.74|1233|130.3|14320|1569|175.9|090.037|100.014|110.117
31	:U05006	0,5 курицы=460g|1 грудка=290g|1 голень=133g|1 крыло=49g|1 самородок=20g|1 чашка (колотые или кубиками)=140g	
32	:U09200	1 апельсин (7 см)=131g|1 чашка (разделы)=180g|1 большой (8 см)=184g|1 маленький (6 см)=96g	0347|040.94|050.12|0611.75|072.4|089.35|1240|130.1|14181|1753.2|090.015|100.023|110.025
33	:U05006	0,5 курицы=460g|1 грудка=290g|1 голень=133g|1 крыло=49g|1 самородок=20g|1 чашка (колотые или кубиками)=140g	
34	:U07064	1 порция=48g	03339|0419.43|0528.36|1213|131.36|14294|15895|180.7|170.7|099.153|1012.376|113.727|1684
35	:U09003	1 средний (8 см)=182g|1 большой (8 см)=223g|1 маленький (7 см)=149g|1 очень мелкий (6 см)=101g|1 чашка (рубленый)=125g|1 чашка (ломтики)=109g	0352|040.26|050.17|0613.81|072.4|0810.39|126|130.12|14107|151|174.6|090.028|100.007|110.051
36	:U20045	1 чашка=158g	03130|042.69|050.28|0628.17|070.4|080.05|1210|131.2|1435|151|090.077|100.088|110.076
