Row	Meal	Name	Pos
0	B	Ou	33
1	B	Cafè	203
2	B	Torrades	322
3	B	Pa	564
4	B	Plàtan	861
5	B	Cafè	1179
6	L	Pa	1307
7	S	Tetera	1604
8	B	Tetera	1711
9	B	Torrades	1818
10	B	Plàtan	2114
11	D	Pa	2377
12	B	Farina de civada	2675
13	B	Iogurt fruita baixa greix	2803
14	L	Tomàquet	2909
15	L	Ou	3137
16	D	Arròs blanc	3308
17	B	Pa integral	3418
18	D	Pastanaga	3657
19	S	Galeta	3967
20	B	Cafè	4123
21	D	Tomàquet	4252
22	B	Cansalada	4524
23	L	Arròs blanc	4698
24	S	Poma	4808
25	S	Cafè	5057
26	S	Iogurt fruita baixa greix	5177
27	L	Tomàquet	5283
28	S	Pa	5555
29	B	Plàtan	5853
30	D	Ou	6123
31	D	Ceba	6294
32	D	Pollastre	6583
33	B	Iogurt fruita baixa greix	6761
34	S	Plàtan	6933
35	B	llet 1%	7252
36	S	Plàtan	7400
37	D	Pizzes	7663
38	L	Arròs blanc	7805
39	D	Vi negre	7916
40	B	Cafè	7986
41	L	Pastanaga	8080
42	B	Pa	8390
43	L	Pollastre	8665
44	B	Poma	8806
45	S	Taronja	9055
46	L	Iogurt fruita baixa greix	9239
47	B	Taronja	9409
48	B	Civada	9593
49	B	Pa francès	9716
50	B	Plàtan	9885
51	B	Pa	10190
52	L	Poma	10422
53	L	Fesols al forn	10671
54	D	Tomàquet	10731
55	L	Plàtan	10959
56	D	Torrades	11278
57	B	Cafè instantani	11521
58	L	Arròs vaporitzat	11599
59	D	Vi negre	11661
60	D	Tomàquet	11733
61	D	Cansalada	12006
62	L	Oli d'oliva	12180
63	L	Tomàquet	12290
64	L	Taronja	12505
65	S	Ou	12689
66	D	Pit de pollastre	12860
67	L	Tetera	12990
68	L	Tomàquet	13098
69	B	Flocs de blat de moro	13371
70	L	Pa	13490
71	B	Poma	13765
72	S	Torrades	13956
73	B	Plàtan	14199
74		Crema de formatge	14504
75		Formatge parmesà	14715
76		Formatge suís	14859
77		Formatge americà	15091
78		Formatge americà	15329
79		Formatge difondre	15565
80		Meitat i meitat	15712
81		Crema lleugera	15854
82		Crema de llet pesat	16021
83		Mantega salada	16188
84		Mantega batuda	16401
85		Mantega oli	16614
86		Crema agra	16814
87		Substitut crema en pols	16945
88		Llet sencera	17115
89		2% de llet	17271
90		llet 1%	17426
91		Llet sec	17581
92		Llet xocolata sencera	17725
93		Xocolata amb llet	17886
94		Baix greix xocolata amb llet	18044
95		Iogurt vainilla baix en greix	18199
96		Iogurt fruita baixa greix	18375
97		Ou	18554
98		Rovell d'ou	18732
99		Ou fregit	18880
100		Ous durs	19060
101		Remenat d'ou	19269
102		Ou seques	19477
103		Mantega sense sal	19633
104		Salsa de formatge	19846
105		Iogurt fruita greix baix llum	19994
106		Crema substitut	20170
107		Iogurt fortificada fruita baixa greix	20338
108		Llum fortificada iogurt fruita baixa greix	20520
109		Pols de Chile	20698
110		Mostassa	20852
111		Sal	20995
112		Civada nadó	21139
113		Cereals d'arròs de nadó	21291
114		Llard de porc	21418
115		Salsa maionesa	21528
116		Amanida guarniment amb maionesa	21675
117		Oli de cacauet	21837
118		Oli de soja	21977
119		Oli d'oliva	22123
120		Amaniment italià	22271
121		Francès vestir-se	22434
122		Baix greix oli vegetal es va estendre	22596
123		Oli de blat de moro	22804
124		Pal de mantega	22949
125		Margarina	23157
126		Oli vegetal es va estendre	23363
127		Oli vegetal	23522
128		Oli de coco	23671
129		Pollastre	23816
130		Pollastre arrebossat	24018
131		Pollastre	24225
132		Pollastre fregit	24423
133		Carn de pollastre rostit	24628
134		Pollastre guisat	24828
