Row	Meal	Name	Pos
0	B	Toastbrot	33
1	B	Kaffee	282
2	B	Marmelade	416
3	B	Vollmilch	520
4	B	Banane	687
5	D	Toastbrot	1001
6	D	Rotwein	1250
7	D	Tomate	1322
8	S	Toastbrot	1600
9	D	Hähnchen 	1849
10	B	Landbrot	1972
11	L	Toastbrot	2217
12	B	Cornflakes	2467
13	S	Apfel	2575
14	B	Apfel	2816
15	L	Tomate	3057
16	B	Milch	3336
17	B	Orangensaft	3507
18	D	White rice	3641
19	D	Landbrot	3751
20	L	Landbrot	3996
21	B	Butter	4241
22	L	Apfel	4443
23	S	Banane	4684
24	S	Vollmilch	4999
25	B	Kochspeck	5167
26	S	Apfelsine	5353
27	D	Brokkoli	5517
28	L	White rice	5673
29	B	Tomate	5783
30	L	Apfelsine	6062
31	D	Eisbergsalat	6226
32	S	Kaffee	6580
33	D	Spaghetti	6715
34	L	Hähnchen 	6770
35	S	Milchschokolade	6894
36	B	Apfelsine	7055
37	D	Marmelade	7219
38	L	Banane	7324
39	B	Roggenvollkornbrot	7639
40	L	Kaffee	7886
41	D	Kartoffeln	8021
42	B	Frischkäse	8246
43	L	Cabbage	8441
44	L	Rotkraut;Blaukraut	8787
45	S	Rotwein	9154
46	S	Orangensaft	9227
47	D	Chips	9361
48	D	Pizza mit Schinken	9511
49	L	Karotte	9665
50	L	Frischkäse, Doppelrahm	10008
51	D	Apfel	10203
52	S	Chips	10444
53	L	Vollkornreis	10594
54	B	Joghurt	10715
55	L	Chips	10892
56	D	Kochspeck	11042
57	L	Bio Eiernudeln fein	11228
58	L	Coca-Cola	11295
59	S	Léger Popcorn	11403
60	L	Butter	11481
61	L	Eisbergsalat	11683
62	B	Vollmilch	12037
63	B	Margarine	12045
64	L	Vollmilch	12227
65	D	Coca-Cola	12395
66	B	Weissbrot	12503
67	B	Roggenbrot	12810
68	L	Marmelade	13059
69	D	Roggenvollkornbrot	13164
70	D	Banane	13411
71	D	Rotkraut;Blaukraut	13726
72	D	Vollmilch	14093
73	D	Cabbage	14261
74	B	Hühnerei	14607
75	L	Kartoffeln	14806
76	D	Léger Popcorn	15031
77	B	Roggenschrotbrot	15109
78	B	White toast	15251
79	S	Mandarine	15545
80	D	Apfelsine	15715
81	B	Reibkäse	15879
82	D	Vollkornreis	16125
83	D	Karotte	16246
84	D	Kaffee	16589
85	D	Milch 1,5%	16724
86	D	Frischkäse, Doppelrahm	16895
87	D	Zwiebel	17090
88	D	Bio Eiernudeln fein	17393
89	L	Pommes Frites	17460
90	B	Mineralwasser Elmer	17644
91	S	Landbrot	17724
92	S	Tomate	17969
93	B	Blütenhonig	18248
94	L	Tomatenmark	18303
95	L	Brokkoli	18449
96	D	Pommes Chips, Paprika	18605
97	D	Hühnerei, ganz, festgekocht	18830
98	L	Kochspeck	19029
99	L	Pizza mit Schinken	19215
100	L	Rotwein	19369
101	D	Burlander	19443
102	D	Tomatenmark	19553
103	D	Gemüse-Mix	19700
104	L	Mandarine	19758
105	D	Roggenbrot	19929
106	B	Instant-Kaffee	20179
107	D	Kopfsalat	20277
108	S	Coca-Cola	20636
109	D	Salatgurke	20745
110	D	Joghurt	20974
111	B	Spaghetti	21152
112	S	Cornflakes	21208
113	B	Tee, ungezuckert	21317
114	L	Mamba	21390
115	B	Leberwurst	21530
116	L	Peach	21674
117	D	Reibkäse	21891
118	L	Hühnerei, festgekocht	22138
119	B	Mandarine	22338
120	L	Joghurt, nature	22509
121	L	Zwiebel	22687
122	B	Kiwi	22991
123	B	Coca-Cola	23107
124	D	Kabeljau	23216
125	L	Gemüse-Mix	23498
126	L	Pfannkuchen	23556
127	L	Roggenvollkornbrot	23783
128	D	Cornflakes	24031
129	B	Erdnussbutter	24140
130	D	Weissbrot	24248
131	B	Laugenbrezel	24556
132	B	Latte macchiato	24654
133	B	Hähnchen	24838
134	L	Spaghetti (Dr. Schär)	24963
135	B	Hinterschinken	25019
136	D	Olivenöl	25175
137	S	Karotte	25270
138	L	Rauchsalami	25614
139	D	Bio Joghurt Kirsche	25756
140	S	Hühnerei festgekocht	25876
141	S	Erdnussbutter	26076
142	S	Roggenvollkornbrot	26184
143	S	Hähnchen 	26432
144	B	Karotte	26557
145	L	Salatgurke	26901
146	L	Kopfsalat	27130
147	L	Bio Joghurt Kirsche	27489
148	S	Kochspeck	27609
149	B	Rauchsalami	27796
150	L	Laugenbrezel	27938
151	L	Milch 1,5%	28036
152	L	Cornflakes	28208
153	B	White rice	28317
154	B	Rührei	28428
155	D	Orangensaft	28648
156	D	Pommes Frites	28783
157	L	Mineralwasser Elmer	28968
158	B	Eisbergsalat	29049
159	D	Reis parboiled	29404
160	S	Vollmilch	29507
161	L	Milchschokolade	29516
162	D	Blütenhonig	29678
163	B	Rotwein	29734
164	L	Beef	29808
165	L	Weintraube	29998
166	D	Knorr Pasta Snack Nudeln Tomato (Unilever), zubereitet	30147
167	D	Milchschokolade	30248
168	S	Weintraube	30410
169	B	Kakaopulver	30559
170	D	Vollmilch	30674
171	L	Reis parboiled	30683
172	S	Apfelwähe	30786
173	S	Cashew nuts	30996
174	L	Reibkäse	31171
175	L	Hering	31418
176	S	Latte macchiato, ungezuckert	31650
177	S	Milch 1,5%	31834
178	L	Weissbrot	32006
179	L	Hering	32314
180	D	Rauchsalami	32549
181	D	Beef	32691
182	D	Watermelon	32881
183	L	Olivenöl	33229
184	L	Burlander	33324
185	D	Roggenschrotbrot	33434
186	L	Orangensaft	33577
187	B	Pfannkuchen	33712
188	D	Tee, ungezuckert	33939
189	S	Chocos (Kellogg's)	34012
190	S	Schokolade, weiss	34126
191	S	Frischkäse, Doppelrahm	34287
192	B	Bio Joghurt Kirsche	34483
193	S	Joghurt, nature	34603
194	D	Ketchup	34781
195	S	Lyoner	34908
196	B	Zwiebel	35156
197	D	Hinterschinken	35460
198	B	Milchschokolade	35616
199	B	Paprika	35778
200	S	Kuchenteig	36002
201	B	Salatgurke	36081
202	D	Rührei	36310
203	S	Roasted peanuts	36530
204	D	Peach	36661
205	S	Brokkoli	36878
206	S	Burlander	37035
207	D	Quark, nature, Rahm	37145
208	B	Lyoner	37272
209	S	Watermelon	37520
210	D	Pfannkuchen	37868
211	B	Cabbage	38095
212	D	Mandarine	38442
213	S	Mamba	38613
214	L	Ketchup	38753
215	L	Yogos Rahmjoghurt classic	38880
216	L	Margarine	38982
217	B	Kristallzucker	39165
218	B	Pizza mit Schinken	39309
219	L	Kabeljau	39464
220	B	Weintraube	39746
221	L	Pilzsuppe	39895
222	B	Rotkraut;Blaukraut	40043
223	L	Erdnussbutter	40411
224	L	Watermelon	40519
225	L	Pommes Chips, Paprika	40867
226	S	proteinriegel	41093
227	B	Beef	41245
228	D	Erdnussbutter	41435
229	L	Suppe 	41543
230	L	Roggenschrotbrot	41609
231	L	Rote Schorle Aldi	41752
232	S	Twix bar	41891
233	L	Tee, ungezuckert	42043
234	S	Exquisa der Sahnige, Kräuter	42116
235	S	Landjäger	42246
236	L	Steinofenbrötchen	42406
237	B	Kabeljau	42510
238	L	Kristallzucker	42792
239	L	Hinterschinken	42936
240	S	Ketchup	43092
241	S	Rauchsalami	43219
242	B	Léger Popcorn	43361
243	S	White toast	43440
244	B	Mamba	43735
245	B	Apfelwähe	43875
246	B	Vollkorntoast	44085
247	L	Latte macchiato, ungezuckert	44384
248	D	Steinofenbrötchen	44568
249	D	Weintraube	44672
250	D	Obstsalat 	44821
251	B	Hüttenkäse	44938
252	L	Quark, nature	45077
253	D	Mineralwasser	45204
254	D	Mamba	45285
255	B	Kopfsalat	45425
256	B	Zucker, braun	45784
257	S	Marmelade	45940
258	S	Mineralwasser Elmer	46046
259	L	Léger Popcorn	46127
260	D	Traubensaft	46206
261	D	Nestle Feinste Weiße 	46332
262	D	Chili powder	46402
263	D	Hähnchenbrust	46533
264	D	Margarine	46673
265	L	Fisch	46856
266	L	Apfelwähe	46975
267	L	Bio Tofu Wurst	47185
268	L	Hüttenkäse, mager	47253
269	L	Heidi Birchermüesli	47392
270	B	Watermelon	47576
271	S	Blütenhonig	47924
272	S	Roggenschrotbrot	47980
273	S	White rice	48123
274	L	Obstsalat 	48234
275	D	Cashew nuts	48351
276	D	Suppe 	48526
277	D	Kiwi	48592
278	B	Schokoladencrème	48708
279	B	Birne	48832
280	B	Peach	49040
281	D	Hüttenkäse, Schärdinger, mager	49257
282	S	Pizza mit Schinken	49396
283	S	Kuchen  &  Kekse – Mix C (Dr. Schär)	49551
284	S	Margarine	49659
285	S	Salatgurke	49842
286	S	Kakaopulver	50071
287	L	Spiegelei	50186
288	L	Lyoner	50379
289	L	Eierteigwaren	50627
290	D	Exquisa der Sahnige, Kräuter	50825
291	L	Paprika	50955
292	S	Pommes Chips, Paprika	51179
293	S	Tee, ungezuckert	51405
294	S	Laugenbrezel	51478
295	S	Zucker, braun	51576
296	S	Peach	51732
297	S	Spaghetti (Dr. Schär)	51949
298	L	Geschnetzeltes	52005
299	S	Ananas	52153
300	S	Birne	52361
301	S	Instant-Kaffee	52600
302	B	Chips	52698
303	L	Cashew nuts	52849
304	L	Roggenbrot	53024
305	B	Bio Tofu Wurst	53274
306	B	Brokkoli	53342
307	B	Bresso Wildkräuter	53499
308	B	Burlander	53599
309	D	Butter fettreduziert	53709
310	D	Laugenbrezel	53767
311	D	Walnuss	53865
312	L	Knorr Pasta Snack Nudeln Tomato (Unilever), zubereitet	54141
313	B	Schokolade, weiss	54242
314	S	Bio Joghurt Kirsche	54403
315	B	Chocos (Kellogg's)	54523
316	B	Steinofenbrötchen	54637
317	B	Ketchup	54741
318	S	Pommes Frites	54868
319	S	Walnuss	55053
320	S	Hüttenkäse	55329
321	S	Kristallzucker	55468
322	S	Kiwi	55612
323	S	Reibkäse	55728
324	L	Blütenhonig	55975
325	D	Roasted peanuts	56031
326	D	Spiegelei	56162
327	L	Fischstäbchen, paniert und vorfritiert	56355
328	L	Avocado	56539
329	L	Ramen noodle soup	56718
330	S	Kokosfett	56880
331	B	Pommes Frites	56996
332	B	Bio Eiernudeln fein	57181
333	L	Tomatensaft	57249
334	S	Kabeljau	57388
335	B	Zitronen-Rollen	57670
336	L	Instant-Kaffee	57797
337	D	Zwieback	57895
338	B	Putenbrust mit Kräutern	58048
339	D	Geschnetzeltes	58242
340	B	Special K Classic (Kellogg's)	58390
341	D	Süßkartoffel 	58472
342	D	Rosenkohl	58678
343	D	Fisch	58886
344	L	Rührei	59005
345	D	Kiwi	59225
346	L	Traubensaft	59349
347	S	Beef	59475
348	S	Hinterschinken	59665
349	L	Schokolade, weiss	59821
350	B	Ananas	59982
351	L	Chocos (Kellogg's)	60221
352	B	Schweineschmalz	60335
353	L	Kuchen  &  Kekse – Mix C (Dr. Schär)	60410
354	L	Exquisa der Sahnige, Kräuter	60518
355	L	Birne	60648
356	D	Fischstäbchen, paniert und vorfritiert	60764
357	L	Bratkartoffeln mit Zwiebeln	60948
358	L	Kaki	61009
359	L	Kakaopulver	61217
360	B	Cashew nuts	61332
