Row	Meal	Name	Pos
0	B	Egg	33
1	B	Oatmeal	215
2	B	Coffee	339
3	D	Onion	457
4	S	Biscuit	747
5	B	Toast	907
6	L	Bread	1176
7	B	Bacon	1446
8	B	Bread	1610
9	D	Carrot	1880
10	B	Banana	2160
11	D	Chicken	2447
12	D	Bread	2630
13	L	Egg	2901
14	S	Tea	3084
15	D	White rice	3191
16	B	2% milk	3299
17	B	Tea	3450
18	D	Egg	3557
19	B	1% milk	3740
20	D	Bacon	3887
21	L	White rice	4052
22	D	Tomato	4160
23	L	Tomato	4428
24	B	Porridge	4696
25	S	Popcorn	4816
26	L	Carrot	4944
27	S	Orange	5225
28	D	Broccoli	5414
29	D	Red wine	5649
30	S	Apple	5721
31	B	Low fat fruit yogurt	5957
32	L	Orange	6126
33	B	Orange	6315
34	S	Banana	6504
35	L	Chicken	6791
36	B	Bagel	6974
37	B	Oats	7183
38	S	Celery	7303
39	B	Corn flakes	7554
40	D	Pizza	7671
41	D	Popcorn	7811
42	L	Onion	7939
43	D	Chicken breast	8230
44	S	Egg	8362
45	L	Celery	8545
46	B	Biscuit	8796
47	D	Cheddar cheese	8957
48	S	Granola bar	9171
49	L	Banana	9285
50	B	Apple	9572
51	L	Bacon	9808
52	S	Coffee	9973
53	S	Carrot	10092
54	L	Chicken breast	10373
55	L	Apple	10505
56	B	Raw spinach	10741
57	S	Bread	10895
58	D	Raw spinach	11166
59	B	Special K cereal	11320
60	D	Chocolate	11423
61	D	Spaghetti	11582
62	D	Potato in skin	11689
63	B	Honey nut Cheerios	11903
64	B	Fresh orange juice	12021
65	D	Biscuit	12163
66	D	Green lettuce	12324
67	S	Red wine	12627
68	L	Ham	12699
69	L	Cheddar cheese	12828
70	S	Toast	13042
71	L	Bagel	13312
72	B	Whole milk	13521
73	B	Whole-wheat toast	13625
74	S	2% milk	13889
75	L	Tea	14040
76	L	Rice chex	14147
77	S	Milk chocolate	14262
78	S	Low fat fruit yogurt	14421
79	D	Cabbage	14590
80	D	Pak choi	14891
81	D	Red cabbage	15195
82	B	Hard boiled egg	15501
83	B	Tomato	15709
84	B	White toast	15977
85	L	Pizza	16237
86	D	Brown rice	16377
87	S	Chocolate	16484
88	L	Green lettuce	16643
89	L	Tap water	16946
90	S	Bacon	17011
91	B	Tamarinds	17176
92	B	Tap water	17356
93	L	Cucumber	17421
94	B	Scrambled egg	17650
95	D	Sweet potato	17857
96	D	Chips	18038
97	D	1% milk	18183
98	S	Beer	18330
99	B	Sugar	18426
100	B	Croissant	18589
101	D	Apple	18788
102	D	Shrimp	19025
103	D	Cucumber	19158
104	L	White bread	19388
105	B	Nonfat milk	19653
106	S	Chips	19802
107	D	Mixed vegetables	19948
108	S	Chocolate chip cookie	20065
109	D	Maple syrup	20253
110	B	Onion	20360
111	B	Granola	20652
112	L	Raw spinach	20768
113	D	Orange	20923
114	L	Chips	21113
115	S	Cheddar cheese	21259
116	B	Fried egg	21474
117	B	Strawberry	21660
118	L	Tomato paste	21946
119	S	Pear	22093
120	L	Pear	22291
121	S	Almonds	22489
122	L	Broccoli	22709
123	L	Toast	22945
124	B	Maple syrup	23216
125	D	Baked potato	23323
126	D	Cocktails 	23539
127	D	Avocado	23668
128	D	Celery	23844
129	B	Granola bar	24096
130	B	Ham	24211
131	B	Sausage	24341
132	B	Cheddar cheese	24456
133	L	Low fat fruit yogurt	24671
134	D	Tap water	24841
135	D	Mashed potatoes	24907
136	L	Salad spring mix	25026
137	D	Tomato paste	25141
138	D	Chicken leg	25288
139	D	Green peas	25441
140	D	Potato	25559
141	B	Instant coffee	25778
