Row	Meal	Name	Pos
0	B	Muna	33
1	B	Kohv	183
2	B	Röstsai	306
3	B	Leib	544
4	B	Banaan	837
5	B	Kohv	1129
6	L	Leib	1261
7	S	Tee	1554
8	B	Tee	1665
9	B	Röstsai	1776
10	B	Banaan	2068
11	D	Leib	2305
12	B	Kaerajahu	2599
13	B	Madala rasvasisaldusega puuvilja jogurt	2711
14	L	Tomat	2825
15	L	Muna	3018
16	D	Valge riis	3169
17	B	Kogu leiba	3278
18	D	Porgand	3513
19	S	Biskviit	3755
20	B	Kohv	3901
21	D	Tomat	4034
22	B	Peekon	4271
23	L	Valge riis	4430
24	S	Kohv	4539
25	S	Madala rasvasisaldusega puuvilja jogurt	4663
26	L	Tomat	4777
27	S	Leib	5014
28	B	Banaan	5308
29	D	Muna	5552
30	D	Sibul	5703
31	D	Kana	5922
32	B	Madala rasvasisaldusega puuvilja jogurt	6114
33	D	Cheddari juust	6294
34	S	Banaan	6460
35	B	1% piima	6753
36	B	Cheddari juust	6905
37	S	Banaan	7071
38	L	Valge riis	7308
39	D	Punane vein	7418
40	B	Kohv	7490
41	L	Porgand	7588
42	B	Leib	7830
43	L	Kana	8101
44	L	Madala rasvasisaldusega puuvilja jogurt	8256
45	B	Kaer	8434
46	B	Prantsuse leiba	8541
47	B	Banaan	8709
48	B	Leib	8988
49	L	Küpsetatud oad	9216
50	D	Tomat	9275
51	B	Cheddari juust	9468
52	L	Banaan	9562
53	D	Röstsai	9855
54	L	Cheddari juust	10094
55	B	Lahustuv kohv	10260
56	L	Aurutatud riis	10334
57	D	Punane vein	10395
58	D	Tomat	10469
59	D	Peekon	10707
60	L	Oliiviõli	10866
61	L	Tomat	10960
62	S	Muna	11140
63	D	Kanafilee	11291
64	L	Tee	11431
65	L	Tomat	11543
66	B	Maisihelbed	11781
67	L	Leib	11899
68	S	Röstsai	12170
69	B	Banaan	12409
70		Toorjuustu	12688
71		Parmesani juustu	12888
72		Šveitsi juust	13025
73		Ameerika juust	13196
74		Ameerika juust	13373
75		Levinud juust	13548
76		Pool ja pool	13687
77		Kerge kreem	13840
78		Raske vahukoort	13999
79		Soolatud või	14163
80		Vahustatud	14308
81		Võiõli	14453
82		Cheddari juust	14585
83		Hapukoort	14758
84		Koore asendaja pulber	14883
85		Täispiim	15042
86		2% piima	15202
87		1% piima	15361
88		Rasvata piima	15520
89		Kogu šokolaadipiima	15649
90		Madala rasvasisaldusega vanilli jogurt	15814
91		Madala rasvasisaldusega puuvilja jogurt	15998
92		Muna	16185
93		Munakollane	16343
94		Praetud muna	16490
95		Kõvaks keedetud muna	16650
96		Kodeeritud muna	16810
97		Kuivatatud muna	16969
98		Võid ilma soola	17118
99		Juustukastmega	17262
100		Madala rasvasisaldusega juustu	17401
101		Kerge madala rasvasisaldusega puu jogurt	17567
102		Koore asendaja	17751
103		Rikastatud madala rasvasisaldusega puuvilja jogurt	17908
104		Valguse kangendatud madala rasvasisaldusega puuvilja jogurt	18098
105		Sinep	18284
106		Soola	18423
107		Pekk	18551
108		Majoneesi kaste	18655
109		Salatikaste majoneesi	18786
110		Maapähkliõli	18932
111		Sojaõli	19056
112		Oliiviõli	19186
113		Itaalia kaste	19318
114		Prantsuse kaste	19465
115		Levinud madala rasva taimeõli	19611
116		Maisiõli	19751
117		Võid jääda	19880
118		Margariin	20020
119		Levinud taimeõli	20158
120		Taimeõli	20301
121		Tööstuslik sojaõli	20434
122		Tööstuslik soja ja seemnejahu	20563
123		Kookosõli	20692
124		Kana	20821
125		Paneeritud kana	21037
126		Kana	21258
127		Praetud kana	21470
128		Röstitud kanaliha	21689
129		Hautatud kana	21903
130		Kanamaksa	22117
131		Kana rinnatükk koos nahaga	22239
132		Paneeritud kanafilee	22395
133		Röstitud kanafilee	22557
134		Kanafilee liha	22712
135		Kanafilee	22873
136		Sääretükk	23029
137		Koib	23191
138		Kana reie	23360
139		Kana tiib	23511
140		Röstitud kana tiib	23646
141		Röstitud Türgi	23762
142		Röstitud kalkuniliha	23899
143		Kana kullatükk	24032
144		Veiseliha puljong	24163
145		Kana-nuudlisupp	24313
146		Koor seene suppi	24472
147		Kaste	24631
148		Veiseliha varud	24770
149		Merikarbihautis	24927
150		Kanapuljong	25092
151		Maksa vorst	25246
152		Kana rulli	25381
153		Veiseliha viiner	25533
154		Lõunamenüü liha	25650
155		Vorst	25803
156		Sea- ja loomaliha vorst	25930
157		Salaami	26065
158		Kalkuni rinnatükk	26201
159		Hele liha Türgi rulli	26383
160		Türgi rulli	26526
161		Itaalia vorst	26673
162		Eelnevalt keedetud sealiha vorst	26830
163		Kakao veeris	26958
164		Küpsise krõpsud	27077
165		Mais chex	27202
166		Maisihelbed	27319
167		All-kliid nisu helveste	27441
168		Kliid helbed	27556
169		Mahlakas veeris	27680
170		Viinamarja-pähklid teravilja	27794
171		KIX	27926
172		Mesi pähkel chex	28057
173		Rosina kliid	28191
174		Rosina kliid teraviljapõhiste	28318
175		Riisi chex	28441
176		Kirka helbed	28561
177		Täistera kokku	28688
178		Nisu chex	28811
179		Mais maisitangud	28935
180		Kaer	29062
181		Kaerajahu	29181
182		Kaera kaneeli ja vürtsi	29305
183		Kaera rosinad ja vürtsi	29429
184		Kaerajahu väljakud	29557
185		Kaera kliid teraviljapõhiste	29687
186		Ühe kiud	29819
187		Kokku Rosinatest kliid	29936
188		Kakao puudritupsud	30053
189		Kaneeli röstsai prõks	30176
190		Meega röstitud kaerahelbed	30312
191		Õunamahla	30433
