Row	Meal	Name	Pos
0	B	تخم مرغ	33
1	B	قهوه	222
2	B	نان تست	344
3	B	نان	563
4	B	موز	837
5	B	قهوه	1186
6	L	نان	1317
7	S	چای	1591
8	B	چای	1701
9	B	نان تست	1811
10	B	موز	2084
11	D	نان	2378
12	B	بلغور جو دوسر	2653
13	B	ماست کم چربی میوه	2780
14	L	گوجه فرنگی	2864
15	L	تخم مرغ	3118
16	D	برنج سفید	3308
17	B	صمیم گندم نان	3418
18	D	هویج	3634
19	S	بیسکویت	3952
20	B	قهوه	4115
21	D	گوجه فرنگی	4247
22	B	بیکن	4545
23	L	برنج سفید	4699
24	S	اپل	4809
25	S	قهوه	5060
26	S	ماست کم چربی میوه	5183
27	L	گوجه فرنگی	5267
28	S	نان	5565
29	B	موز	5840
30	D	تخم مرغ	6141
31	D	پیاز	6331
32	D	مرغ	6630
33	B	ماست کم چربی میوه	6758
34	D	پنیر چدار	6908
35	S	موز	7098
36	B	شیر 1 درصد	7448
37	B	پنیر چدار	7599
38	S	موز	7789
39	D	پیتزا	8083
40	L	برنج سفید	8221
41	D	شراب قرمز	8332
42	B	قهوه	8403
43	L	هویج	8500
44	B	نان	8818
45	L	مرغ	9070
46	B	اپل	9161
47	S	نارنجی	9412
48	L	ماست کم چربی میوه	9610
49	B	نارنجی	9758
50	B	جو	9956
51	B	نان فرانسوی	10078
52	B	موز	10129
53	B	نان	10465
54	L	اپل	10674
55	L	لوبیای پخته	10925
56	D	گوجه فرنگی	10985
57	B	پنیر چدار	11239
58	L	موز	11357
59	D	نان تست	11707
60	L	پنیر چدار	11927
61	B	قهوه محلول	12117
62	L	برنج بخار پز	12194
63	D	شراب قرمز	12256
64	D	گوجه فرنگی	12329
65	D	بیکن	12628
66	L	روغن زیتون	12782
67	L	گوجه فرنگی	12896
68	L	نارنجی	13137
69	S	تخم مرغ	13335
70	D	سینه مرغ	13525
71	L	چای	13626
72	L	گوجه فرنگی	13737
73	B	دانههای ذرت	14036
74	L	نان	14155
75	B	اپل	14407
76	S	نان تست	14600
77	B	موز	14820
78		پنیر خامه ای	15156
79		پنیر مونتری	15373
80		پنیر موتزارلا مرطوب	15569
81		پنیر موزارلا	15765
82		پنیر سوئیسی	15960
83		پنیر آمریکایی	16155
84		پنیر آمریکایی	16356
85		پنیر گسترش	16555
86		نصف و نیمه	16704
87		کرم روشن	16864
88		سنگین شلاق کرم	17026
89		شور کره	17215
90		کره میل	17465
91		روغن	17715
92		پنیر چدار	17952
93		کوبی، پنیر	18149
94		خامه ترش	18346
95		جایگزین کرم پودر	18480
96		شیر	18652
97		2% شیر	18811
98		شیر 1 درصد	18969
99		شیر پاکتی بدون چربی	19127
100		شیر خشک	19286
101		شیر شکلات کل	19432
102		شیر شکلات	19597
103		شیر شکلات کم چرب	19759
104		کم چربی ماست وانیلی	19918
105		ماست کم چربی میوه	20073
106		تخم مرغ	20231
107		زرده تخم مرغ	20429
