Row	Meal	Name	Pos
0	B	Muna	33
1	B	Teen	215
2	B	Paahtoleipää	337
3	B	Leipä	482
4	B	Banaani	682
5	B	Teen	991
6	L	Leipä	1122
7	S	Kahvin	1322
8	B	Kahvin	1432
9	B	Paahtoleipää	1542
10	B	Banaani	1741
11	D	Leipä	1995
12	B	Kaurapuuro	2196
13	B	Vähän rasvaa hedelmät jogurtti	2309
14	L	Tomaatti	2413
15	L	Muna	2651
16	D	Valkoinen riisi	2834
17	B	Koko-vehnä leipä	2944
18	D	Porkkana	3086
19	S	Keksi	3356
20	B	Teen	3520
21	D	Tomaatti	3652
22	B	Pekonia	3934
23	L	Valkoinen riisi	4104
24	S	Teen	4214
25	S	Vähän rasvaa hedelmät jogurtti	4337
26	L	Tomaatti	4441
27	S	Leipä	4723
28	B	Banaani	4924
29	D	Muna	5185
30	D	Sipuli	5368
31	D	Kana	5680
32	B	Vähän rasvaa hedelmät jogurtti	5804
33	D	Cheddar-juusto	5974
34	S	Banaani	6176
35	B	1 % maito	6486
36	B	Cheddar-juusto	6637
37	S	Banaani	6839
38	L	Valkoinen riisi	7093
39	D	Punaviini	7204
40	B	Teen	7275
41	L	Porkkana	7372
42	B	Leipä	7642
43	L	Kana	7820
44	S	Oranssi	7907
45	L	Vähän rasvaa hedelmät jogurtti	8068
46	B	Oranssi	8236
47	B	Kaura	8397
48	B	Ranskalainen leipä	8505
49	B	Banaani	8672
50	B	Leipä	8968
51	L	Keitettyjä papuja	9103
52	D	Tomaatti	9163
53	B	Cheddar-juusto	9401
54	L	Banaani	9531
55	D	Paahtoleipää	9841
56	L	Cheddar-juusto	9987
57	B	Pikakahvi	10189
58	L	(Parboiled) riisi	10259
59	D	Punaviini	10321
60	D	Tomaatti	10394
61	D	Pekonia	10677
62	L	Oliiviöljyä	10847
63	L	Tomaatti	10942
64	L	Oranssi	11167
65	S	Muna	11328
66	D	Broilerin rintafileetä	11511
67	L	Kahvin	11615
68	L	Tomaatti	11726
69	B	Maissihiutaleet	12009
70	L	Leipä	12128
71	S	Paahtoleipää	12306
72	B	Banaani	12452
73		Tuorejuusto	12748
74		Märkä mozzarellajuustoa	12949
75		Mozzarella-juustoa	13157
76		Parmesaanijuustoa	13364
77		Provolone-juustoa	13502
78		Ricottajuustoa	13712
79		Sveitsiläinen juusto	13851
80		Sulatejuustosta	14058
81		Puolet ja puolet	14199
82		Kevytkermaa	14363
83		Raskas kuohukermaa	14520
84		Suolattua voita	14671
85		Kermavaahtoa voita	14817
86		Voita öljyä	14963
87		Cheddar-juusto	15096
88		Colby-juusto	15305
89		Smetanaa	15514
90		Kerma korvata jauhe	15639
91		Täysmaitoa	15795
92		2 % maitoa	15954
93		1 % maito	16112
94		Rasvaton maito	16270
95		Maidon	16429
96		Koko kaakaota	16559
97		Kaakaota	16723
98		Suklaa kevytmaitoa	16884
99		Vähärasvainen vanilja jogurtti	17042
100		Vähän rasvaa hedelmät jogurtti	17216
101		Muna	17394
102		Munankeltuainen	17585
103		Paistettu kananmuna	17733
104		Munia hirviö	17926
105		Vatkataan munia	18145
106		Kananmunaa	18363
107		Voita ilman suolaa	18491
108		Varustelemattomien rasvaton maito	18637
109		Juustokastike	18795
110		Kevyt pieni rasvaa hedelmät jogurtti	18936
111		Kerma varajäsen	19110
112		Chilijauhetta	19264
113		Sinappi	19403
114		Suolaa	19538
