Row	Meal	Name	Pos
0	B	Café	33
1	L	Yaourt	168
2	B	Yaourt	334
3	B	Banane	500
4	D	Yaourt	793
5	S	Café	959
6	S	Banane	1094
7	B	Jus d'orange	1387
8	B	Lait écrémé	1521
9	L	Banane	1673
10	D	Pizza Margherite, cuite au four	1966
11	B	Pain blanc	2116
12	D	Potage	2427
13	D	Spaghetti	2586
14	D	Coca-Cola 	2641
15	B	Pain toast	2751
16	L	Riz blanc	3077
17	L	Café	3178
18	L	Coca-Cola 	3314
19	B	Beurre	3424
20	L	Pizza Margherite	3639
21	S	Yaourt	3789
22	D	Hamburger	3956
23	B	Corn Flakes	4026
24	L	Pommes frites	4101
25	B	Gouda	4285
26	L	Carotte	4445
27	B	Thé	4770
28	D	Café	4843
29	D	Riz blanc	4979
30	L	Pain blanc	5080
31	S	Lait écrémé	5391
32	D	Banane	5544
33	B	Chocolat au lait	5838
34	B	Coca-Cola 	5985
35	D	Gouda	6095
36	D	Salade verte	6255
37	L	Hamburger	6386
38	B	Orange	6456
39	D	Carotte	6619
40	L	Tomate	6944
41	L	Pomme	7224
42	B	Spaghetti	7458
43	L	Gouda	7513
44	B	Fromage à pâte molle	7673
45	S	Chocolat au lait	7883
46	D	Ketchup	8030
47	B	Biscuits aux noisettes	8162
48	L	Purée de pommes de terre	8343
49	S	Coca-Cola 	8399
50	B	Pizza Margherite	8509
51	D	Pommes frites	8659
52	L	Ketchup	8843
53	D	Tomate	8975
54	B	Lait chocolaté	9255
55	S	Hamburger	9424
56	D	Pain blanc	9494
57	D	Pomme	9805
58	B	Sucre	10039
59	L	Salade verte	10241
60	L	Spaghetti	10372
61	L	Sprite 	10427
62	S	Pomme	10543
63	B	Mandarine	10777
64	L	Lait écrémé	10939
65	S	Ketchup	11092
66	B	Nesquik Céréales	11224
67	B	Jambon cuit de devant	11294
68	B	Jambon cru	11448
69	L	Jambon cru	11603
70	L	Orange	11758
71	L	Chocolat au lait	11921
72	L	Poulet Innenfilet	12068
73	D	Poulet Innenfilet	12208
74	L	Jambon cuit de devant	12348
75	D	Vin, rouge, 12 vol%	12502
76	S	Sucre	12576
77	L	Lion (Nestlé)	12778
78	L	Oignon	13041
79	L	Légumes	13346
80	L	Brocoli	13479
81	D	Jambon cru	13689
82	L	Fromage à pâte molle	13844
83	D	Jambon cuit de devant	14054
84	B	Expresso	14208
85	S	Riz blanc	14311
86	S	Pain blanc	14412
87	B	Expresso crème	14723
88	B	Demi-crème	14880
89	S	Pizza Margherite	15046
90	B	Jus de pomme	15196
91	L	Jus d'orange	15335
