Row	Meal	Name	Pos
0	B	ביצה	33
1	B	קפה	211
2	B	טוסט	327
3	B	לחם	556
4	B	בננה	840
5	B	קפה	1140
6	L	לחם	1265
7	S	תה	1549
8	B	תה	1653
9	B	טוסט	1757
10	B	בננה	2040
11	D	לחם	2285
12	B	שיבולת שועל	2570
13	B	יוגורט שמן נמוך	2697
14	L	עגבניות	2772
15	L	ביצה	2998
16	D	אורז לבן	3177
17	B	לחם מקמח מלא	3286
18	D	גזר	3512
19	S	ביסקוויט	3791
20	B	קפה	3949
21	D	עגבניות	4075
22	B	בייקון	4345
23	L	אורז לבן	4503
24	S	אפל	4612
25	S	קפה	4844
26	S	יוגורט שמן נמוך	4961
27	L	עגבניות	5036
28	S	לחם	5306
29	B	בננה	5591
30	D	ביצה	5843
31	D	בצל	6022
32	D	עוף	6298
33	B	יוגורט שמן נמוך	6471
34	D	גבינת צ'דר	6612
35	S	בננה	6826
36	B	חלב 1%	7127
37	B	גבינת צ'דר	7272
38	S	בננה	7486
39	D	פיצה	7731
40	L	אורז לבן	7870
41	D	יין אדום	7980
42	B	קפה	8050
43	L	גזר	8141
44	B	לחם	8420
45	L	עוף	8682
46	B	אפל	8818
47	S	כתום	9050
48	L	יוגורט שמן נמוך	9228
49	B	כתום	9367
50	B	שיבולת שועל	9545
51	B	לחם צרפתי	9667
52	B	בננה	9718
53	B	לחם	10005
54	L	אפל	10224
55	L	שעועית אפויה	10456
56	D	עגבניות	10515
57	B	גבינת צ'דר	10741
58	L	בננה	10883
59	D	טוסט	11184
60	L	גבינת צ'דר	11414
61	B	קפה נמס	11628
62	L	אורז אנקל	11698
63	D	יין אדום	11759
64	D	עגבניות	11831
65	D	בייקון	12102
66	L	שמן זית	12260
67	L	עגבניות	12355
68	L	כתום	12568
69	S	ביצה	12746
70	D	חזה עוף	12925
71	L	תה	13061
72	L	עגבניות	13166
73	B	קורנפלקס	13437
74	L	לחם	13555
75	B	אפל	13817
76	S	טוסט	13991
77	B	בננה	14221
78		גבינת שמנת	14508
79		גבינת מונטריי	14708
80		גבינת מוצרלה רטוב	14928
81		גבינת מוצרלה	15148
82		גבינת פרמזן	15367
83		גבינת פרובולונה	15503
84		גבינת ריקוטה	15725
85		גבינה שוויצרית	15865
86		גבינה אמריקאית	16084
87		גבינה אמריקאית	16309
88		גבינה כפולה	16532
89		חצי וחצי	16673
90		שמנת קלה	16807
91		שמנת מצליף כבד	16958
92		חמאה מלוחה	17112
93		חמאה קצפת	17286
94		חמאה שמן	17460
95		גבינת צ'דר	17621
96		קולבי גבינה	17842
97		שמנת חמוצה	18063
98		אבקת תחליף קרם	18187
99		חלב מלא	18341
100		חלב 2%	18494
101		חלב 1%	18647
102		חלב דל שומן	18800
103		חלב יבש	18954
104		כל שוקולד חלב	19097
105		שוקולד חלב	19256
106		שוקו שמן נמוך	19412
107		יוגורט דל שומן-וניל	19565
108		יוגורט שמן נמוך	19711
109		ביצה	19860
110		חלמון ביצה	20047
111		ביצת עין	20189
