Row	Meal	Name	Pos
0	B	Tojás	33
1	B	Kávé	203
2	B	Pirítós	325
3	B	Kenyér	571
4	B	Banán	872
5	B	Kávé	1190
6	L	Kenyér	1321
7	B	Pirítós	1622
8	B	Banán	1922
9	D	Kenyér	2184
10	B	Zabpehely	2485
11	B	Alacsony zsírtartalmú gyümölcs joghurt	2614
12	L	Paradicsom	2712
13	L	Tojás	2940
14	D	Fehér rizs	3111
15	B	Teljes kiőrlésű kenyér	3222
16	D	Sárgarépa	3465
17	S	Keksz	3748
18	B	Kávé	3903
19	D	Paradicsom	4035
20	B	Szalonna	4307
21	L	Fehér rizs	4479
22	S	Alma	4590
23	S	Kávé	4834
24	S	Alacsony zsírtartalmú gyümölcs joghurt	4957
25	L	Paradicsom	5055
26	S	Kenyér	5327
27	B	Banán	5629
28	D	Tojás	5899
29	D	Hagyma	6070
30	D	Csirke	6382
31	B	Alacsony zsírtartalmú gyümölcs joghurt	6588
32	S	Banán	6752
33	B	1 %-os tej	7071
34	S	Banán	7222
35	L	Fehér rizs	7485
36	D	Vörös bor	7597
37	B	Kávé	7669
38	L	Sárgarépa	7766
39	B	Kenyér	8049
40	L	Csirke	8328
41	B	Alma	8497
42	S	Narancs	8741
43	L	Alacsony zsírtartalmú gyümölcs joghurt	8925
44	B	Narancs	9087
45	B	Zab	9271
46	B	Francia kenyér	9395
47	B	Banán	9557
48	B	Kenyér	9862
49	L	Alma	10098
50	L	Sült bab	10342
51	D	Paradicsom	10403
52	L	Banán	10631
53	D	Pirítós	10950
54	L	Forrázott a rizs	11197
55	D	Vörös bor	11260
56	D	Paradicsom	11334
57	D	Szalonna	11607
58	L	Olívaolaj	11779
59	L	Paradicsom	11887
60	L	Narancs	12102
61	S	Tojás	12286
62	D	Csirkemell	12457
63	L	Paradicsom	12608
64	B	Kukoricapehely	12881
65	L	Kenyér	13001
66	B	Alma	13280
67	S	Pirítós	13466
68	B	Banán	13713
69		Krémsajt	14018
70		Parmezán sajt	14218
71		Svájci sajt	14362
72		Amerikai sajt	14602
73		Amerikai sajt	14848
74		Derelye	15092
75		Fele-fele	15236
76		Könnyű krém	15405
77		Nehéz tejszín	15567
78		Sózott vaj	15761
79		Tejszínhabbal vajjal	15947
80		Vaj-olaj	16133
81		Tejföl	16306
82		Krém helyett por	16436
83		Teljes tej	16604
84		2 %-os tej	16763
85		1 %-os tej	16921
86		Zsírszegény tej	17079
87		Száraz tej	17238
88		Egész tejcsokoládé	17369
89		Csokoládés tej	17533
90		Alacsony zsírtartalmú kakaó	17694
91		Alacsony zsírtartalmú vanília joghurt	17852
92		Alacsony zsírtartalmú gyümölcs joghurt	18020
93		Tojás	18191
94		Tojássárgája	18369
95		Tükörtojás	18519
96		Kemény főtt tojás	18699
97		Habart tojás	18912
98		Szárított tojáshéj	19124
99		Vaj, só nélkül	19279
100		Fel zsírszegény tej	19464
101		Sajt mártással	19622
102		Könnyű alacsony zsírtartalmú gyümölcs joghurt	19769
103		Krém helyett	19937
104		Dúsított, alacsony zsírtartalmú gyümölcs joghurt	20103
105		Könnyű dúsított alacsony zsírtartalmú gyümölcs joghurt	20277
106		Mustár	20447
107		Só	20588
108		Baba zabpehely	20731
109		Baba rizs gabona	20877
110		Disznózsír	21014
111		Majonézes öntet	21123
112		Majonézes öntet	21268
113		Földimogyoró-olaj	21428
114		Szójaolaj	21566
115		Olívaolaj	21710
116		Olasz öntettel	21856
117		Francia salátaöntet	22017
118		Alacsony zsírtartalmú növényi olaj elterjedt	22177
119		Kukoricaolaj	22358
