Row	Meal	Name	Pos
0	B	Telur	33
1	B	Kopi	195
2	B	Roti panggang	325
3	B	Roti	555
4	B	Pisang	840
5	B	Kopi	1152
6	L	Roti	1291
7	S	Teh	1576
8	B	Teh	1694
9	B	Roti panggang	1812
10	B	Pisang	2096
11	D	Roti	2353
12	B	Yoghurt rendah lemak buah	2639
13	L	Tomat	2745
14	L	Telur	2912
15	D	Nasi putih	3075
16	B	Roti gandum	3187
17	D	Wortel	3414
18	S	Biskuit	3661
19	B	Kopi	3807
20	D	Tomat	3947
21	L	Nasi putih	4158
22	S	Kopi	4270
23	S	Yoghurt rendah lemak buah	4401
24	L	Tomat	4507
25	S	Roti	4718
26	B	Pisang	5004
27	D	Telur	5268
28	D	Bawang merah	5431
29	D	Ayam	5684
30	B	Yoghurt rendah lemak buah	5861
31	S	Pisang	6033
32	B	susu 1%	6346
33	S	Pisang	6505
34	L	Nasi putih	6762
35	D	Anggur merah	6875
36	B	Kopi	6947
37	L	Wortel	7052
38	B	Roti	7299
39	L	Ayam	7562
40	L	Yoghurt rendah lemak buah	7702
41	B	Gandum	7872
42	B	Roti Prancis	7998
43	B	Pisang	8167
44	B	Roti	8466
45	L	Kacang panggang	8686
46	D	Tomat	8748
47	L	Pisang	8915
48	D	Roti panggang	9228
49	B	Kopi instan	9459
50	L	Beras pratanak	9530
51	D	Anggur merah	9594
52	D	Tomat	9668
53	L	Minyak zaitun	9880
54	L	Tomat	9978
55	S	Telur	10132
56	D	Dada ayam	10295
57	L	Teh	10441
58	L	Tomat	10560
59	L	Roti	10772
60	S	Roti panggang	11035
61	B	Pisang	11266
62		Krim keju	11565
63		Keju Amerika	11759
64		Keju Amerika	12012
65		Keju menyebar	12263
66		Setengah dan setengah	12411
67		Cahaya krim	12574
68		Asin mentega	12736
69		Kocok mentega	12932
70		Mentega minyak	13128
71		Krim asam	13311
72		Krim pengganti bedak	13436
73		Susu	13595
74		susu 2%	13762
75		susu 1%	13928
76		Susu tanpa lemak	14094
77		Kering susu	14261
78		Seluruh coklat susu	14408
79		Coklat susu	14580
80		Susu cokelat rendah lemak	14749
81		Yoghurt rendah lemak buah	14915
82		Telur	15094
83		Kuning telur	15264
84		Goreng telur	15415
85		Telur rebus	15587
86		Telur orak-arik	15783
87		Kering telur	15978
88		Mentega tanpa garam	16128
89		Saus keju	16323
90		Cahaya rendah lemak buah yoghurt	16465
91		Krim pengganti	16640
92		Dibentengi rendah lemak buah yoghurt	16796
93		Cahaya dibentengi yoghurt rendah lemak buah	16977
94		Bubuk cabai	17154
95		Garam	17293
96		Sereal beras bayi	17410
97		Lemak babi	17530
98		Mayones saus	17633
99		Minyak kacang	17767
100		Kedelai minyak	17894
101		Minyak zaitun	18028
102		Italia berpakaian	18164
103		Ganti Perancis	18315
104		Rendah lemak sayur minyak menyebar	18465
105		Minyak jagung	18656
106		Saus keju biru	18789
107		Tongkat mentega	18944
108		Margarin	19135
109		Minyak sayur menyebar	19324
110		Minyak sayur	19471
111		Industri kedelai minyak	19608
112		Industri kedelai dan minyak biji kapas	19741
113		Minyak kelapa	19874
114		Ayam	20007
115		Ayam yang dilapisi tepung roti	20208
116		Ayam	20414
117		Ayam goreng	20611
118		Daging ayam panggang	20815
119		Sup ayam	21014
120		Hati ayam	21213
121		Dada ayam dengan kulit	21335
122		Dada ayam yang dilapisi tepung roti	21497
123		Dada ayam panggang	21665
124		Daging ayam payudara	21826
125		Dada ayam	21993
126		Paha	22155
127		Paha ayam	22316
128		Paha ayam	22486
129		Sayap ayam	22648
130		Sayap ayam panggang	22785
131		Kalkun panggang	22902
132		Daging panggang kalkun	23039
133		Tanah kalkun	23172
134		Kaldu sapi	23280
