Row	Meal	Name	Pos
0	B	계란	33
1	B	커피	192
2	B	토스트	297
3	B	빵	469
4	B	바나나	696
5	B	커피	829
6	L	빵	943
7	S	차	1170
8	B	차	1263
9	B	토스트	1356
10	B	바나나	1582
11	D	빵	1660
12	B	오트밀	1888
13	B	낮은 뚱뚱한 과일 요구르트	2009
14	L	토마토	2091
15	L	계란	2182
16	D	흰 쌀	2342
17	B	통 밀 빵	2448
18	D	당근	2617
19	S	비스킷	2810
20	B	커피	2937
21	D	토마토	3052
22	B	베이컨	3187
23	L	흰 쌀	3337
24	S	애플	3443
25	S	커피	3575
26	S	낮은 뚱뚱한 과일 요구르트	3681
27	L	토마토	3763
28	S	빵	3898
29	B	바나나	4126
30	D	계란	4211
31	D	양파	4371
32	D	치킨	4572
33	B	낮은 뚱뚱한 과일 요구르트	4724
34	D	체 다 치즈	4872
35	S	바나나	5065
36	B	1% 우유	5199
37	B	체 다 치즈	5333
38	S	바나나	5526
39	D	피자	5604
40	L	흰 쌀	5740
41	D	레드 와인	5847
42	B	커피	5916
43	L	당근	5996
44	B	빵	6189
45	L	치킨	6394
46	B	애플	6509
47	S	오렌지	6641
48	L	낮은 뚱뚱한 과일 요구르트	6755
49	B	오렌지	6901
50	B	귀리	7015
51	B	프랑스 빵	7131
52	B	바나나	7182
53	B	빵	7302
54	L	애플	7464
55	L	구운된 콩	7596
56	D	토마토	7652
57	B	체 다 치즈	7743
58	L	바나나	7864
59	D	토스트	7998
60	L	체 다 치즈	8171
61	B	인스턴트 커피	8364
62	L	쌀	8421
63	D	레드 와인	8479
64	D	토마토	8550
65	D	베이컨	8686
66	L	올리브 오일	8836
67	L	토마토	8917
68	L	오렌지	8995
69	S	계란	9109
70	D	닭 가슴살	9269
71	L	차	9385
72	L	토마토	9479
73	B	콘플레이크	9615
74	L	빵	9730
75	B	애플	9935
76	S	토스트	10009
77	B	바나나	10182
78		크림 치즈	10302
79		몬트레이 치즈	10474
80		젖은 모 짜 렐 라 치즈	10673
81		모 짜 렐 라 치즈	10872
82		파 르 마 치즈	11070
83		프로 볼로 네 치즈	11204
84		리 코타 치즈	11405
85		스위스 치즈	11539
86		아메리칸 치즈	11737
87		아메리칸 치즈	11941
88		치즈 확산	12143
89		하프와 하프	12279
90		가벼운 크림	12425
91		무거운 채찍 질 크림	12573
92		소금된 버터	12738
93		휘저어 진된 버터	12882
94		버터 기름	13026
95		체 다 치즈	13157
96		콜 비 치즈	13357
97		사 우 어 크림	13557
98		크림 대신 분말	13682
99		전체 우유	13821
100		2% 우유	13963
101		1% 우유	14105
102		탈지 우유	14247
103		건조 우유	14390
104		전체 초콜릿 우유	14528
105		초콜릿 우유	14676
106		저지방 초콜릿 우유	14821
107		저지방 바닐라 요구르트	14963
108		낮은 뚱뚱한 과일 요구르트	15116
109		계란	15272
110		계란 노 른 자	15440
111		튀김 달걀	15579
112		하드 삶은 계란	15749
113		스크램블된에 그	15936
114		말린된 계란	16122
115		소금 없이 버터	16263
116		치즈 소스	16407
117		낮은 뚱뚱한 체 다 치즈	16544
118		가벼운 낮은 지방 과일 요구르트	16737
119		크림 대용	16889
120		요새 낮은 지방 과일 요구르트	17026
121		빛 강화한 낮은 뚱뚱한 과일 요구르트	17184
122		칠리 파우더	17338
123		겨자	17467
124		소금	17589
125		베이비 오트밀	17702
126		아기 라이스 시리얼	17853
127		라 드	17985
128		마요네즈 드레싱	18089
129		마요네즈와 샐러드 드레싱	18209
130		땅콩 기름	18344
131		콩 오일	18455
132		올리브 오일	18572
133		이탈리아 드레싱	18691
134		프렌치 드레싱	18827
135		낮은 지방 식물성 기름 확산	18962
136		옥수수 기름	19101
137		블루 치즈 드레싱	19217
138		카 놀라 기름	19357
139		버터 스틱	19472
140		마가린	19611
141		식물성 기름 확산	19748
