Row	Meal	Name	Pos
0	B	Kiaušinių	33
1	B	Kavos	215
2	B	Skrudinta duona	350
3	B	Duona	625
4	B	Bananų	955
5	B	Kavos	1291
6	L	Duona	1435
7	S	Arbata	1765
8	B	Arbata	1888
9	B	Skrudinta duona	2011
10	B	Bananų	2340
11	D	Duona	2621
12	B	Avižiniai dribsniai	2952
13	B	Mažai riebalų vaisiai jogurtas	3084
14	L	Pomidorų	3204
15	L	Kiaušinių	3462
16	D	Baltieji ryžiai	3645
17	D	Morkų	3758
18	S	Sausainių	4108
19	B	Kavos	4274
20	D	Pomidorų	4419
21	L	Baltieji ryžiai	4721
22	S	Kavos	4834
23	S	Mažai riebalų vaisiai jogurtas	4970
24	L	Pomidorų	5090
25	S	Duona	5392
26	B	Bananų	5723
27	D	Kiaušinių	6011
28	D	Svogūnų	6194
29	D	Vištienos	6510
30	B	Mažai riebalų vaisiai jogurtas	6721
31	S	Bananų	6907
32	B	1 % pieno	7244
33	S	Bananų	7408
34	D	Pica	7689
35	L	Baltieji ryžiai	7834
36	D	Raudonas vynas	7948
37	B	Kavos	8023
38	L	Morkų	8133
39	B	Duona	8483
40	L	Vištienos	8791
41	S	Oranžinė	8965
42	L	Mažai riebalų vaisiai jogurtas	9152
43	B	Oranžinė	9336
44	B	Avižų	9523
45	B	Prancūziška duona	9650
46	B	Bananų	9844
47	B	Duona	10167
48	L	Keptos pupos	10432
49	D	Pomidorų	10495
50	L	Bananų	10753
51	D	Skrudinta duona	11090
52	B	Kava	11366
53	L	Eksportą ryžių	11444
54	D	Raudonas vynas	11509
55	D	Pomidorų	11586
56	L	Alyvuogių aliejaus	11889
57	L	Pomidorų	12011
58	L	Oranžinė	12256
59	S	Kiaušinių	12443
60	D	Vištienos krūtinėlė	12626
61	L	Arbata	12773
62	L	Pomidorų	12897
63	B	Kukurūzų dribsnių	13200
64	L	Duona	13322
65	S	Skrudinta duona	13630
66	B	Bananų	13906
67		Grietinėlės sūris	14229
68		Parmezano sūris	14448
69		Rikotos sūriu	14605
70		Šveicariškas sūris	14753
71		Amerikos sūris	15009
72		Amerikos sūris	15271
73		Sūris išplito	15531
74		Pusė ir pusė	15681
75		Lengvas kremas	15863
76		Sunkiųjų apmėtymas grietinėlės	16044
77		Sūdyto sviesto	16250
78		Plakto sviesto	16422
79		Sviestas	16594
80		Grietine	16753
81		Kremas pakeisti milteliai	16894
82		Nenugriebto pieno	17077
83		2 % pieno	17249
84		1 % pieno	17420
85		Neriebus pienas	17591
86		Sauso pieno	17763
87		Visą šokoladinis pienas	17914
88		Šokoladinį pieną	18091
89		Mažai riebalų šokoladinį pieną	18265
90		Mažai riebalų vanilės jogurtas	18436
91		Mažai riebalų vaisiai jogurtas	18626
92		Kiaušinių	18819
93		Kiaušinių trynys	19009
94		Keptas kiaušinis	19155
95		Kietai virtų kiaušinių	19347
96		Plakta kiaušinių	19581
97		Džiovinti kiaušinių	19814
98		Sviesto be druskos	19980
99		Sūrio padažu	20151
100		Šviesos mažai riebalų vaisiai jogurtas	20299
101		Kremas Pavaduojantis narys	20489
102		Spirituoto mažai riebalų vaisiai jogurtas	20670
103		Šviesos spirituoto mažai riebalų vaisiai jogurtas	20866
104		Čili miltelių	21058
105		Garstyčių	21221
106		Druska	21364
107		Kūdikių avižiniai dribsniai	21522
108		Kūdikių ryžių grūdų	21688
109		Kiaulinių taukų	21825
110		Majonezo padažas	21945
111		Salotoms su majonezu	22104
112		Žemės riešutų aliejus	22278
113		Sojų aliejus	22430
114		Alyvuogių aliejaus	22588
