Row	Meal	Name	Pos
0	B	Brood	33
1	L	Brood	318
2	S	Roomboterkoekje	603
3	D	Broccoli gekookt	758
4	B	Spek mager	996
5	B	Melk halfvolle	1155
6	S	Brood	1274
7	D	Spek mager	1559
8	S	Chocolade melk-	1718
9	B	Cornflakes	1859
10	D	Spaghetti Bolognaise diepvries	1977
11	L	Kaas 45+	2082
12	D	Turkse pizza	2306
13	B	Kaas 45+	2448
14	D	Brood	2672
15	B	Roomboterkoekje	2958
16	D	Chips	3114
17	S	Chips	3240
18	B	Koffie	3366
19	L	Chips	3461
20	L	Spek mager	3587
21	B	Granola	3747
22	L	Broccoli gekookt	3864
23	S	Melk halfvolle	4103
24	L	Volkorenbrood	4223
25	D	Avocado	4511
26	B	Volkorenbrood	4678
27	B	Cappuccino vers	4966
28	B	Yoghurt magere	5094
29	B	Pindakaas	5233
30	D	Roomboterkoekje	5334
31	B	Roomboter puntjes	5490
32	S	Mandarijn	5670
33	B	Pap havermout	5822
34	S	Koekje	5949
35	B	Honing	6113
36	D	Groenten gekookt	6176
37	L	Yoghurt magere	6273
38	L	Melk halfvolle	6412
39	S	Spek mager	6532
40	L	Stokbrood	6692
41	L	Turkse pizza	6979
42	B	Jam	7121
43	D	Melk halfvolle	7204
44	B	Halvarineproduct	7324
45	B	Kiwi	7499
46	D	Yoghurt magere	7611
47	B	Avocado	7750
48	B	Stokbrood wit	7917
49	B	Latte	8204
50	L	Krekker	8327
51	B	Soya joghurt	8544
52	D	Kool rode gekookt	8713
53	D	Tomaat	9003
54	D	Ei gekookt	9256
55	B	Smeerkaas 20+	9442
56	B	Smeerkaas 40+	9568
57	B	Thee	9683
58	B	Spaghetti Bolognaise diepvries	9755
59	L	Avocado	9860
60	L	Halvarineproduct	10027
61	S	Koek	10202
62	D	Rijst witte gekookt	10318
63	B	Boterham 	10411
64	S	Krekker	10435
65	S	Kaas 45+	10652
66	S	Appel m schil	10876
67	S	Koffie	11074
68	S	Cornflakes	11169
69	S	Yoghurt magere	11288
70	B	Havermoutpap	11427
71	D	Noodles	11549
72	L	Tomaat	11670
73	L	Koekje roomboter-	11923
74	D	Koekje	12079
75	D	Frites	12243
76	D	Cornflakes	12417
77	L	Boter gezouten	12536
78	D	Krekker	12723
79	B	Banaan	12940
80	B	Roggebrood donker	13223
81	S	Muesli krokante Cruesli Balans	13512
82	L	Pindakaas	13600
83	D	Kaas 45+	13701
84	S	Water	13925
85	S	Banaan	13993
86	L	Spaghetti Bolognaise diepvries	14276
87	L	Noodles	14381
88	B	Melkchocolade	14502
89	B	Ontbijtkoek	14644
90	S	Granola	14793
91	S	Kiwi	14910
92	S	Avocado	15022
93	D	Ontbijtkoek	15189
94	B	Turkse pizza	15338
95	S	Thee	15480
96	D	Pasta witte gem gekookt	15552
97	D	Soya joghurt	15701
98	B	Ei gekookt	15870
99	L	Thee	16056
100	B	Krekker	16128
101	S	Broccoli gekookt	16346
102	B	Tomaat	16586
103	L	Jam	16840
104	L	Koffie	16924
105	L	Roti	17020
106	L	Ontbijtkoek	17326
107	L	Latte	17476
108	L	Melkchocolade	17600
109	L	Kiwi	17743
110	S	Walnoot 	17856
111	B	Speculaas	18132
112	L	Banaan	18239
113	S	Turkse pizza	18523
114	B	Ontbijtproduct Special K chocolade	18666
115	D	Stokbrood wit	18771
116	B	Mandarijn	19059
117	S	Sinaasappel	19212
118	L	Ei gekookt	19374
119	L	Mandarijn	19561
120	B	Kristalsuiker	19714
121	D	Ui gebakken	19880
122	B	Boter gezouten	20164
123	B	Rietsuiker	20352
124	L	Pate	20535
125	D	Frisdrank cola	20572
126	L	Koekje	20678
127	S	Soya joghurt	20843
128	D	Mandarijn	21013
129	S	Wijn rode	21166
130	B	Koek	21218
131	D	Aardappelkroketten diepvries	21335
132	D	Aardappelen	21537
133	D	Roggebrood donker	21705
134	D	Jam	21995
135	L	Ui gebakken	22079
136	D	Oliebol	22363
137	D	Pangasius	22501
138	D	Roti	22714
139	S	Boterham 	23020
140	D	Spinazie gekookt	23045
141	S	Tomaat	23206
142	B	Kipfilet (vleeswaar)	23460
143	B	Broccoli gekookt	23652
144	B	Spinazie gekookt	23892
145	S	Amandelen	24053
146	L	Appelstroop	24294
147	L	Ahornsiroop	24363
148	L	Beenham	24425
149	L	Ei	24560
150	D	Aardappels	24725
151	L	Spinazie gekookt	24942
152	L	Ananas	25103
153	D	Pastinaak soep	25310
154	L	Water	25373
155	B	Ananas	25442
156	L	Pastinaak soep	25649
157	B	Appel m schil	25712
158	L	Appel m schil	25911
159	L	Boterham 	26110
160	S	Spaghetti Bolognaise diepvries	26135
161	S	Kaas Mozzarella	26241
162	S	Latte	26469
163	L	Roomboter puntjes	26593
164	L	Roggebrood donker	26774
165	D	Water	27064
166	D	Thee	27133
167	D	Vanille room ijs	27206
168	D	Ananas	27315
169	B	Oploscappuccino	27522
170	B	Water	27667
171	B	Chips	27736
172	D	Kipfilet	27863
173	D	Kiwi	28000
174	L	Sinaasappel	28113
175	B	Zonnebloempitten	28275
176	B	Noodles	28372
177	S	Frites	28494
178	B	Beenham	28669
179	B	Kipfilet	28804
180	B	Chocoladehagelslag	28941
181	S	Kipfilet (vleeswaar)	29075
182	B	Kaas Mozzarella	29267
183	L	Herbareep	29495
184	D	Boterham 	29654
185	D	Leverpastei	29679
186	D	Kipfilet (vleeswaar)	29785
187	D	Ei kippen- gekookt	29977
188	D	Appel m schil	30142
189	D	Komkommersalade	30341
190	D	Latte	30568
191	D	Prei gekookt	30692
192	L	Cola light	30796
193	L	Aardappelmeel	30927
194	S	Noodles	31081
195	L	Leverworst	31203
196	S	Frisdrank cola	31329
197	L	Fruitreep	31435
198	L	Kool rode gekookt	31646
199	L	Zalm gerookt	31937
200	S	Donker roggebrood	32038
201	S	Kwark volle	32328
202	S	Pate	32446
203	S	Pap havermout	32483
204	S	Cola light	32611
205	S	Beenham	32742
206	S	Fruitreep	32877
207	L	Mozzarella kaas	33088
208	S	Stokbrood	33316
209	D	Aardappelpuree bereid m hv melk m marg	33604
210	L	Aardappelen	33715
211	L	Aardappels	33883
212	L	Volle chocolademelk	34100
213	L	Wijn rode	34247
214	L	Aardappelkroketten diepvries	34299
215	L	Magere chocolademelk	34501
216	L	Friet	34636
217	S	Volkorenbrood	34826
218	L	Bleekselderij	35115
219	S	Appel Elstar z schil	35346
220	S	Roomboter puntjes	35501
221	S	Rijstkoeken met choco	35682
222	S	Boter gezouten	35823
223	S	Volle chocolademelk	36011
224	S	Aardappelkroketten diepvries	36158
225	S	Aardappelen	36360
226	S	Aardappels	36528
227	D	Aardappelpuree gem instant	36745
228	B	Sinaasappel	36826
229	B	Koekje	36988
230	B	Fruitreep	37153
231	B	Tomaat	37364
232	D	Volkorenbrood	37492
233	D	Kaas Mozzarella	37781
234	D	Koek	38009
235	L	Granola	38126
236	D	Wijn rode	38244
237	B	Kippen ei gekookt	38296
238	D	Koffie	38461
239	D	Beenham	38557
240	S	Magere chocolademelk	38692
241	L	Hamburger	38827
242	L	Zuurkool	38943
243	L	Soya joghurt	39019
244	L	Groenten gekookt	39189
245	D	Pate	39287
246		Roomkaas	39324
247		Parmezaanse kaas	39546
248		Zwitserse kaas	39686
249		Amerikaanse kaas	39940
250		Amerikaanse kaas	40200
251		Kaas verspreiden	40458
252		Lichte room	40602
253		Zware ranselende room	40765
254		Gezouten boter	40949
255		Slagroom boter	41162
256		Boterolie	41375
257		Cheddarkaas	41575
258		Zure room	41831
259		Crème plaatsvervanger poeder	41958
260		Volle melk	42121
261		2% melk	42281
262		1% melk	42440
263		Droge melk	42599
264		Hele chocolade melk	42743
265		Chocolade melk	42908
266		Magere chocolade melk	43070
267		Laag vet vanille yoghurt	43229
268		Ei	43410
269		Eigeel	43604
270		Gebakken ei	43750
271		Gedroogde ei	43946
272		Boter zonder zout	44095
273		Kaassaus	44307
274		Laag vet cheddarkaas	44454
275		Crème Plaatsvervanger	44702
276		Chilipoeder	44862
277		Mosterd	45009
278		Zout	45149
279		Smilac-voorschot	45284
280		Reuzel	45422
281		Aardnotenolie	45527
282		Sojaolie	45660
283		Olijfolie	45799
284		Laag vet plantaardige olie verspreid	45940
285		Maïsolie	46147
286		Canola-olie	46285
287		Boter stok	46422
288		Plantaardige olie verspreid	46629
289		Plantaardige olie	46781
290		Industriële sojaolie	46923
291		Industriële soja en katoenzaad olie	47061
292		Kokosolie	47199
293		Kip	47337
294		Gepaneerde kip	47555
295		Kip	47778
296		Gebakken kip	47992
297		Gebraden kippenvlees	48213
298		Gestoofde kip	48429
299		Kippenlever	48645
300		Kippenborst met huid	48768
301		Gepaneerde kipfilet	48928
302		Geroosterde kip-borst	49094
303		Kip borstvlees	49253
304		Kipfilet	49418
305		Kip been	49578
306		Kip dij	49744
307		Kip vleugel	49899
308		Geroosterde kip vleugel	50041
309		Geroosterde Turkije	50160
310		Geroosterde kalkoenvlees	50296
311		Grond Turkije	50428
312		Rundvlees bouillon	50548
313		Kip noodlesoep	50697
314		Crème van champignonsoep	50855
315		Jus	51013
316		Rundvlees voorraad	51161
317		Kippenbouillon	51317
318		Kippenbouillon	51475
319		Leverworst	51628
320		Hotdog	51761
321		Kip hotdog	51886
322		Lunch vlees	52017
323		Worst	52173
324		Varkens- en rundvlees worst	52298
325		Kalkoenfilet	52454
326		Lichte vlees Roulade van kalkoen	52646
327		Roulade van kalkoen	52793
328		Italiaanse worst	52944
329		Voorgekookt varkensworst	53105
330		Apple-aansluitingen	53231
331		Cacao steentjes	53352
332		Maïs chex	53469
333		Cornflakes	53587
334		All-zemelen tarwe vlokken	53710
335		Fruitige steentjes	53823
336		Muesli	53935
337		Druif-noten granen	54060
338		KIX	54190
339		Gelukssymbolen	54319
340		Honing moer chex	54451
341		Rozijn zemelen	54583
342		Rozijn zemelen granen	54711
343		Rijst chex	54835
344		Gehele korrel totale	54956
345		Tarwe chex	55077
346		Maïs grutten	55199
347		Haver	55327
348		Havermout	55461
349		Haver met kaneel en specerijen	55600
350		Haver met rozijnen en specerijen	55739
351		Laag vet muesli zonder rozijnen	55882
352		Havermout pleinen	55998
353		Haver zemelen granen	56129
354		Vezel een	56259
355		Totale rozijnen zemelen	56374
356		Cacao soezen	56492
357		Laag vet muesli met rozijnen	56613
358		Honing geroosterd haver	56731
359		Vanille amandel	56850
360		Appelsap	56968
361		Appelmoes	57126
362		Banaan	57263
363		Bosbessen	57585
364		Druivensap	57736
365		Druiven	57896
366		Meloen	58050
367		Verse jus d'orange	58408
368		Oranje sap concentraat	58562
369		Jus d'orange bevroren concentraat	58723
370		Perzik	58888
371		Ananas	59108
372		Rozijnen	59359
373		Aardbei	59629
374		Bevroren aardbeien	59932
375		Watermeloen	60239
376		Druif, appel- en perenbomen SAP	60593
377		Gebraden vet op varkensvlees lendenen	60753
378		Gebraden varkensvlees lendenen	60897
379		Geroosterde varkensvlees lendenen	61040
380		Koteletten	61184
381		Varkensvlees bezuinigingen	61329
382		Grond varkensvlees	61477
383		Asperges	61598
384		Groene module bonen	61739
385		Ingeblikte groene bonen	61876
386		Bevroren groene bonen van de module	62055
387		Rauwe kool	62190
388		Kool	62532
389		Wortel	62872
390		Gekookte wortel	63208
391		Bevroren wortel	63542
392		Selderij	63878
393		Cichorei Groenen	64162
394		Loofgroenten	64287
395		Maïs	64419
396		Ingeblikte gele maïs	64721
397		Bevroren maïs	64873
398		Komkommer	65175
399		Andijvie	65416
400		Boerenkool	65578
401		Ijsbergsla	65704
402		Groene sla	66062
403		Witte paddestoel	66420
404		UI	66578
405		Gekookte UI	66884
406		Lente-ui	67193
407		Peterselie	67401
408		Groene erwten	67559
409		Ingeblikte groene erwten	67684
410		Bevroren groene erwten	67809
411		Aardappel	67934
412		Gebakken aardappel	68158
413		Gekookte aardappel	68379
414		Aardappelpuree	68600
415		Aardappel soezen	68728
416		Ruwe spinazie	68898
417		Gekookte spinazie	69086
418		Ingeblikte spinazie	69211
419		Gebakken zoete aardappel	69334
420		Zoete aardappel	69538
421		Tomaat	69738
422		Gekookte tomaten	70096
423		Ingeblikte tomaten	70379
424		Gestoofde tomaten in blik	70565
425		Tomatensap	70846
426		Tomatenpuree	71009
427		Ingeblikte tomatensaus	71166
428		Raapstelen	71321
429		Ingeblikte groentesap	71455
430		Gemengde groenten	71617
431		Zomerpompoen	71741
432		Ingeblikte zoete aardappel	71951
433		Ingeblikte wortelsap	72153
434		Gebakken aardappel met huid	72314
435		Tomatenpuree	72537
436		Augurk	72696
437		Zonnebloempitten	72936
438		Geroosterde zonnebloempitten	73064
439		Amandelen	73193
440		Gebleekte amandelen	73445
441		Geroosterde amandelen	73682
442		Geroosterde olie zonnebloempitten	73918
443		Gezouten geroosterde amandelen	74050
444		Cashewnoten	74288
445		Gemengde noten	74469
446		Olie geroosterde gemengde noten	74594
447		Rundvlees lever	74725
448		Rundvlees lever	74851
449		Rundvlees "briskets" aangeduide	74977
450		Rundvlees	75092
451		Rundvlees ronde	75286
452		Bier	75401
453		80 bewijs drank	75537
454		Rode wijn	75631
455		Witte wijn	75734
456		Groente- en fruitsector SAP	75835
457		Rode stier energiedrank	75980
458		Chocolade siroop	76150
459		Koffie	76279
460		Oploskoffie	76426
461		Verrijkte vruchten drankje	76559
462		Limonade	76736
463		Thee	76922
464		Leidingwater	77065
465		86 bewijs drank	77190
466		Platte vis	77286
467		Haring	77409
468		Zalm	77663
469		Lichte tonijnconserven	77782
470		Krab	77962
471		Garnalen	78164
472		Ingeblikte garnalen	78309
473		Kokkels	78454
474		Ingeblikte kokkels	78637
475		Oester	78824
476		Meerval	78964
477		Regenboogforel	79085
478		Gebakken bonen	79210
479		Gebakken bonen met Franken	79335
480		Zwarte bonen	79462
481		Witte bonen	79601
482		Linzen	79737
483		Gekookte linzen	79879
484		Gezouten pinda 's	80017
485		Gezouten geroosterde pinda 's	80165
486		Pindakaas	80309
487		Gebakken bonen	80440
488		Sojasaus	80579
489		Verrijkte sojamelk	80756
490		Lagere vet pindakaas	80917
491		Pinda's zonder zout	81043
492		Geroosterde pinda 's	81189
493		Koekje	81331
494		Koekje	81498
495		Maïsbrood	81671
496		Frans brood	81820
497		Italiaans brood	82066
498		Multi graan brood	82281
499		Roggebrood	82596
500		Brood	82908
501		Wit brood	83225
502		Volkoren brood	83539
503		Broodkruimels	83852
504		Chocoladetaart	83987
505		Biscuit	84135
506		Kaas kraker	84281
507		Ringdiagrammen	84514
508		Pannenkoek	84797
509		Appeltaart	85013
510		Diner rollen	85205
511		Bakpoeder	85325
512		Gist	85455
513		Wafel	85607
514		Karnemelk wafel	85771
515		Berijpte broodrooster gebak	85935
516		Kaas soezen	86061
517		Witte tortillachips	86228
518		Karamels	86377
519		Bakken chocolade	86524
520		Halfzoete chocolade	86689
521		Lichte vanille-ijs	86845
522		Vanille-ijs	86977
523		Oranje sorbet	87104
524		Gomlekkers	87233
525		Heemst	87558
526		Melk chocolade	87721
527		Pinda M & Ms	87884
528		M & Ms	88077
529		Cacaopoeder	88272
530		Chocolade-ijs	88396
531		Honing	88520
532		Gelei	88626
533		Bruine suiker	88765
534		Suiker	88993
535		Poedersuiker	89213
536		Verrijkte maïsmeel	89383
537		Bruine rijst	89506
538		Rauwe witte rijst	89627
539		Witte rijst	89750
540		Volkoren meel	89872
541		Alle doeleinden meel	89995
542		Wit broodmeel	90120
543		Noedels	90244
544		Koekje met ei en worst	90369
545		Koekje met worst	90501
546		Friet	90633
547		Kip offertes	90830
548		Gemalen rundvlees (75/25)	90959
549		Gele tortillachips	91079
550		Krakeling	91230
551		Laag vet kaas van Amerikaanse	91380
552		Laag vet Zwitserse kaas	91630
553	P	Rijstwafels Zeezout (AH)	91881
554	P	Rijstwafel (Aldi)	91951
555	P	Rijstwafel met Chocolade (Euro Shopper)	92058
556	P	Rijstwafel met Zout (Crusti Croc)	92171
557	P	Rijstwafel met Zeezout (Brink)	92235
558	P	Rijstwafels	92297
559	P	Rijstwafel Barbecue Paprika (Snack A Jacks)	92453
560	P	Biologische Rijstwafels (AH Puur & Eerlijk)	92592
561	P	Ice Tea (Lipton)	92655
562	P	Ice Tea Green (Lipton)	92718
563	P	Iced Tea Peach (Euro Shopper)	92791
564	P	Ice Tea (Blikje) (Lipton)	92847
565	P	Ice Tea Zero (Lipton)	92926
566	P	Ice Tea (Westminster)	92998
567	P	Ice Tea Perzik (C1000)	93057
568	P	Ice Tea Lemon (Lipton)	93112
569	P	Ice Tea (Pataya)	93165
570	P	Ice Tea Perzik (Karvan Cevitam)	93228
571	P	Hummus	93285
572	P	Gemengd Volkoren Brood	93458
573	P	Geroosterd Gemengd Volkoren Brood	93640
574	P	Havermout Brood	93825
575	P	Wit Brood (Caloriearme)	93984
576	P	Tarwezemelen Brood	94133
577	P	Wit Brood	94293
578	P	Brood Vulsel (Droge Mix)	94651
579	P	Brood Vulsel (Droge Mix, Gefabriceerd)	94807
580	P	Banaan Brood (met Margarine)	94920
581	P	Gebroken Tarwe Brood	95073
582	P	Naturel Light (Philadelphia)	95321
583	P	Cake Biscuit	95415
584	P	Koffie (Gemalen)	95504
585	P	Koffie (Espresso)	95680
586	P	Koffie (Oplos-Koffiepoeder)	95789
587	P	Koffie (Oploskoffie)	95978
588	P	Koffie (Oploskoffie, Cappuccino Poeder, met Suiker)	96094
589	P	Bieslook Light (Philadelphia)	96299
590	P	Light (Philadelphia)	96396
591	P	Kruiden (Philadelphia)	96477
592	P	Naturel (Philadelphia)	96578
593	P	Rijstwafel (Euro Shopper)	96645
594	P	Rijstwafel (Zonnatura)	96700
595	P	Light Gegrilde Paprika (Philadelphia)	96821
596	P	Sweet Chili Light (Philadelphia)	96876
597	P	Naturel Light (Philadelphia)	96939
598	P	Light Uitjes en Zwarte Peper (Philadelphia)	97001
599	P	Zalm & Dille (Philadelphia)	97064
600	P	Appel	97126
601	P	Pink Lady Appels	97528
602	P	Appels (zonder Schil)	97925
603	P	Granny Smith Appels	98151
604	P	Golden Delicious Appels	98553
605	P	Fuji Appels	98921
606	P	Braeburn Appels	99322
607	P	Appelbol	99702
608	P	Zoete Kleine Appeltjes (AH)	99861
609	P	Appel-Abrikozen Taartje (AH)	99915
610	P	Spaghetti / Marinara Pastasaus	99973
611	P	Volkoren Spaghetti (Gekookt)	100112
612	P	Droge Spaghetti	100250
613	P	Vloeibare Boter	100375
614	P	Plantaardige Margarine (Caloriearm)	100472
615	P	Plantaardige Margarine (Kuipje, Caloriearm, Gezouten)	100610
616	P	Margarine-Boter Mengsel (60% Maïsolie en 40% Boter)	100734
617	P	Soja-Eiwit Isolaat	100942
618	P	Aardappelpuree (met Volle Melk en Boter)	101043
619	P	Boter (Gezouten)	101185
620	P	Opgeklopte Boter (Gezouten)	101423
621	P	Boter	101657
622	P	Koekjes met Chocolate Chip Topping (met Boter)	101895
623	P	Rijstwafel BBQ (Plus)	102063
624	P	Milde Yoghurt (Vecozuivel)	102123
625	P	Taco Saus Mild (AH)	102160
626	P	Mild Appel Troebel (Appelsientje)	102220
627	P	Geraspte Kaas Mild (C1000)	102293
628	P	Olijfolie Mild (Jumbo)	102336
629	P	Milde Magere Yoghurt (Bio+)	102390
630	P	Biologische Milde Magere Yoghurt (AH)	102452
631	P	Magere Milde Kwark (Melkan)	102507
632	P	Mild Bosfruit (Appelsientje)	102569
633	P	Milde Halfvolle Yoghurt Kers (Almhof)	102630
634	P	Kerriesaus (Gedroogd)	102671
635	P	Teriyakisaus	102815
636	P	Salsa (Kant en Klaar)	102977
637	P	Chilisaus	103116
638	P	Kaassaus	103235
639	P	Tomatensaus (uit Blik)	103405
640	P	Sojasaus (Shoyu)	103588
641	P	Sojasaus (Tamari)	103801
642	P	Sojasaus (Shoyu) (Natriumarm)	103988
643	P	Thee (Cafeïnevrije)	104153
644	P	Bagels (met Ui, Maanzaad, Sesam) (met Calcium)	104322
645	P	Knäckebröd (Naturel of met Honing, met Kaneel)	104602
646	P	Cola (met Cafeïne, met Aspartaam)	104889
647	P	Koekjes met Chocolate Chip Topping (met Margarine)	105043
648	P	Kruidenthee (Anders dan Kamille)	105257
649	P	Cola (met Cafeïne)	105421
650	P	Cranberrysap Cocktail (Diepgevroren Concentraat met Water)	105741
651	P	Whisky met Citroensap	105889
652	P	Smeerkaas Balans 15+ (ERU)	106057
653	P	Rundergehakt (15% Vet)	106110
654	P	Rundergehakt (Burger, 15% Vet, Gebraden)	106245
655	P	Bakkers Crackers (Bolletje)	106470
656	P	Bakkers Crackers Meerzaden (Bolletje)	106583
657	P	Bakkers Crackers Volkoren (Bolletje)	106697
658	P	Crackers	106805
659	P	Crackers (met Pindakaas Vulling)	107075
660	P	Tarwe Crackers	107259
661	P	Volkoren Crackers	107496
662	P	Kaascrackers	107698
663	P	Rogge Knäckebröd	107991
664	P	Melba Toast	108282
665	P	Groene Olijven (Ingemaakt, uit Blik of Glas)	108509
666	P	Multi Vitamientje (Appelsientje)	108614
667	P	Multivitamientje (Appelsientje)	108684
668	P	Mango (Appelsientje)	108767
669	P	Multi Vitamientje Appel-Peer (Appelsientje)	108806
670	P	Multi Vitamientje Rood Fruit (Appelsientje)	108878
671	P	Sprankelfruit Sinaasappel (Appelsientje)	108941
672	P	Dubbeldrank Ananas & Guave (Appelsientje)	109011
673	P	Vitamientje Bosvruchten (Appelsientje)	109065
674	P	Koude Schotel (Onze Trots)	109130
675	P	Yoghurt Biscuit (Jumbo)	109198
676	P	Yoghurt (Mager)	109315
677	P	Yoghurt (Halfvol)	109509
