Row	Meal	Name	Pos
0	B	Яйцо	33
1	B	Кофе	225
2	B	Банан	355
3	D	Курица 	679
4	B	Чай	799
5	B	Хлеб	917
6	S	Чай	1224
7	D	Помидор	1342
8	B	Сыр	1618
9	L	Курица 	1872
10	L	Хлеб	1992
11	S	Яблоко 	2300
12	D	Сыр	2546
13	B	Йогурт	2801
14	L	Помидор	2976
15	B	Омлет	3253
16	L	Яйцо	3261
17	D	Хлеб	3454
18	S	Банан	3762
19	B	Овсянка	4087
20	B	Овсяная каша	4096
21	L	Сыр	4225
22	B	Яблоко 	4480
23	S	Кофе	4726
24	B	Апельсин	4857
25	L	Яблоко 	5048
26	D	Белый рис	5294
27	B	Колбаса 	5404
28	D	Яйцо	5517
29	L	Банан	5710
30	D	Морковь	6035
31	B	Курица 	6372
32	S	Апельсин	6493
33	S	Курица 	6684
34	D	Колбаса 	6805
35	D	Яблоко 	6918
36	L	Белый рис	7164
37	B	Творог	7274
38	B	Молоко	7414
39	B	Помидор	7574
40	L	Чай	7851
41	L	Апельсин	7970
42	D	Куриная грудка отварная	8161
43	S	Яйцо	8313
44	D	Чай	8506
45	B	Яйцо варёное	8625
46	L	Морковь	8854
47	S	Мандарин	9191
48	B	Каша 	9385
49	S	Хлеб	9509
50	L	Кофе	9817
51	L	Суп	9948
52	S	Сыр	10018
53	D	Картошка	10273
54	S	Йогурт	10498
55	S	Печенье	10673
56	L	Йогурт	10715
57	B	Шоколад	10890
58	L	Борщ	11049
59	D	Печенье	11266
60	D	Кофе	11308
61	D	Апельсин	11439
62	D	Банан	11630
63	B	Цельное молоко	11955
64	S	Сельдерей	12059
65	B	Тост из муки грубого помола	12340
66	D	Пицца	12641
67	L	Колбаса 	12782
68	D	Творог	12895
69	S	Морковь	13035
70	S	Молочный шоколад	13372
71	L	Огурец	13531
72	S	Каша 	13780
73	D	Макароны 	13904
74	D	Огурец	14074
75	B	Салат	14323
76	L	Сельдерей	14439
77	S	Помидор	14720
78	B	Вода 	14997
79	D	Смешанные овощи	15074
80	L	Молоко	15194
81	D	Салат	15354
82	S	Шоколад	15470
83	S	Молоко	15629
84	B	Яичница 	15789
85	L	Салат	16017
86	D	Йогурт	16133
87	D	Мандарин	16308
88	L	Яйцо варёное	16502
89	D	Картофельное пюре	16731
90	D	Молоко	16851
91	S	Молоко БК 3,2%	17011
92	S	Картошка	17170
93	L	Смешанные овощи	17395
94	D	Картофель в коже	17515
