Row	Meal	Name	Pos
0	B	Jajce	33
1	B	Kava	191
2	B	Kruh	329
3	B	Kava	635
4	L	Kruh	782
5	S	Čaj	1088
6	B	Čaj	1214
7	D	Kruh	1340
8	B	Ovsena kaša	1646
9	B	Nizko maščobe sadni jogurt	1778
10	L	Paradižnika	1882
11	L	Jajce	2128
12	D	Beli riž	2287
13	B	Polnozrnati kruh	2401
14	D	Korenček	2649
15	S	Piškotov	2926
16	B	Kava	3073
17	D	Paradižnika	3221
18	B	Slanino	3511
19	L	Beli riž	3682
20	S	Jabolko	3796
21	S	Kava	4040
22	S	Nizko maščobe sadni jogurt	4179
23	L	Paradižnika	4284
24	S	Kruh	4574
25	D	Jajce	4881
26	D	Čebula	5040
27	D	Piščanec	5349
28	B	Nizko maščobe sadni jogurt	5533
29	B	1 % mleka	5704
30	L	Beli riž	5871
31	D	Rdeče vino	5986
32	B	Kava	6060
33	L	Korenček	6173
34	B	Kruh	6450
35	L	Piščanec	6734
36	B	Jabolko	6881
37	L	Nizko maščobe sadni jogurt	7125
38	B	Oves	7294
39	B	Francoski kruh	7422
40	B	Kruh	7598
41	L	Jabolko	7839
42	L	Pečen fižol	8083
43	D	Paradižnika	8147
44	L	Dolgozrnatega riža	8393
45	D	Rdeče vino	8459
46	D	Paradižnika	8535
47	D	Slanino	8826
48	L	Oljčno olje	8997
49	L	Paradižnika	9108
50	S	Jajce	9341
51	D	Piščančje prsi	9500
52	L	Čaj	9636
53	L	Paradižnika	9763
54	B	Koruzni kosmiči	10054
55	L	Kruh	10177
56	B	Jabolko	10461
57		Sveži sir	10647
58		Parmezan	10860
59		Skuto	11004
60		Švicarski sir	11150
61		Ameriški sir	11397
62		Ameriški sir	11650
63		Namaz sirni	11901
64		Pol in pol	12045
65		Lahka krema	12210
66		Težka stepena smetana	12374
67		Soljeno maslo	12570
68		Stepeno maslo	12732
69		Maslo olje	12894
70		Kisla smetana	13043
71		Smetano nadomestek v prahu	13170
72		Polnomastno mleko	13342
73		2 % mleko	13517
74		1 % mleka	13691
75		Neredilni mleka	13865
76		Suhega mlečnega	14040
77		Celotno čokoladno mleko	14189
78		Čokoladno mleko	14369
79		Nizko vsebnostjo maščob mleko čokolada	14546
80		Nizka vsebnost maščob vanilijev jogurt	14720
81		Nizko maščobe sadni jogurt	14895
82		Jajce	15073
83		Jajčni rumenjak	15239
84		Trdo kuhano jajce	15388
85		Polovic jajčnih	15582
86		Posušene jajčne	15775
87		Maslo brez soli	15924
88		Neizpopolnjene neredilni mleka	16085
89		Sir omako	16258
90		Lahka nizko maščobe sadni jogurt	16404
91		Smetana nadomestek	16578
92		Utrjeno nizko maščobe sadni jogurt	16747
93		Svetlobo obogatena nizko maščobe sadni jogurt	16927
94		Gorčica	17103
95		Sol	17247
96		Mast	17377
97		Jutranje majoneze	17482
98		Solatni preliv z majonezo	17629
99		Arašidovo olje	17791
100		Sojino olje	17931
101		Oljčno olje	18078
102		Italijanski preliv	18227
103		Francoski jutranje	18391
104		Nizko maščobe rastlinskega olja, širjenje	18554
105		Koruzno olje	18711
106		Olje oljne repice	18857
107		Maslo palico	19002
108		Rastlinsko olje, širjenje	19159
109		Rastlinsko olje	19319
110		Industrijski sojino olje	19469
111		Industrijski sojino in olje bombaževca	19615
112		Kokosovo olje	19761
113		Piščanec	19907
114		Pohan piščanec	20115
115		Piščanec	20328
116		Pohan piščanec	20532
117		Praženo piščančje meso	20743
118		Dušena piščanec	20949
119		Piščančja jetra	21155
120		Piščančje prsi s kožo	21278
121		Piščančji panirani	21430
122		Pečene piščančje prsi	21588
123		Meso piščančjih prsi	21739
124		Piščančje prsi	21896
125		Palčka	22048
126		Piščančja bedra	22205
127		Piščančja stegna	22375
128		Piščanca krilo	22533
129		Pečen piščanec krila	22671
130		Praženi Turčija	22788
131		Praženo puranje meso	22927
