Row	Meal	Name	Pos
0	B	蛋	33
1	B	咖啡	189
2	B	吐司	291
3	B	面包	460
4	B	香蕉	684
5	B	咖啡	933
6	L	面包	1044
7	S	茶	1268
8	B	茶	1358
9	B	吐司	1448
10	B	香蕉	1671
11	D	面包	1865
12	B	燕麦	2090
13	B	低脂肪水果酸奶	2211
14	L	番茄	2284
15	L	蛋	2458
16	D	白米饭	2615
17	B	全麦面包	2721
18	D	胡萝卜	2887
19	S	饼干	3121
20	B	咖啡	3263
21	D	番茄	3375
22	B	培根	3593
23	L	白米饭	3728
24	S	苹果	3834
25	S	咖啡	4033
26	S	低脂肪水果酸奶	4136
27	L	番茄	4209
28	S	面包	4427
29	B	香蕉	4652
30	D	蛋	4853
31	D	洋葱	5010
32	D	鸡	5233
33	B	低脂肪水果酸奶	5383
34	D	切达干酪	5522
35	S	香蕉	5691
36	B	1%牛奶	5941
37	B	切达干酪	6072
38	S	香蕉	6241
39	D	比萨	6435
40	L	白米饭	6568
41	D	红酒	6675
42	B	咖啡	6744
43	L	胡萝卜	6821
44	B	面包	7055
45	L	鸡	7257
46	B	苹果	7370
47	S	橙	7569
48	L	低脂肪水果酸奶	7730
49	B	橙	7867
50	B	燕麦	8028
51	B	法国面包	8144
52	B	香蕉	8289
53	B	面包	8525
54	L	苹果	8684
55	L	烤的豆子	8883
56	D	番茄	8939
57	B	切达干酪	9113
58	L	香蕉	9210
59	D	吐司	9460
60	L	切达干酪	9630
61	B	速溶咖啡	9799
62	L	蒸谷米	9865
63	D	红酒	9923
64	D	番茄	9994
65	D	培根	10213
66	L	橄榄油	10348
67	L	番茄	10438
68	L	橙	10599
69	S	蛋	10760
70	D	鸡胸肉	10917
71	L	茶	11036
72	L	番茄	11127
73	B	玉米片	11346
74	L	面包	11461
75	B	苹果	11663
76	S	吐司	11804
77	B	香蕉	11974
78		奶油芝士	12210
79		蒙特利奶酪	12376
80		湿马苏里拉奶酪	12551
81		马苏里拉奶酪	12726
82		干酪	12900
83		意大利乳清干酪	13033
