Row	ID	AllWeights	AllProperties
0	WS19990	1 متوسطة=44|1 كبيرة=50|1 إضافية كبيرة=56|1 متوسطه=38|1 صغيرة=38|1 كوب|1 جامبو=63	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
1	WS19991	1 كأس صغير=180|1 كأس كبير=355|1 كوب	031|060.3|1437|153
2	WS19651	1 شريحة=25|1 كوب (الفتات)=45|1 شريحة دون قشرة=12|1 كوب (مكعبات)=35|1 شريحة كبيرة (مكعبات)=30|1 شريحة رقيقة=20|1 شريحة رقيقة دون القشرة (مكعبات)=9|1 شريحة رقيقة جداً (مكعبات)=15	03265|0410.5|052.5|0654.5|076.05
3	WS19651	1 شريحة=25|1 كوب (الفتات)=45|1 شريحة دون قشرة=12|1 كوب (مكعبات)=35|1 شريحة كبيرة (مكعبات)=30|1 شريحة رقيقة=20|1 شريحة رقيقة دون القشرة (مكعبات)=9|1 شريحة رقيقة جداً (مكعبات)=15	03265|0410.5|052.5|0654.5|076.05
4	WS20762	1 بسكويت (6 سم)=35|1 كبيرة=77|1 متوسطة=51|2 بسكويت لوكس|1 صغيرة=35	03365|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
5	WS19651	1 شريحة=25|1 كوب (الفتات)=45|1 شريحة دون قشرة=12|1 كوب (مكعبات)=35|1 شريحة كبيرة (مكعبات)=30|1 شريحة رقيقة=20|1 شريحة رقيقة دون القشرة (مكعبات)=9|1 شريحة رقيقة جداً (مكعبات)=15	03265|0410.5|052.5|0654.5|076.05
6	WS19991	1 كأس صغير=180|1 كأس كبير=355|1 كوب	031|060.3|1437|153
7	WS19989	1 كأس صغير=180|1 كأس كبير=355|1 كوب	031.35|040.1|060.35|070.1|126.3|130.05|1432.5|151.55
8	WS19652	1 ك=500|1 معلقتين=1|1 كوب	03310|046.15|050.55|0668.5|071.1|080.1|090.15|100.2|110.15|1224|133.6|1497|154.1
9	WS19989	1 كأس صغير=180|1 كأس كبير=355|1 كوب	031.35|040.1|060.35|070.1|126.3|130.05|1432.5|151.55
