Row	Meal	Name	Brand	Pos
0	B	البيض		33
1	S	الشاي		211
2	B	الخبز		277
3	D	الخبز		498
4	S	بسكويت		719
5	L	الخبز		880
6	B	الشاي		1101
7	B	قهوة		1167
8	L	الأرز الأبيض		1267
9	S	قهوة		1385
10	S	الموز		1485
11	B	حليب 1%		1774
12	S	الخبز		1905
13	S	البيض		2127
14	L	الطماطم		2306
15	D	الأرز الأبيض		2513
16	B	جبنة		2632
17	B	خبز القمح الكامل		2836
18	D	الطماطم		3058
19	S	الزبادي المنخفضة الدهون الفاكهة		3265
20	B	خيار		3402
21	D	صدور الدجاج		3599
22	D	البيض		3732
23	B	زيت الزيتون		3911
24	B	الموز		3979
25	S	أبل		4268
26	L	أرز مسلوق		4481
27	D	بيتزا		4550
28	L	معكرونة		4681
29	L	خيار		4824
30	S	البطاطا		5021
31	B	جبنة شيدر		5246
32	L	البيض		5375
33	S	أورانج		5554
34	S	صدور الدجاج		5711
35	L	الشاي		5844
36	B	الحليب الجاف		5911
37	D	البطاطا		6017
38	B	دقيق الشوفان		6242
39	B	الشوفان		6343
40	S	الخبز الأبيض		6434
41	L	دجاج مطهى		6702
42	S	الحليب الخالي		6876
43	L	الخس		6999
44	D	معكرونة		7312
45	S	الحليب الجاف		7455
46	S	عصير البرتقال الطازج		7561
47	L	زيت الزيتون		7685
48	D	الخضروات مختلطة		7753
49	D	جبنة		7851
50	B	أورانج		8055
51	D	الجزرة		8212
52	L	العدس المطبوخ		8493
53	S	مسحوق الفلفل الحار		8593
54	D	البصل		8707
55	B	أبل		8967
56	L	الموز		9180
57	B	البن القابل للذوبان		9469
58	B	عصير الفواكه والخضروات		9532
59	B	رقائق الذرة		9632
60	B	الزبادي المنخفضة الدهون الفاكهة		9750
61	D	جبنة شيدر		9887
62	B	الخبز الفرنسي		10016
63	S	العدس المطبوخ		10174
64	L	الجزرة		10274
65	S	البن القابل للذوبان		10555
66	B	البطاطا الحلوة		10618
67	S	نخب		10795
68	B	لحم الخنزير المقدد		11023
69	S	بصل مطبوخ		11174
70	B	نخب		11448
71	B	جبنة شيدر قليلة الدهون		11676
72	B	السكر		11866
73	D	أرز مسلوق		12009
74	D	صدور الدجاج مع الجلد		12078
75	L	الزبادي المنخفضة الدهون الفاكهة		12204
76	D	لحم البقر المشوي بليد		12341
77	D	عصير الفواكه والخضروات		12431
78	D	منخفض الدهون الزبادي الفانيليا		12531
79	L	جبنة شيدر		12684
80	D	لحم الخنزير المقدد		12813
81	B	الطماطم		12964
82	L	أورانج		13171
83	L	أبل		13328
84	L	عصير البرتقال الطازج		13541
85	S	مخلل		13665
86	D	عصير البرتقال التركيز		13867
