Row	ID	AllWeights	AllProperties
0	WS19393	1 малка чаша=180|1 голяма купа=355|1 голяма чаша=250|1 чаши	031.4|040.15|050.05|122|1449|152.05
1	WS19664	1 резен=25|2 тънък резен=40|1 парче без кора=12|2.4 резенр=50|1 голямо парче (кубчета)=30|1 купа (галета)=45|1 много тънък резен (кубчета)=15|1 питка|1 чаша (кубчета)=35|1 тънък резен без кора (кубчета)=9	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
2	WS19664	1 резен=25|2 тънък резен=40|1 парче без кора=12|2.4 резенр=50|1 голямо парче (кубчета)=30|1 купа (галета)=45|1 много тънък резен (кубчета)=15|1 питка|1 чаша (кубчета)=35|1 тънък резен без кора (кубчета)=9	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
3	WS21935	1 средно=44|1 голяма=50|1 много голям=56|2 броя=66.5|1 малки=38|1 джъмбо=63|1 чаши=245	03145|0412.5|059.55|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
4	WS22082	1 среден (18 см на 20 см)=120|1 малка (15 см до 18 см)=100|1 чаша (пюре)=225|1 голяма (20 см до 22 см)=135|1 особено малък (по-малки от 15 см)=81|0.7 чаша (нарязани)=105	03100|041|050.6|0625.5|071.95
5	WS19664	1 резен=25|2 тънък резен=40|1 парче без кора=12|2.4 резенр=50|1 голямо парче (кубчета)=30|1 купа (галета)=45|1 много тънък резен (кубчета)=15|1 питка|1 чаша (кубчета)=35|1 тънък резен без кора (кубчета)=9	03270|0410.5|053.45|0649.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
6	WS21929	1 среден (8 см)=180|1 голяма (8 см)=225|1 малка (7 см)=150|1 купа (нарязан)=125|1 особено малък (6 см)=100|1 чаша (сектори)=110|5 об=150|1 купа (нарязан)юю=120|1 малка (5см)	0352.5|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
7	WS19696	1 среден (6 см)=125|1 голяма (8 см)=180|1 мн голям (6 см)=345|1 малък домат (6 см)=91|1 мн среден (6 см)=525|1 малък (3 см)=205|1 голям (6 см)=385|1 клин (1/4 от среден домат)=31|1 чаши	0319.5|040.9|050.4|064.5|071.5|1214.5|131.05|1716
8	WS19696	1 среден (6 см)=125|1 голяма (8 см)=180|1 мн голям (6 см)=345|1 малък домат (6 см)=91|1 мн среден (6 см)=525|1 малък (3 см)=205|1 голям (6 см)=385|1 клин (1/4 от среден домат)=31|1 чаши	0319.5|040.9|050.4|064.5|071.5|1214.5|131.05|1716
9	WS21929	1 среден (8 см)=180|1 голяма (8 см)=225|1 малка (7 см)=150|1 купа (нарязан)=125|1 особено малък (6 см)=100|1 чаша (сектори)=110|5 об=150|1 купа (нарязан)юю=120|1 малка (5см)	0352.5|040.25|050.15|0614|072.4|0810.5|090.05|110.05|126|130.1|14105|151|174.6
10	WS23086	1 средно=200|1 резен=7|1 купа (нарязан)=135|1 голяма (21 см)=280|1 малки (16 см)=160|1 стик (10 см)=9|5 резена=355|3 краставици=600|1 чаша (нарязани)=120|1 средна=200	0312|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152.2|173.2
11	WS23086	1 средно=200|1 резен=7|1 купа (нарязан)=135|1 голяма (21 см)=280|1 малки (16 см)=160|1 стик (10 см)=9|5 резена=355|3 краставици=600|1 чаша (нарязани)=120|1 средна=200	0312|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152.2|173.2
12	WS21935	1 средно=44|1 голяма=50|1 много голям=56|2 броя=66.5|1 малки=38|1 джъмбо=63|1 чаши=245	03145|0412.5|059.55|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
13	WS23033	5 малка чаша=890|1 голяма купа=355|1 чаши	0358|043.3|052|064.8|085.05|091.25|100.55|110.05|12120|14140|1547|168|170.2|181.2
14	WS19393	1 малка чаша=180|1 голяма купа=355|1 голяма чаша=250|1 чаши	031.4|040.15|050.05|122|1449|152.05
