Row	Meal	Name	Brand	Pos
0	B	Кафе		33
1	L	Хляб		140
2	D	Хляб		444
3	B	Яйце		748
4	B	Банан		933
5	B	Хляб		1144
6	B	Ябълка		1448
7	D	Домат		1712
8	L	Домат		1959
9	S	Ябълка		2206
10	L	Краставица		2470
11	D	Краставица		2715
12	L	Яйце		2960
13	B	2 % мляко		3146
14	S	Кафе		3282
15	D	Ябълка		3390
16	B	Нес кафе		3655
17	B	Овесени ядки		3739
18	L	Ябълка		3774
19	D	Яйце		4039
20	B	Сирене		4225
21	S	Бисквити		4260
22	L	Пиле		4465
23	S	Банан		4711
24	S	Чай		4923
25	L	Бял ориз		5000
26	D	Бял ориз		5104
27	B	Чай		5208
28	D	Кашкавал		5285
29	B	1 % мляко		5320
30	B	Овесена каша		5459
31	B	Домат		5574
32	D	Кисело мляко 2%		5822
33	B	Мед		5863
34	L	Кашкавал		5963
35	D	Пиле		5998
36	D	Пилешки гърди		6244
37	D	Сирене		6386
38	B	Салам		6421
39	D	Банан		6546
40	D	Картофи		6758
41	D	Бира		6993
42	B	Кафе с мляко		7123
43	B	Фъстъци, сурови		7161
44	L	Банан		7195
45	L	Пилешка супа		7407
46	B	Кекс		7546
47	S	Яйце		7566
48	D	2 % мляко		7752
49	S	Хляб		7888
50	D	Оризовки		8193
51	B	Пълномаслено мляко		8228
52	D	Салам		8369
53	L	Бял хляб		8494
54	S	Ниска мазнини плодове кисело мляко		8792
55	B	Тост		8942
56	S	Мед		9193
57	D	Бял хляб		9293
58	B	Млечен шоколад		9591
59	B	Извара		9757
60	L	2 % мляко		9792
61	B	Краставица		9928
62	B	Ръжен хляб		10173
63	S	Смесени ядки		10470
64	B	Бял хляб		10577
65	D	Пица		10875
66	L	Морков		11012
67	D	Салата айсберг		11308
68	D	Морков		11707
69	D	Фъстъци, сурови		12003
70	D	Лук		12037
71	S	Млечен шоколад		12280
72	B	Ниска мазнини плодове кисело мляко		12446
73	D	Какао на прах		12596
74	L	Сирене		12702
75	L	Кафе		12737
76	L	Млечен шоколад		12845
77	D	Пържени картофи на фурна		13011
78	B	Корнфлейкс		13184
79	B	Слънчогледово семе		13301
80	L	Салата айсберг		13406
81	D	Шунка		13805
82	S	Домат		13960
83	B	Захар		14208
84	B	Канела		14350
85	D	Извара		14370
86	B	Овесени ядки сба		14405
87	B	Макарони		14424
88	D	Чедър сирене		14572
89	L	Зеле		14798
90	D	Свински пържоли		15107
91	L	Варени картофи		15225
92	S	2 % мляко		15398
93	L	Пълномаслено мляко		15534
94	D	Наденица		15675
95	D	Слънчогледово семе		15781
96	L	Оризовки		15886
97	S	Бонбони		15921
98	D	Ръжен хляб		16066
99	B	Бисквити		16363
100	B	Овес		16568
101	D	Пюре от картофи		16671
102	S	Ориндж		16782
103	L	Фъстъци, сурови		16944
104	B	Кисело мляко		16979
105	D	Варени картофи		17018
106	B	Праскова		17192
107	L	Зехтин		17439
108	L	Чедър сирене		17459
109	L	Пилешко месо		17686
110	S	Бял хляб		17872
111	S	Бира		18171
112	S	Пица		18302
113	D	Пилешка супа		18440
114	D	Макарони		18580
115	B	Чедър сирене		18729
