Row	Meal	Name	Brand	Pos
0	B	Čaj		33
1	B	Káva		139
2	B	Chléb		255
3	D	Chléb		557
4	L	Kuře		859
5	S	Káva		1052
6	B	Ovesné vločky		1168
7	B	Vajíčko		1341
8	S	Jablko		1549
9	S	Čaj		1783
10	L	Bílá rýže		1889
11	B	Banán		1996
12	B	mléko 1 %		2315
13	B	Šunka		2487
14	D	Vaječný bílek		2683
15	L	Brambory		2719
16	D	Vajíčko		2948
17	S	Sušenky		3157
18	B	Nízké tuku ovoce jogurt		3347
19	D	Rajče		3447
20	S	Banán		3755
21	B	Jablko		4074
22	L	Kuřecí prsa		4309
23	B	Toasty		4493
24	S	Chléb		4745
25	L	Chléb		5048
26	L	Rajče		5351
27	D	Šunka		5659
28	B	Tvrdý rohlík		5855
29	B	Máslo bez soli		6020
30	S	Šunka		6163
31	L	Špagety		6359
32	B	Žitný chléb		6478
33	B	Instantní káva		6793
34	D	Kuřecí prsa		6865
35	D	Čaj		7049
36	S	Arašídy pražené - nesolené		7156
37	S	Okurka salátová		7193
38	S	Nízké tuku ovoce jogurt		7231
39	L	Bramborová kaše		7331
40	D	Toasty		7474
41	L	Vařený brambor		7726
42	L	Vepřové kotlety		7932
43	B	Müsli		8049
44	B	Cukr		8157
45	L	Vajíčko		8307
46	D	Míchaná zelenina		8516
47	L	Hovězí maso		8659
48	D	Sýr čedar		8854
49	D	Okurka		9013
50	S	Vajíčko		9244
51	D	Pivo		9453
52	S	Tvrdý rohlík		9554
53	D	Bílá rýže		9719
54	S	Pomelo		9826
55	B	Sýr čedar		9857
56	L	Čaj		10016
57	S	Oranžová		10123
58	B	Odpoutává		10279
59	B	Tvarohový koláč		10511
60	L	Mrkev		10655
61	D	Smetanový sýr		10971
62	D	Žitný chléb		11150
63	L	Okurka		11465
64	B	Mysli - jahodové		11696
65	L	Hranolky		11732
66	B	Kukuřičné vločky		11906
67	D	Ledový salát		12012
68	L	Dlouhozrnné rýže		12403
69	B	Jablečný koláč		12465
70	S	2 % mléko		12660
71	L	Mleté vepřové maso		12797
72	D	Vařený brambor		12898
73	B	Okurka salátová		13104
74	D	Sunka 92%		13142
75	D	Tvrdý rohlík		13179
76	D	Máslo bez soli		13344
77	L	Rýže dlouhozrnná		13487
78	B	Med		13524
79	D	Mrkev		13624
80	S	Žitný chléb		13940
81	L	Sýr čedar		14255
82	D	Kuře		14414
83	L	Tvrdý rohlík		14608
84	S	Okurka		14773
85	D	Rýže dlouhozrnná		15004
86	B	2 % mléko		15041
87	L	Jablko		15178
88	B	Rajče		15413
89	L	Olivový olej		15721
90	L	Banán		15796
91	D	Rýžové plátky		16115
92	S	Mrkev		16153
93	S	Toasty		16469
94	S	Cukr		16721
95	D	Plochá ryba		16871
96	D	Grep		16969
97	L	Oranžová		17005
98	S	Staromódní kobliha		17161
99	B	Oranžová		17365
100	D	Cibule		17521
101	B	Ledový salát		17809
102	B	Francouzský chléb		18201
103	L	Káva		18354
104	S	Hrozny		18472
105	S	Kuřecí párek v rohlíku		18596
106	D	Kuřecí párek v rohlíku		18713
107	S	mléko 1 %		18830
