Row	ID	AllWeights	AllProperties
0	WS8977	1 potion=40|2.4 motion=100|1 dl=45|2.4 lotion=185|0.3 krus|1 deciliters	03455|0412|057.3|0669.5|0710|081.5|091.35|102.3|112.55|12350|1324.5|14365|15215
1	WS16138	1 stor kop=355|1 lille kop=180|1 krus	031.15|040.1|122|1449|152
2	WS2896	1 stykke=14	03340|045.7|051.3|0647|078.6|083.8|090.2|100.3|110.6|1238|131.7|14275|15510
3	WS19550	1 skive=25|2 tynd skive=40|1 skive uden skorpe=12|1 stor skive (kuber)=30|3 skiver=19|1.6 tynd skive uden skorpe (kuber)=14.5|1 kop (kuber)=35|1 kop (rasp)=45|1 meget tynd skive (kuber)=15	03245|0410.5|053.2|0639|078.35|090.65|100.75|111.3|1260.5|132.4|14220|15455|160.7
4	WS10367	1 medium=44|1 stor=50|2 store=100|1 lille=38|1 stort=90|3 stykker=150|2 æg=110|2 stk=125|1 stykke=60|1 ekstra stor=56|1 potion=350|1 quarts|1 jumbo=63	03210|0414|059.9|060.8|080.4|093.1|103.65|111.9|1255.5|131.75|14140|15140|16375|182
5	WS10367	1 medium=44|1 stor=50|2 store=100|1 lille=38|1 stort=90|3 stykker=150|2 æg=110|2 stk=125|1 stykke=60|1 ekstra stor=56|1 potion=350|1 quarts|1 jumbo=63	03210|0414|059.9|060.8|080.4|093.1|103.65|111.9|1255.5|131.75|14140|15140|16375|182
6	WS16138	1 stor kop=355|1 lille kop=180|1 krus	031.15|040.1|122|1449|152
7	WS3065	1 stykke=14	0355|040.3|050.3|0611.5|072.2|088.1|090.1|110.2|123.85|130.1|14120|153|177.7
8	WS19550	1 skive=25|2 tynd skive=40|1 skive uden skorpe=12|1 stor skive (kuber)=30|3 skiver=19|1.6 tynd skive uden skorpe (kuber)=14.5|1 kop (kuber)=35|1 kop (rasp)=45|1 meget tynd skive (kuber)=15	03245|0410.5|053.2|0639|078.35|090.65|100.75|111.3|1260.5|132.4|14220|15455|160.7
9	WS14176	1 medium (6 cm)=125|1 tyk/stor skive (1 cm)=27|1 lille tomat (6 cm)=91|1 stor=50|0.5 stk=50|2 Skive (1 cm)=40|1 stort (8 cm)=180|4 små=100|1 kile (1/4 af medium tomat)=31|1 stykke=100|1 krus	0372.5|041.75|050.5|065.55|071.35|083.6|090.05|100.05|110.15|1210.5|130.4|14265|151.8|1717.5
10	WS10129	1 stor kop=355|1 krus|1 lille kop=180	031|061.25|1470|153.65
