Row	Meal	Name	Brand	Pos
0	B	Havregryn		33
1	B	Kaffe		195
2	L	Rugbrød, mørkt		270
3	L	Brød		368
4	B	Æg		650
5	L	Æg		896
6	S	Kaffe		1142
7	S	Æble, dansk, råt		1217
8	B	Brød		1316
9	L	Tomat		1598
10	S	Te		1893
11	B	Skummetmælk		1966
12	D	Æg		2079
13	B	Grovbolle		2326
14	B	Smør, saltet		2422
15	B	Skummetmælk 0.5 % fedt (Minimælk)		2528
16	D	Brød		2657
17	S	Appelsin, rå		2940
18	S	Banan		3040
19	D	Gulerod		3430
20	B	Te		3772
21	L	Gulerod		3845
22	D	Kyllingebryst		4187
23	S	Kiks		4372
24	B	Banan		4516
25	L	Rugbrød, fuldkorn		4906
26	D	Grøn salat		5014
27	L	Rugbrød		5384
28	B	Rundstykke		5704
29	B	Rugbrød, fuldkorn		5820
30	D	Kylling		5928
31	S	Brød		6192
32	D	Tomat		6475
33	L	Hamburgerryg, kogt		6771
34	L	Spegepølse		6895
35	D	Rugbrød		7006
36	B	Müsli		7326
37	B	1% mælk		7370
38	S	Banan, rå		7503
39	L	Leverpostej		7602
40	L	Te		7709
41	L	Kylling		7782
42	B	Ost, fast, 45+, alle typer		8046
43	B	Skyr		8159
44	S	Gulerod		8191
45	B	Letmælk, konventionel (ikke-økologisk)		8533
46	B	Yoghurt med müsli		8637
47	S	Mælk chokolade		8754
48	B	Rosiner		8933
49	S	Pære, rå		9215
50	B	Sukker		9358
51	B	Lav fedt frugt yoghurt		9519
52	L	Peberfrugt, rød, rå		9671
53	S	Rugbrød, mørkt		9768
54	B	Franskbrød		9867
55	S	Lav fedt frugt yoghurt		10025
56	D	Oksekød, hakket, råt		10177
57	B	Ost, fast, 30+, alle typer		10250
58	B	Rugbrød		10356
59	D	Pommes frites		10676
60	S	Æg		10890
61	L	Grøn salat		11137
62	S	Mørk chokolade		11507
63	L	Banan		11629
64	B	Mandler		12019
65	L	Agurk, rå		12241
66	L	Kyllingebryst		12325
67	D	Blandede grøntsager		12510
68	B	Hindbærmarmelade		12619
69	B	Yoghurt naturel		12708
70	D	Løg		12835
71	S	Chokolade, fyldt		13099
72	D	Rugbrød, Hercules, Kohberg		13214
73	B	Kaffe, drikkeklar		13249
74	L	Hytteost		13291
75	L	Rullepølse		13340
76	B	Appelsinjuice, konserves		13459
77	S	Clementin		13544
78	S	Skummetmælk		13563
79	S	Knækbrød, rug-, fint		13676
80	S	Ristede mandler		13771
81	B	Proteinpulver		13965
82	S	Rosiner		14009
83	L	Grovbolle		14291
84	D	Kartoffelmos		14387
85	S	Grovbolle		14486
86	S	Ost, fast, 30+, alle typer		14582
87	L	Vand		14688
88	L	Rugbrødsboller		14811
89	B	Rundstykker		14958
90	D	Peberfrugt, rød, rå		14998
91	B	Mørk chokolade		15095
92	D	Rugbrød, fuldkorn		15217
93	D	Oksekød		15325
94	D	Svinemørbrad, afpudset, rå		15504
95	S	Peanuts, (jordnød, ristet og saltet)		15596
96	B	Avocado, rå		15700
97	D	Vand		15809
98	S	Rugbrød		15932
99	S	Vindrue, rå		16252
100	S	Nektarin, rå		16350
101	D	Gulerod, dansk, rå		16472
102	D	Rullepølse		16570
103	L	Skummetmælk		16690
104	D	Tomatsuppe, spiseklar		16804
105	D	Blomkål, dansk, rå		16901
106	S	Rundstykke		16999
107	L	Mineralvand, sodavand, Cola		17116
108	B	Nøddepasta, Nutella		17185
109	S	Mandel, rå		17280
110	L	Hårdkogt æg		17385
111	L	Bacon i skiver, rå		17575
112	L	Peanuts, (jordnød, ristet og saltet)		17682
113	L	Icebergsalat		17787
114	B	Knækbrød, rug-, fint		18160
115	L	Torsk, rogn, rå		18256
116	L	Makrel i tomat, konserves		18356
117	D	Hamburgerryg, kogt		18467
118	S	Æble		18592
119	B	Smør		18739
120	L	Saltet smør		18855
121	L	Agurk		19014
122	S	Mikrobølgepopcorn		19217
123	D	Rugbrød, mørkt		19324
124	L	Mayonnaise		19424
125	L	Rugbrød mørkt		19538
126	B	Havregryn, ikke beriget		19630
127	S	Skummetmælk 0.5 % fedt (Minimælk)		19733
128	B	Ost 17%		19863
129	D	Spejlæg		19894
130	L	Ost, fast, 45+, alle typer		20075
131	D	Hamburgerryg, røget		20189
132	B	Sukker, stødt melis (saccharose)		20300
133	S	Ost, fast, 45+, alle typer		20372
134	S	Æble, importeret, råt		20486
135	D	Agurk, rå		20581
136	D	Æble, dansk, råt		20666
137	L	Banan, rå		20767
138	L	Kaffe		20867
139	S	Mineralvand, sodavand, Cola		20944
140	S	Vandmelon		21013
141	B	Honning		21281
142	B	Fløde 38 %, piskefløde		21368
143	S	Franskbrød		21479
144	B	Banan, rå		21638
145	B	Æble, dansk, råt		21738
146	S	Blandet nødder		21839
147	L	Avocado, rå		21949
148	L	Smør, saltet		22059
149	L	Skyr		22166
150	D	Te		22199
151	L	Rugbrød, Hercules, Kohberg		22273
152	D	Saltet smør		22309
153	L	Rejer		22468
154	S	Havregryn		22591
155	B	Grovfranskbrød		22755
156	S	Pomolo		22840
157	L	Hamburgerryg, røget		22872
158	D	Laks		22983
159	D	Broccoli, kogt		23079
160	B	Yoghurt med jordbær		23174
161	L	Franskbrød		23285
162	L	Tun, rå		23444
163	S	Kiwi, rå		23523
164	S	Nøddepasta, Nutella		23628
165	S	Skyr vanilja		23723
166	B	Æg, hele, rå		23754
167	L	Hvedebrød, toastbrød, groft, industrifremstillet		23856
168	L	Hytteost, 20+		23952
169	B	Leverpostej		24057
170	D	Smør, saltet		24165
171	B	Hamburgerryg, røget		24272
172	L	Spejlæg		24383
173	L	Skinke, kogt, skiveskåret		24564
174	L	Æble, dansk, råt		24673
175	B	Mini mælk, laktose fri		24774
176	B	Krydder		24811
177	B	Bacon i skiver, rå		24912
178	B	Knækbrød, rug-, groft (Husmans)		25019
179	S	Jordbær, rå		25118
180	S	Chokolade kage		25225
181	L	Ost, fast, 30+, alle typer		25349
182	S	Flødechokolade		25456
183	L	Æble		25563
184	L	Mørk chokolade		25710
185	D	Icebergsalat		25833
186	D	Leverpostej		26206
187	D	Bacon i tern, rå		26314
188	S	Honning		26421
189	D	Mineralvand, sodavand, Cola		26508
190	S	Æble, uspec., råt		26577
191	D	Skummetmælk 0.5 % fedt (Minimælk)		26678
192	S	Rugbrød, fuldkorn		26808
193	D	Rugbrødsboller		26917
194	D	Hvidvin		27065
195	S	Honningmelon, rå		27137
196	D	Skinke		27245
197	L	Rosiner		27300
198	S	Mandler		27583
199	B	Kærnemælk		27806
200	B	Blåbær, rå		27853
201	B	Citron, rå		27939
202	L	Laks		28041
203	L	Jordbær, rå		28137
204	B	Smelteost, 45+		28244
205	L	Havregryn		28349
206	D	Bacon i skiver, rå		28513
207	B	Coffee		28620
208	D	Feta, 40+		28658
209	B	Sødmælk		28766
210	D	Knækbrød, rug-, fint		28901
211	S	Mandarin, rå		28997
212	S	Ostehaps		29095
213	B	Hvidløg, rå		29134
214	D	Mayonnaise		29226
215	S	Gulerødder		29340
216	B	Ost		29379
217	L	Kaffe, drikkeklar		29472
218	L	Røget svinefilet		29515
219	B	Flødeost		29621
220	L	Vindrue, rå		29794
221	L	Skummetmælk 0.5 % fedt (Minimælk)		29893
222	L	Lav fedt frugt yoghurt		30023
223	D	Pølse		30176
224	S	Vandmelon, rå		30284
225	S	Skyr		30376
226	S	Knækbrød, rug-, groft (Husmans)		30409
227	D	Champignon, rå		30508
228	D	Torsk, filet, kogt		30602
229	B	Nupo		30661
230	D	Lasagne		30699
231	L	Kyllingepølse, pålæg		30727
232	L	Tomat, dansk, rå		30834
233	B	Yoghurt med pære og banan		30935
234	L	Æg, hele, rå		31051
235	L	Ananas		31153
236	L	Skinke		31370
237	L	Broccoli, rå		31425
238	S	Hårde slik		31523
239	S	Pære		31605
240	S	Kaffe, drikkeklar		31793
241	S	Leverpostej		31836
242	B	Jordbær, rå		31944
243	S	Vand		32051
244	L	Oksekød		32175
245	L	Kiwi, rå		32355
246	D	Havregryn		32460
247	D	Hytteost, 20+		32624
248	D	Grovbolle		32729
249	S	Netmelon, rå		32826
250	L	Kartoffelmos		32911
251	D	Avocado, rå		33011
252	D	Flødeost		33121
253	D	Æble		33294
254	D	Peberfrugt, grøn, rå		33441
255	D	Broccoli, rå		33543
256	B	Hvedebrød, bolle, grov, industrifremstillet		33641
257	B	Vandmelon		33733
258	S	Spegepølse		34001
259	B	Saltet smør		34113
260	S	Hamburgerryg, kogt		34272
261	B	Vindrue, rå		34397
262	L	Tomatsuppe, spiseklar		34496
263	L	Torsk, filet, kogt		34593
264	B	Knækbrød, hvede-, fint		34652
265	L	Blandede grøntsager		34769
266	S	Coffee		34879
267	S	Sukker		34917
268	B	Æble		35079
269	B	Peberfrugt, rød, rå		35226
270	B	Bread		35324
271	L	Saftevand		35427
272	D	Sødmælk		35569
273	S	Rugbrød mørkt		35704
274	S	Rullepølse		35796
275	S	Gulerod, dansk, rå		35916
276	L	Soyamælk		36014
277	L	Rundstykke		36050
278	B	Tomat		36167
279	S	Smør		36464
280	B	Røræg		36580
281	S	Peberfrugt, rød, rå		36624
282	S	Saltet smør		36722
283	D	Skummetmælk		36881
284	D	Skinke, røget, kogt		36995
285	D	Peanuts, (jordnød, ristet og saltet)		37088
286	D	Solbærmarmelade		37193
287	D	Yoghurt naturel		37288
288	D	Svinekød, uspec., ca. 10 % fedt, råt		37416
289	D	Hvidkål, rå		37505
290	B	Tykmælk		37592
291	B	Spejlæg		37703
292	B	Ost, fast, 20+, alle typer		37884
293	B	Rugbrød, Hercules, Kohberg		37986
294	B	Rygeost, 40+		38022
295	B	Flødeost, 60+		38134
296	B	Skyr med blåbær og solbær		38240
297	B	Appelsin, rå		38260
298	B	Youghurt		38361
299	B	Juice		38456
300	B	Skinke		38475
301	S	Blåbær		38530
302	L	Havarti, 45+		38669
303	B	Spegepølse		38785
304	B	Hytteost, 20+		38897
305	L	Rødbede, konserves		39002
306	D	Fløde 38 %, piskefløde		39099
307	D	Oksekød, hakket, lavt fedtindhold, råt		39210
308	D	Skyr		39285
309	D	Banan, rå		39318
310	D	Tomat, dansk, rå		39418
311	D	Agurk		39519
312	L	Flødeost		39722
313	B	Cheddar cheese		39895
314	B	Jordbærmarmelade		39991
315	S	Tomat		40086
316	L	Appelsinjuice, konserves		40383
317	B	Gulerod		40469
318	L	Yoghurt naturel		40812
319	L	Kødpølse		40940
320	L	Pære, rå		41051
321	L	Nupo		41195
322	L	Torsk, rogn, konserves		41233
323	S	Letmælk, konventionel (ikke-økologisk)		41340
324	S	Agurk, rå		41445
325	S	Kærnemælk		41530
326	L	Hvedebrød, bolle, grov, industrifremstillet		41577
327	L	Kalkunbryst		41669
328	D	Juice		41839
329	L	Hamburgerryg		41858
330	L	Gulerod, dansk, rå		41972
331	L	Appelsin, rå		42070
332	L	Mælk chokolade		42171
333	L	Mandel, rå		42351
334	L	Smørbart blandingsprodukt, 80% fedt		42456
335	L	Cacaomælk		42561
336	L	Smelteost, 30+		42671
337	B	Smørbart blandingsprodukt, 80% fedt		42779
338	B	Havre		42884
339	B	Cornflakes		42977
340	B	Agurk, rå		43086
341	D	Hvidløg, rå		43171
342	B	Hel-hvede brød		43263
343	B	Mysli		43480
