Row	Meal	Name	Brand	Pos
0	B	Kaffee		33
1	B	Butter		334
2	B	Marmelade		627
3	B	Brötchen		772
4	B	Milch 1,5%		1285
5	S	Kaffee		1451
6	B	Banane		1752
7	B	Apfel		2337
8	B	Milch		2828
9	S	Apfel		3317
10	B	Haferflocken		3808
11	B	Toastbrot		4163
12	D	Tomate		4416
13	B	ei		4724
14	L	Nudeln		4980
15	D	Brot		5104
16	L	Kartoffeln		5444
17	B	Käse		5938
18	B	Frischkäse		6078
19	B	Nutella		6325
20	S	Banane		6670
21	L	Kaffee		7256
22	B	Joghurt		7558
23	B	Müsli		7810
24	B	Vollkornbrot		7927
25	D	Butter		8384
26	D	Käse		8678
27	L	Tomate		8818
28	D	ei		9126
29	L	Apfel		9382
30	B	Brot		9874
31	B	Margarine		10214
32	B	Roggenvollkornbrot		10593
33	B	Honig		10847
34	L	ei		10940
35	B	Zucker		11196
36	S	Milchschokolade		11540
37	L	Butter		11731
38	B	Orangensaft		12025
39	B	Hühnerei		12302
40	B	Landbrot		12487
41	D	Nudeln		12753
42	L	Brötchen		12877
43	D	Bier		13391
44	D	Apfel		13612
45	B	Vollmilch		14104
46	D	Kartoffeln		14536
47	L	Käse		15030
48	S	Milch 1,5%		15170
49	L	Banane		15337
50	B	Salami		15923
51	L	Karotte		16273
52	D	Salatgurke		16600
53	D	Rotwein		17060
54	L	Putenbrust		17188
55	S	Schokolade		17365
56	D	Hähnchenbrust		17485
57	D	Paprika		17974
58	D	Frischkäse		18450
59	L	Kartoffel		18697
60	L	Pommes Frites		18965
61	L	Brot		19406
62	D	Olivenöl		19746
63	D	Karotte		19903
64	S	Gummibärchen		20230
65	L	Olivenöl		20399
66	L	Paprika		20556
67	D	Brötchen		21032
68	L	Vollkornbrot		21546
69	B	Cornflakes		22003
70	B	Kaffee mit Milch		22173
71	B	Tee		22439
72	S	Bier		22607
73	D	Banane		22828
74	S	Coca-Cola		23414
75	L	Gurke		23584
76	S	Chips		23962
77	D	Toastbrot		24088
78	D	Salami		24341
79	S	Zucker		24691
80	D	Gurke		25035
81	L	Weißer Reis		25413
82	D	Eisbergsalat		25722
83	B	Tomate		26293
84	D	Roggenvollkornbrot		26601
85	D	Landbrot		26855
86	B	Milchkaffee		27121
87	L	Eisbergsalat		27348
88	L	Coca-Cola		27919
89	S	Keks		28089
90	D	Vollkornbrot		28294
91	B	Weißbrot		28751
92	B	Schinken		29275
93	B	Magerquark		29456
94	D	Kartoffel		29589
95	D	Coca-Cola		29857
96	L	Salatgurke		30027
97	L	Kopfsalat		30487
98	D	Kopfsalat		30942
99	S	Toastbrot		31397
100	S	ei		31650
101	S	Schokoladenkeks		31907
102	B	Roggenbrot		32263
103	L	Landbrot		32603
104	L	Toastbrot		32870
105	L	Brokkoli		33124
106	L	Salat		33478
107	D	Tomaten		33534
108	B	Kiwi		34131
109	D	Spaghetti		34286
110	D	Salat		34525
111	B	Knäckebrot		34581
