Row	ID	AllWeights	AllProperties
0	WS477	1 large cup=355|1 small cup=180|1 cups|12 fluid coffee|1 fl oz=29.5|6 fl oz=180	031.6|040.1|050.05|090.15|110.15|122.05|130.75|1449|152.05
1	WS815	1 medium=44|2 large=100|1 extra large=56|1 small=38|1 jumbo=63|1 cups	03145|0412.5|059.55|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
2	WS1559	1 medium (7" to 8")=120|1 small (6" to 7")=100|1 large (8" to 9")=135|1 extra small (smaller than 6")=81|1 extra large (9" or longer)=150|1 cup (sliced)=150|1 serving=125|1 cup (mashed)=225|1 medium (1 7" to 8")	0389|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|125|130.25|14360|151|178.7
3	WS820	1 packet=28|1 c=81|2 packets=28|1 serving (4 spoon)=28|0.3 cups	03375|0412|057|0670.5|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
4	WS562	1 slice=25|2 slices=25|1 large slice=30|1 very thin slice=15|1 thin slice=20|1 slice without crust=12|1 thin slice without crust=9|1 cup (crumbs)=45|1 cup (cubes)=35	03280|0410.5|053.55|0650.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
5	WS2165	0.5 chicken=300|1 cup (or diced) (chopped)=140|0.5 breast=145|1 unit=180|1 cup (chopped or diced)=140|1 drumstick=135|0.5 cups	03235|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582.5|1688
6	WS2165	0.5 chicken=300|1 cup (or diced) (chopped)=140|0.5 breast=145|1 unit=180|1 cup (chopped or diced)=140|1 drumstick=135|0.5 cups	03235|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582.5|1688
7	WS479	1 tablespoons|12 teaspoons|3 tablespoonfuls|1 tbl|100 grams|1 tbsp=12	03220|042.2|0520.5|066.55|082.9|0911.5|105.05|110.85|12110|130.15|14140|1580|1652|170.9|180.4
8	WS3978	1 small cup=180|1 large cup=355|1 cups|2 teaspoons|1 case|1 fl oz=30.5	0353|043.35|052.05|064.9|085.05|091.25|100.55|110.05|12120|14140|1547|168|170.2|181.2
9	WS1066	1 cup (or diced) (chopped)=140|0.5 breast=86|1 unit=52|1 serving=100|1 cup (chopped or diced)=140|0.5 cups|0.2 chicken	03165|0430.5|053.65|091.05|101.25|110.8|1215|131.05|14255|1574.5|1685|180.1
10	WS2076	1 slice=25|1 large slice=30|1 very thin slice=15|1 thin slice=20|1 slice without crust=12|1 cup (crumbs)=45|1 cup (cubes)=35|1 thin slice without crust=9|2 slices	03320|0413|054.3|0656.5|074.7|086.4|091|101|111.7|12165|134.1|14225|15600|170.2
