Row	Meal	Name	Brand	Pos
0	B	Pan, integral		33
1	B	Cafe		309
2	L	Pollo		601
3	L	Tomate		764
4	L	Pan		1043
5	B	Azúcar		1377
6	B	Leche, entera		1788
7	B	Pan		1877
8	B	Leche descremada		2211
9	S	Manzana		2384
10	D	Tomate		2880
11	B	Café		3160
12	D	Pan		3463
13	L	Arroz Blanco		3798
14	L	Lechuga		4055
15	B	Huevo, entero		4612
16	B	Café con leche		4735
17	B	Queso		4952
18	D	Queso		5151
19	D	Pollo		5348
20	L	Aceite de oliva		5512
21	B	Té		5666
22	B	Colacao		5763
23	S	Pan, integral		5956
24	B	Avena		6233
25	D	Lechuga		6408
26	S	Cafe		6965
27	L	Carne de Res		7258
28	S	Pan		7616
29	B	Jamón, cocido		7951
30	S	Yogur, descremado		8077
31	B	Mantequilla		8207
32	B	Manzana		8461
33	L	Zanahoria		8958
34	L	Manzana		9447
35	B	Zumo de naranja		9944
36	B	Aceite, de oliva		10111
37	B	Yogur, descremado		10236
38	D	Yogur, descremado		10366
39	L	Papas fritas		10496
40	L	Pechuga de pollo		10949
41	L	Queso		11479
42	D	Pan, integral		11676
43	L	Cebolla		11953
44	D	Aceite de oliva		12299
45	B	Naranja		12453
46	B	Tomate		12654
47	D	Manzana		12934
48	S	Pollo		13431
49	S	Café		13595
50	S	Queso		13898
51	L	Huevo, entero		14095
52	D	Jamón, cocido		14216
53	S	Azúcar		14342
54	D	Huevo, entero		14754
55	D	Papas fritas		14875
56	S	Naranja		15328
57	S	Huevo, entero		15529
58	B	Leche entera		15650
59	B	Plátano		16122
60	L	Cafe		16596
61	L	Patatas fritas		16889
62	S	Papas fritas		17029
63	L	Yogur, descremado		17482
64	L	Lechuga verde		17612
65	D	Zanahoria		17985
66	B	Bizcocho		18474
67	B	Aceite de oliva		18662
68	D	Naranja		18816
69	B	Cereales fitness		19017
70	L	Aguacate		19098
71	S	Leche, entera		19459
72	S	Mandarina		19549
73	S	Plátano		19995
74	L	Pan, integral		20469
75	S	Tomate		20746
76	L	Huevo		21026
77	B	Kiwi		21300
78	B	Leche semidesnatada		21558
79	D	Cebolla		21663
80	B	Galleta		22009
81	B	Leche desnatada		22242
82	L	Lentejas		22333
83	L	Pollo, pechuga, cocida		22472
84	L	Té		22670
85	L	Ensalada Mixta		22767
86	S	Zanahoria		22902
87	B	Mermelada		23391
88	D	Patatas fritas		23558
89	L	Mandarina		23698
90	D	Hamburguesa		24144
91	D	Pollo, pechuga, cocida		24226
92	B	Clara de Huevo		24424
93	S	Jamon Serrano		24583
94	D	Pechuga de pavo		24804
95	D	Arroz Blanco		25074
96	L	Pan mercadona		25331
97	L	Plátano		25369
98	D	Brócoli		25843
99	L	Azúcar		26145
100	B	Piña		26557
101	B	Pan integral		26997
102	L	Naranja		27202
103	D	Mayonesa		27404
104	S	Caramelos		27517
105	S	Pollo, pechuga, cocida		27652
106	B	Pollo		27851
107	L	Arroz integral		28036
108	D	Pan mercadona		28269
109	L	Tortilla		28308
110	S	Café con leche		28554
111	D	Jamon Serrano		28772
112	S	Leche entera		28994
113	D	Plátano		29467
114	L	Café		29942
115	B	Galletas Saladas		30246
116	S	Kiwi		30408
117	B	Jamon		30667
118	S	Lechuga		30823
119	L	Pechuga de pavo		31348
120	B	Galletas de trigo		31619
121	D	Café		31866
122	D	Piña		32170
123	L	Patata hervida		32610
124	D	Mandarina		32914
125	B	Leche de Soja		33361
126	B	Huevo		33486
127	B	Cereal		33807
128	L	Pepino		33942
129	B	Croissant		34088
130	B	Jamón		34335
131	D	Pera		34486
132	S	Té		34670
133	L	Pan blanco		34768
134	L	Fiambre		35235
135	B	Café con Leche Semi Descremada		35396
136	L	Tortillas de Maíz		35580
137	S	Tostada integral		35765
138	D	Arroz integral		36090
139	S	Leche descremada		36323
140	B	Lechuga		36498
141	D	Carne de Res		37023
142	D	Té		37382
143	D	Tortilla Francesa		37480
144	S	Galleta		37753
145	B	Papaya		37987
146	L	Clara de Huevo		38415
147	L	Fideos		38601
148	B	Tortilla		38872
149	S	Chocolate		39118
150	D	Salmón		39224
151	L	Huevo duro		39318
152	D	Queso Fresco		39542
153	D	Mantequilla		39708
154	B	Yogur		39963
155	D	Merluza		40093
156	L	Mayonesa		40713
157	D	Pan integral		40826
158	L	Milanesa de Pollo		41031
159	L	Espagueti		41439
160	S	Pechuga de pavo		41558
161	B	Jugo de Papaya		41829
162	B	Pan Blanco		41961
163	D	Vino tinto		42445
164	D	Pan blanco		42571
165	D	Cafe		43038
166	B	Mandarina		43332
167	L	Zumo de Limón		43779
168	L	Salsa de tomate		43908
169	B	Pan blanco tostado		44074
170	L	Café con leche		44556
171	L	Salmón		44774
172	D	Clara de Huevo		44868
173	B	Miel		45054
174	L	Ternera		45205
175	S	Pera		45623
176	D	Milanesa de Pollo		45807
177	D	Atun Claro Natural		46215
178	B	Pan de Centeno (Bajo en Calorías)		46282
179	S	Almendras		46465
180	L	Tortilla de Patatas		46741
181	B	Tostada		46992
182	B	Pera		47051
183	D	Pechuga de pollo		47235
