Row	ID	AllWeights	AllProperties
0	WS23782	1 suur tass=355|1 väike karikas=180|2 tassi=355|1 karikad	033.5|040.15|060.75|070.15|127.55|130.05|1430.5|151.45
1	WS19005	1 suur=56|2 väike=76|1 karikad	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
2	WS23786	1 viil=25|1 Leib=30|1 õhuke viil=20|1 õhuke viil ilma kooriku (kuubikuteks)=9|1 viil ilma koorik=12|1 tass (kuubikuteks)=35|1 suur viil (kuubikuteks)=30|1 väga õhuke viil (kuubikuteks)=15	03260|0410|052.25|0655|076.4
3	WS25458	1 suur tass=355|1 karikad|1 väike karikas=180	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
4	WS23786	1 viil=25|1 Leib=30|1 õhuke viil=20|1 õhuke viil ilma kooriku (kuubikuteks)=9|1 viil ilma koorik=12|1 tass (kuubikuteks)=35|1 suur viil (kuubikuteks)=30|1 väga õhuke viil (kuubikuteks)=15	03260|0410|052.25|0655|076.4
5	WS23782	1 suur tass=355|1 väike karikas=180|2 tassi=355|1 karikad	033.5|040.15|060.75|070.15|127.55|130.05|1430.5|151.45
6	WS21836	1 väike karikas=180|2 suur tass=710|1 karikad	031|060.3|1437|153
7	WS22397	1 väike tomat (6 cm)=91|1 suur (8 cm)=180|1 medium (2-3/5")=28|1 viil (1 cm)=20|1 karikad|1 kiil (1/4 Keskmine tomat)=31|1 jäme/suur viil (1 cm)=27	0321|040.8|050.3|064.2|071.2|083.15|090.05|100.05|110.15|128.9|130.2|14225|151.8|1717.5
8	WS25470	1 keskmise (18 cm-20 cm)=120|1 banaan=25|2 väike (15 cm kuni 18 cm)=200|1 extra väike (väiksem kui 15 cm)=81|1 tass (kartuliputru)=225|1 suur (20 cm kuni 22 cm)=135|1 suur (22 cm või rohkem)=150	03100|040.95|050.5|0625.5|071.95
9	WS23784	0.5 kana=460|1 tass (hakitud või hakituna)=140|1 kullatükk=20|1 tiib=49|1 rinnavähi=290|1 trummipulk=135	03235|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
10	WS25470	1 keskmise (18 cm-20 cm)=120|1 banaan=25|2 väike (15 cm kuni 18 cm)=200|1 extra väike (väiksem kui 15 cm)=81|1 tass (kartuliputru)=225|1 suur (20 cm kuni 22 cm)=135|1 suur (22 cm või rohkem)=150	03100|040.95|050.5|0625.5|071.95
11	WS25463	1 suur (8 cm kuni 11 cm)=370|1 väike (4 cm kuni 6 cm)=170	0377|042|050.1|0617.5|072.2|080.8|090.05|110.05|1212|130.8|14420|156|1719.5
12	WS25471	1 viil=25|2 viilu=25|1 viil ilma koorik=12|1 tass (kuubikuteks)=35|1 suur viil (kuubikuteks)=30|1 õhuke viil=20|1 õhuke viil ilma kooriku (kuubikuteks)=9|1 väga õhuke viil (kuubikuteks)=15	03270|0411|051|073.5|084.5|090.5|15650
13	WS19005	1 suur=56|2 väike=76|1 karikad	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
14	WS21836	1 väike karikas=180|2 suur tass=710|1 karikad	031|060.3|1437|153
15	WS21836	1 väike karikas=180|2 suur tass=710|1 karikad	031|060.3|1437|153
16	WS19185	1 viil=7|1 väike (16 cm)=160|1 medium=100|1 kepp (10 cm)=9|1 suur (21 cm)=280	0312|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
17	WS31152	1 karikad	03380|0413|056.5|0667.5|0710|081|091.1|102|112.3|1252|134.25|14360|156
18	WS19185	1 viil=7|1 väike (16 cm)=160|1 medium=100|1 kepp (10 cm)=9|1 suur (21 cm)=280	0312|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
