Row	Meal	Name	Brand	Pos
0	B	چای		33
1	B	نان		105
2	D	نان		382
3	B	تخم مرغ		659
4	B	پنیر چدار		825
5	S	چای		994
6	L	نان		1066
7	S	بیسکویت		1343
8	D	گوجه فرنگی		1495
9	B	شیر 1 درصد		1726
10	L	گوجه فرنگی		1862
11	S	موز		2094
12	B	عسل		2426
13	B	شکر		2511
14	B	گردو		2616
15	D	سینه مرغ		2848
16	B	سیب		2953
17	S	ماست کم چربی میوه		3067
18	L	چای		3200
19	D	تخم مرغ		3273
20	S	نان		3440
21	B	موز		3718
22	L	سینه مرغ		4050
23	L	سیب زمینی		4155
24	D	چای		4325
25	L	ماست کم چربی میوه		4398
26	D	ماکارونی		4531
27	D	پیتزا		4681
28	D	سیب زمینی سرخ کرده		4808
29	L	سیب زمینی سرخ کرده		4981
30	S	تخم مرغ		5154
31	L	تخم مرغ		5321
32	B	قهوه		5488
33	S	قهوه		5565
34	D	پیاز		5642
35	S	بستنی وانیلی		5913
36	S	کیک اسفنجی		6038
37	B	بیسکویت		6181
38	S	اپل		6334
39	B	نان تست		6564
40	B	ماکارونی		6816
41	D	هندوانه		6966
42	S	خیار		7348
43	L	خیار		7564
44	D	خیار		7780
45	B	ماست کم چربی میوه		7996
46	B	پنیر		8129
47	S	هندوانه		8148
48	S	عسل		8530
49	L	ران مرغ		8615
50	B	کاهو		8771
51	S	گوجه فرنگی		9051
52	S	نارنجی		9283
53	B	کوکی ها شکلات ساندویچ		9454
54	D	نان تست		9612
55	D	پنیر چدار		9864
56	B	نان شیرین و پهن		10034
57	B	بلغور جو دوسر		10169
58	B	دانههای ذرت		10270
59	S	نان تست		10376
60	S	ران مرغ		10628
61	B	پنیر پگاه		10784
62	B	جو		10878
63	S	سیب		10969
64	B	نان فرانسوی		11083
65	D	بیکن		11132
66	L	نارنجی		11272
67	L	سیب		11443
68	D	کاهو		11557
69	L	دوغ		11837
70	B	نارنجی		11855
71	L	پنیر چدار		12026
72	L	کباب کوبیده		12196
73	S	پیتزا		12215
74	B	بیکن		12342
75	S	گردو		12482
76	D	عدس پخته شده		12714
77	L	ماکارونی		12833
78	S	عدس پخته شده		12983
79	D	کباب کوبیده		13102
80	B	آب انگور		13121
81	B	اپل		13244
82	B	بستنی وانیلی		13474
83	D	سیب زمینی		13599
84	B	صمیم گندم نان		13769
85	D	دوغ		13971
86	S	دانه آفتابگردان		13989
87	D	ماست کم چربی میوه		14092
88	D	روغن		14225
89	B	قهوه محلول		14421
90	L	خرما		14487
91	D	خرما		14519
92	B	قند		14551
93	B	عدس پخته شده		14570
94	L	انجیر		14689
95	L	اپل		14779
96	L	موز		15009
97	B	خیار		15341
98	S	خرما		15557
99	B	گوجه فرنگی		15589
