Row	ID	AllWeights	AllProperties
0	WS19076	1 kuppi=235|1 iso kuppi=355|2 kuppia=235|1 pieni kuppi=180	031.05|060.3|1437|153
1	WS20058	1 kuppi=81|1 annos=40|1 lautasellinen=81|1.5 desilitraa	03355|0412|056.95|0668.5|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
2	WS19075	1 viipale=25|1 suuresta (kuutiot)=30|1 ohut siivu=20|1 erittäin ohut siivu (kuutiot)=15|2 viipaletta=25	03260|0410.5|052.45|0654.5|076.2
3	WS28822	2 kahvikupillinen=360|1 muki=240|1 automaattikahvi=180|4 annos=720|2 kuppia=330|1 purkki=330|1 kupillista|200 millilitraa|100 grammaa	033.6|040.2|050.1|060.45|080.15|090.05|1434.5|153.35
4	WS20053	1 viipale=25|2 viipaletta=25|1 ohut siivu=20|1 suuresta (kuutiot)=30|1 erittäin ohut siivu (kuutiot)=15	03260|048.55|053.3|0648.5|075.8|083.85|090.65|101.3|110.8|1273|132.85|14165|15605|170.4
5	WS19075	1 viipale=25|1 suuresta (kuutiot)=30|1 ohut siivu=20|1 erittäin ohut siivu (kuutiot)=15|2 viipaletta=25	03260|0410.5|052.45|0654.5|076.2
6	WS19076	1 kuppi=235|1 iso kuppi=355|2 kuppia=235|1 pieni kuppi=180	031.05|060.3|1437|153
7	WS19798	1 keskikokoinen (6 cm)=125|1 pieni tomaatti (6 cm)=91|1 viipale (1 cm)=20|1 suuri (8 cm)=180|1 paksu/suuresta (1 cm)=27|1 kiila (1/4 keskikokoinen tomaatti)=31|1 kuppi=240|1 annos=20	0319.5|040.9|050.4|064.6|071.5|1215|131.1|1716
8	WS21649	1 kuppi=225|2 t=7|1 ruokalusikallinen=6|1 rkl|1 tl	03700|040.25|0579.5|060.75|0914|1036.5|1126.5|123|1417|15655|170.1
9	WS19075	1 viipale=25|1 suuresta (kuutiot)=30|1 ohut siivu=20|1 erittäin ohut siivu (kuutiot)=15|2 viipaletta=25	03260|0410.5|052.45|0654.5|076.2
10	WS20517	2 kuppi=475|1 iso kuppi=355|2 kahvikupillinen=480|1 pieni kuppi=180|1 kahvimuki=170|1 annos=240|1 kupillista|2 desilitraa|100 millilitraa|1 unssi (neste)|100 grammaa|1 pieni pikaruokatilaus=240|1 keskikokoinen pikaruokatilaus=480|1 suuri pikaruokatilaus=600	031|040.1|050.05|060.05|090.05|1446|152.2
11	WS19774	1 keskikokoinen=200|4 viipale=28|0.5 pieni (16 cm)=79|1 kuppi (hienonnettu)=135|1 kuppi (viipaleina)=120|1 suuri (21 cm)=280|1 neljä palaa=30|10 viipaletta=70	0314|040.6|050.15|062.15|070.7|081.4|1214|130.2|14135|152|173.2
12	WS20062	1 keskikokoinen (6 cm (8 cm)=215|2 perunaa=250|1 pieni (4 cm 6 cm)=170|1 iso (8 cm 11 cm)=370	0376|042|050.1|0617.5|072.2|080.8|090.05|100.1|110.05|1212|130.8|14420|156.3|1719.5
13	WS19798	1 keskikokoinen (6 cm)=125|1 pieni tomaatti (6 cm)=91|1 viipale (1 cm)=20|1 suuri (8 cm)=180|1 paksu/suuresta (1 cm)=27|1 kiila (1/4 keskikokoinen tomaatti)=31|1 kuppi=240|1 annos=20	0319.5|040.9|050.4|064.6|071.5|1215|131.1|1716
