Row	Meal	Name	Brand	Pos
0	B	Café		33
1	B	Jus d'orange		325
2	B	Beurre		526
3	B	Thé		766
4	B	Pain blanc		870
5	B	Confiture		1331
6	B	Lait écrémé		1520
7	L	Pain		1697
8	D	Salade verte		2036
9	L	Salade verte		2145
10	S	Café		2254
11	L	Yaourt		2547
12	D	Pain		2690
13	L	Pain blanc		3030
14	D	Yaourt		3492
15	B	Sucre		3635
16	L	Riz blanc		4082
17	L	Tomate		4335
18	B	Pain		4644
19	B	Yaourt		4984
20	B	Pain complet		5127
21	L	Café		5288
22	D	Tomate		5581
23	D	Pain blanc		5890
24	S	Pomme		6352
25	L	Pomme		6815
26	B	Biscotte		7278
27	L	Poulet		7541
28	B	Corn Flakes		8134
29	B	Banane		8326
30	L	Haricots verts		8821
31	D	Riz blanc		8998
32	L	Spaghetti		9251
33	B	Pain toast		9442
34	B	Chocolat au lait		9766
35	L	Oeuf		9974
36	S	Yaourt		10239
37	L	Carotte		10382
38	B	Pain au chocolat		10706
39	S	Banane		10875
40	L	Jambon		11370
41	D	Spaghetti		11512
42	D	Pomme		11703
43	D	Soupe de légumes		12166
44	B	Baguette		12307
45	D	Jambon		12679
46	L	Frites		12821
47	B	Pomme		13008
48	D	Oeuf		13471
49	L	Banane		13736
50	S	Thé		14231
51	D	Haricots verts		14336
52	B	Kiwi		14513
53	B	Fromage blanc 0%		14685
54	B	Lait chocolaté		14834
55	B	Orange		14976
56	B	Miel		15218
57	S	Chocolat au lait		15412
58	D	Potage		15620
59	S	Sucre		15782
60	S	Pain		16229
61	D	Carotte		16569
62	S	Pain blanc		16893
63	S	Chocolat noir		17355
64	B	Lait		17495
65	L	Steak haché		18019
66	D	Coca-Cola		18082
67	B	Nutella		18218
68	D	Viande hachée		18320
69	L	Coca-Cola		18528
70	B	Nesquik Céréales		18664
71	L	Pomme de terre		18734
72	L	Baguette		19000
73	L	Orange		19372
74	L	Purée de pommes de terre		19614
75	S	Coca-Cola		20117
76	L	Compote de pommes		20253
77	S	Jus d'orange		20505
78	L	Huile d'olive		20707
79	S	Pain au chocolat		20887
80	D	Banane		21056
81	L	Pommes frites		21551
82	S	Lait écrémé		21723
83	D	Poulet		21901
84	D	Frites		22494
85	L	Jambon cru		22681
86	D	Compote de pommes		22827
87	S	Beurre		23079
88	D	Pizza Margherite, cuite au four		23320
89	B	Oeuf		23473
90	L	Yaourt nature		23738
91	B	Biscuits aux noisettes		24033
92	B	Café au lait		24283
93	D	Purée de pommes de terre		24550
94	B	Lait demi écrémé		25053
95	D	Café		25242
96	D	Baguette		25535
97	L	Fromage		25907
98	D	Huile d'olive		26007
99	L	Hamburger		26187
100	D	Pomme de terre		26252
101	L	Vinaigrette		26519
102	L	Ketchup		26675
103	B	Flocons d'avoine (Quaker)		26876
104	L	Beurre		26965
105	L	Pain complet		27207
106	D	Hamburger		27369
107	L	Blanc de poulet		27435
108	L	Courgette		28021
109	D	Vinaigrette		28281
110	S	Mandarine		28437
111	D	Jambon cru		28911
112	D	Pommes frites		29058
113	D	Fromage		29231
114	D	Steak haché		29332
115	B	Brioche		29396
116	L	Sucre		29688
117	L	Poisson		30136
118	D	Yaourt nature		30281
119	L	Poulet Innenfilet		30577
120	L	Soupe de légumes		30742
121	D	Poulet Innenfilet		30884
122	L	Concombre		31049
123	S	Fromage blanc 0%		31331
124	D	Beurre		31481
125	L	Jambon blanc		31723
126	D	Courgette		31847
127	D	Blanc de poulet		32107
128	B	Jus de citron		32693
129	D	Vin rouge		32860
130	D	Concombre		32988
131	S	Compote de pommes		33270
132	B	Compote de pommes		33523
133	S	Confiture		33776
134	D	Jambon blanc		33967
135	D	Chocolat noir		34091
136	B	Pain de mie		34232
137	L	Mandarine		34495
138	S	Crêpes		34969
139	B	Croissant		35161
140	L	Yaourt 0%		35440
141	L	Pomme de terre cuite		35578
142	L	Chocolat noir		35895
143	D	Pain complet		36036
144	S	Hamburger		36198
145	L	Saucisse		36264
146	L	Mayonnaise		36423
147	D	Yaourt 0%		36604
148	B	Thé vert		36742
149	S	Gâteau au chocolat		36951
150	L	Kiwi		37107
151	D	Orange		37280
152	D	Fromage blanc 0%		37523
153	L	Champignon blanc		37673
154	L	Oeuf dur		37851
155	D	Gruyère		38120
156	B	Jus de pomme		38199
157	L	Tomates		38484
158	D	Fromage de chèvre		39051
159	D	Bière		39280
160	S	Riz blanc		39518
161	B	Chocolat chaud		39772
162	S	Amandes		40003
163	D	Vin blanc		40317
164	L	Saumon		40404
165	S	Nutella		40549
166	L	Pâtes Fraîches (Cuites)		40652
167	B	Lait de soja		40761
168	L	Maïs		40907
169	L	Fromage de chèvre		41328
170	L	Fromage blanc		41557
171	L	Petits pois		41951
172	D	Poisson		42124
173	D	Sucre		42269
174	B	Yaourt 0%		42717
175	L	Gruyère		42855
176	L	Bœuf		42934
177	B	Galette de riz		43335
178	L	Brocoli		43504
179	D	Champignon blanc		43862
180	B	Yaourt nature		44040
181	L	Pâtes		44336
182	B	Mandarine		44375
183	L	Lentilles cuites		44849
184	S	Pommes frites		45177
185	D	Saucisse		45350
186	S	Orange		45509
187	D	Mandarine		45752
188	L	Avocat		46226
189	L	Camembert		46664
190	D	Mayonnaise		46922
191	D	Oeuf dur		47103
192	L	Poire		47372
193	L	Thon		47655
194	L	Jus d'orange		47842
195	L	Chocolat au lait		48045
196	B	Beurre allégé		48254
197	L	Pâtes alimentaires aux oeufs		48394
198	B	Margarine		48542
199	B	Cereales		48896
200	L	Pain de mie		49057
201	B	Amandes		49320
202	D	Camembert		49634
203	D	Tomates		49892
204	B	Biscottes		50459
205	D	Saumon		50679
206	B	Pain aux céréales		50824
207	L	Roti de porc		51031
208	B	Beurre salé		51755
209	L	Sauce tomate		52124
210	D	Pain de mie		52340
211	S	Jus de pomme		52603
212	B	Tartines		52888
213	D	Avocat		53217
214	D	Maïs		53655
215	L	Viande hachée		54076
216	B	Blanc d'Oeuf		54285
217	D	Jambon cuit de devant		54454
218	D	Pomme de terre cuite		54610
219	B	Pain de mie complet		54927
220	L	Fromage blanc 0%		55023
221	L	Thé		55173
222	L	Cuisse de Poulet		55279
223	B	Petit pain au lait		56085
224	B	Lait demi-écrémé		56189
225	L	Blanc de dinde		56395
226	D	Kiwi		56739
227	L	Carottes cuites		56912
228	D	Poire		57457
229	D	Vin rosé		57740
230	B	Chocolat noir		57899
231	D	Fromage blanc		58040
232	D	Pâtes Fraîches (Cuites)		58434
233	D	Thé		58543
234	S	Bonbons		58649
235	L	Tarte aux pommes		58709
236	D	Saucisson		59083
237	B	Cappuccino		59199
238	S	Galette de riz		59427
239	L	Clémentines		59596
240	L	Fromage râpé		59703
241	B	Muesli		59780
242	D	Crevettes		59944
243	D	Thon		60369
244	D	Ketchup		60556
245	B	Fromage blanc		60757
246	S	Ketchup		61151
247	S	Lait		61352
248	L	Vin rouge		61877
249	D	Fromage râpé		62005
250	L	Couscous		62082
251	D	Brocoli		62180
252	L	Coquillettes		62538
253	D	Endive		62647
254	L	Mélange de légumes		62870
255	D	Pâtes alimentaires aux oeufs		62989
256	L	Pate		63137
257	B	Pain au lait		63155
258	B	Huile d'olive		63345
259	L	Compote		63526
260	D	Sauce tomate		63610
261	L	Oignon		63826
262	S	Thé vert		64111
263	D	Confiture		64320
