Row	Meal	Name	Brand	Pos
0	B	Coffee		33
1	B	Egg		181
2	B	Banana		348
3	B	Oatmeal		651
4	L	Bread		803
5	L	Chicken		1066
6	D	Chicken		1271
7	B	Creamer		1476
8	B	2% milk		1649
9	D	Chicken breast		1816
10	B	Toast		2021
11	S	Apple		2275
12	S	Banana		2584
13	B	Bacon		2888
14	B	Bread		3053
15	B	Scrambled egg		3317
16	L	Tomato		3502
17	L	Green lettuce		3867
18	B	Sugar		4192
19	L	Chicken breast		4398
20	L	Egg		4604
21	S	Coffee		4772
22	L	Cheddar cheese		4921
23	B	Tea		5139
24	B	Peanut butter		5251
25	D	Bread		5379
26	D	Tomato		5643
27	B	Apple		6008
28	L	Apple		6317
29	D	Broccoli		6626
30	D	Cheddar cheese		6867
31	S	Almonds		7085
32	B	1% milk		7375
33	B	Whole milk		7535
34	B	Hard boiled egg		7725
35	D	Green lettuce		7940
36	D	Pizza		8265
37	S	Tea		8450
38	B	Cheddar cheese		8562
39	L	Deli turkey		8780
40	L	Banana		8914
41	L	Cucumber		9218
42	B	Bagel		9465
43	S	Peanut butter		9720
44	S	Orange		9848
45	B	Low fat fruit yogurt		10080
46	B	Whole-wheat toast		10241
47	S	Chips		10503
48	D	Mixed vegetables		10627
49	B	Fresh orange juice		10747
50	L	Carrot		10895
51	D	Onion		11180
52	L	Raw spinach		11472
53	D	Egg		11612
54	B	Strawberry		11780
55	L	Coffee		12096
56	L	Peanut butter		12245
57	S	Popcorn		12373
58	L	Pizza		12481
59	S	Chocolate		12666
60	D	Mashed potatoes		12869
61	D	Carrot		12993
62	L	Broccoli		13278
63	L	Ham		13519
64	S	Strawberry		13651
65	B	Nonfat milk		13967
66	L	Avocado		14149
67	L	Chips		14357
68	B	Sausage		14481
69	S	Egg		14642
70	B	Special K cereal		14810
71	S	Bread		14940
72	S	Granola bar		15204
73	D	Brown rice		15330
74	S	Yogurt, Greek, plain, nonfat		15585
75	S	Chocolate chip cookie		15729
76	L	Onion		15937
77	S	2% milk		16229
78	D	Cucumber		16397
79	D	Corn		16644
80	S	Cheddar cheese		16988
81	D	Avocado		17206
82	D	Raw spinach		17414
83	B	Blueberries		17554
84	B	Orange		17718
85	D	White rice		17950
86	L	Orange		18201
87	S	Grapes		18433
88	D	Sweet potato		18605
89	B	Yogurt, Greek, plain, nonfat		18842
90	D	Olive oil		18986
91	D	Apple		19089
92	D	Banana		19398
93	S	Low fat fruit yogurt		19702
94	L	Strawberry		19863
95	L	Bacon		20179
96	L	Carrots, baby, raw		20344
97	L	Mayonnaise dressing		20509
98	D	Bacon		20654
99	D	Pork chops		20819
100	B	Almond milk		21017
101	D	Beer		21246
102	L	Tea		21422
103	D	Potato		21535
104	B	Honey		21793
105	L	Brown rice		21968
106	L	White rice		22224
107	D	Cola		22476
108	B	Cream cheese		22789
109	B	Fried egg		22994
110	D	Canned green beans		23160
111	D	Red wine		23361
112	S	Carrot		23508
113	S	Biscuit		23794
114	L	Whole-wheat bread		23988
115	B	Raw spinach		24246
116	B	Biscuit		24387
117	B	Cheerios cereal		24581
118	B	Pancake		24713
119	L	Celery		24950
120	D	Hamburger		25293
121	D	Romaine lettuce		25461
122	S	Beer		25789
123	D	Rice, white, glutinous, cooked		25965
124	B	Protein Shake		26090
125	L	Olive oil		26361
126	L	Mixed vegetables		26465
127	D	Shrimp		26586
128	D	Baked potato		26754
129	L	Hard boiled egg		27010
130	L	Fries		27226
131	D	Salmon		27394
132	L	American cheese		27554
133	L	Romaine lettuce		27768
134	L	Salad		28096
135	D	Tea		28115
136	D	Fries		28228
137	S	Vanilla ice cream		28396
138	B	Butter stick		28551
139	D	Tortilla		28748
140	L	White bread		29024
141	B	Ham		29252
142	B	English muffin		29385
143	L	Rice, white, glutinous, cooked		29565
144	L	Iceberg lettuce		29690
145	D	Salad		30159
146	S	Pineapple		30178
147	D	2% milk		30462
148	B	Tomato		30631
149	L	Grapes		30997
150	B	Half and half		31170
151	B	Whole-wheat bread		31358
152	D	Peanut butter		31616
153	D	Pasta with tomato sauce		31745
154	B	Granola bar		31888
155	D	Mac and cheese		32015
156	B	Granola		32288
157	L	Cola		32478
158	B	Egg, white, raw, fresh		32791
159	L	Tortilla		32981
160	D	Ham		33257
161	D	Hot dog		33390
162	B	Grapes		33505
163	S	Mixed nuts		33678
164	S	Pear		33841
165	L	Canned light tuna		34030
166	D	Sour cream		34238
167	L	Mashed potatoes		34410
168	B	Avocado		34535
169	L	Fish, tuna salad		34744
170	D	Iceberg lettuce		34862
171	L	Almonds		35331
172	B	American cheese		35622
173	D	Ground turkey		35836
174	D	Asparagus		36049
175	L	Hot dog		36246
176	B	Almonds		36361
177	D	Deli turkey		36652
178	L	Hamburger		36787
179	D	Coffee		36955
180	B	Salted butter		37105
181	B	Hashed browns		37300
182	S	Whole milk		37414
183	L	Yogurt, Greek, plain, nonfat		37605
184	D	Whole-wheat bread		37750
185	D	Black beans		38008
186	L	2% milk		38149
