Row	Meal	Name	Brand	Pos
0	B	קפה		33
1	L	אורז לבן		150
2	B	מלפפון		264
3	B	לחם		456
4	B	קפה נמס		728
5	L	עוף		793
6	D	לחם		926
7	D	עגבניות		1198
8	B	לחם מחיטה מלאה מרובה		1418
9	L	עגבניות		1699
10	B	ביצה		1919
11	L	חזה עוף		2098
12	B	לחם מקמח מלא		2238
13	B	קורנפלקס		2464
14	B	אבוקדו		2583
15	D	ביצה		2747
16	S	לחם		2926
17	S	תה		3199
18	L	מלפפון		3267
19	B	עגבניות		3460
20	D	אורז לבן		3681
21	B	תה		3796
22	B	לחם קל		3864
23	D	מלפפון		3921
24	B	עגבניה		4114
25	L	לחם		4132
26	B	חלב 1%		4405
27	S	חטיף חלי ממן		4537
28	L	שמן זית		4556
29	S	קפה		4625
30	L	תפוחי אדמה		4743
31	B	ביצה קשה		4952
32	B	פרכית אורז		5148
33	L	פרכית אורז		5166
34	B	טוסט		5184
35	S	ביצה		5415
36	L	טופו		5594
37	L	תערובת ירקות		5613
38	D	אבוקדו		5713
39	L	פסטה עם רוטב עגבניות		5877
40	D	חזה עוף		5977
41	D	פיצה		6117
42	S	ביסקוויט		6257
43	L	טחינה		6407
44	B	גמבה		6443
45	D	טוסט		6465
46	S	חטיף אנרגיה שוקולד		6696
47	B	פלפל אדום		6812
48	B	גבינה מופחתת שומן		6830
49	B	יוגורט שמן נמוך		7038
50	B	בננה		7110
51	S	בננה		7339
52	S	עוגת שוקולד		7568
53	L	לחם קל		7694
54	B	שיבולת שועל		7751
55	B	ריבה		7850
56	D	בצל		7869
57	B	טחינה		8121
58	B	שימורי הטונה אור		8157
59	D	לחם מחיטה מלאה מרובה		8303
60	B	אורז לבן		8585
61	S	יוגורט שמן נמוך		8700
62	D	עוף		8772
63	L	ספגטי		8906
64	S	אפל		9002
65	D	תה		9213
66	L	גזר		9281
67	S	שקדים		9541
68	D	שמן זית		9706
69	L	גמבה		9775
70	L	לחם מחיטה מלאה מרובה		9797
71	L	קטשופ		10079
72	L	צ'יפס		10209
73	L	שניצל		10341
74	D	חומוס		10360
75	B	קרקר		10400
76	B	טופוטי שמנת גרמים		10568
77	L	ביצה		10587
