Row	Meal	Name	Brand	Pos
0	S	चाय		33
1	D	रोटी		97
2	B	अंडा		357
3	D	सफेद चावल		526
4	S	रोटी		616
5	B	चाय		876
6	L	रोटी		940
7	L	सफेद चावल		1200
8	B	रोटी		1290
9	D	गाजर		1550
10	B	सेब		1866
11	B	पूरी गेहूं की रोटी		2072
12	D	अंडा		2272
13	L	अंडा		2442
14	S	बिस्किट		2612
15	L	गाजर		2765
16	B	केले		3082
17	S	टोस्ट		3413
18	S	कॉफी		3622
19	S	सेब		3691
20	B	चेडर पनीर		3897
21	L	केले		4088
22	B	ऑरेंज		4419
23	B	कम वसा वाले फल दही		4579
24	B	कॉफी		4653
25	B	टोस्ट		4722
26	L	ऑरेंज		4931
27	S	कम वसा वाले फल दही		5091
28	L	कम वसा वाले फल दही		5165
29	L	सेब		5239
30	D	चेडर पनीर		5445
31	S	ऑरेंज		5636
32	L	चेडर पनीर		5796
33	B	दलिया		5987
34	L	टमाटर		6110
35	D	टमाटर		6336
36	B	बेकन		6606
37	D	प्याज		6772
38	D	चिकन		7086
39	S	केले		7269
40	B	1% दूध		7616
41	D	पिज्जा		7758
42	D	रेड वाइन		7900
43	L	चिकन		7972
44	B	जई		8118
45	B	फ्रेंच रोटी		8236
46	L	बेक्ड बीन्स		8287
47	D	टोस्ट		8344
48	B	इंस्टेंट कॉफी		8561
49	D	बेकन		8637
50	L	जैतून का तेल		8803
51	S	अंडा		8910
52	D	चिकन स्तन		9092
53	L	चाय		9227
54	B	मकई के गुच्छे		9329
55		पनीर सॉस		9445
56		नमकीन मक्खन		9579
57		व्हीप्ड मक्खन		9801
58		मक्खन तेल		10023
59		क्रीम पनीर		10232
60		गीला मोत्ज़ारेला पनीर		10419
61		मोत्ज़ारेला पनीर		10636
62		प्रोवोलोन पनीर		10852
63		स्विस पनीर		11071
64		अमेरिकी पनीर		11287
65		आधा और आधा		11509
66		प्रकाश क्रीम		11670
67		भारी सजा क्रीम		11830
68		क्रीम पाउडर स्थानापन्न		12005
69		सारा दूध		12171
70		2% दूध		12321
71		नोनफेट दूध		12470
72		पूरे चॉकलेट दूध		12620
73		चॉकलेट दूध		12775
74		कम वसा वाले चॉकलेट दूध		12927
75		तला हुआ अंडा		13076
76		मुश्किल उबले अंडे		13267
77		तले हुए अंडे		13493
78		बिना नमक मक्खन		13718
79		कम वसा वाले छेददार चीज़		13939
80		क्रीम स्थानापन्न		14149
81		मेयोनेज़ ड्रेसिंग		14312
82		पीली चटनी के साथ सलाद ड्रेसिंग		14455
83		मूंगफली का तेल		14613
84		सोयाबीन तेल		14749
85		इतालवी ड्रेसिंग		14891
86		फ्रेंच ड्रेसिंग		15050
87		कम वसा वाले वनस्पति तेल फैल		15208
88		मकई के तेल		15424
89		ब्लू चीज़ ड्रेसिंग		15565
90		मक्खन स्टिक		15728
91		मार्जरीन		15944
92		वनस्पति तेल फैल		16158
93		वनस्पति तेल		16313
94		औद्योगिक सोया तेल		16458
95		औद्योगिक सोया और खली जानवरों को खिलाते तेल		16599
96		नारियल तेल		16740
97		ब्रेडेड चिकन		16881
98		फ्राइड चिकन		17092
99		भुना हुआ चिकन मांस		17301
100		मदहोश चिकन		17505
101		नमक		17710
102		बेबी दलिया		17850
103		चिकन लेग		18012
104		बीफ़ शोरबा		18179
105		चिकन नूडल सूप		18319
106		मशरूम सूप के क्रीम		18468
107		ग्रेवी		18617
108		बारबेक्यू सॉस		18769
109		साल्सा		18925
110		बीफ़ शेयर		19075
111		चिकन स्टॉक		19222
112		क्लैम चावडर		19371
113		चिकन शोरबा		19526
114		बोलोग्ना		19670
115		चिकन रोल		19827
116		टर्की स्तन		19980
117		तुर्की रोल		20165
118		ताजा संतरे का रस		20313
119		संतरे का रस ध्यान लगाओ		20458
120		कैल्शियम के साथ संतरे का रस		20610
121		ऑरेंज जूस फ्रोजन ध्यान लगाओ		20763
122		आड़ू		20919
123		नाशपाती		21147
124		अनानास		21356
125		किशमिश		21557
126		स्ट्राबेरी		21802
127		फ्रोजन स्ट्रॉबेरी		22106
128		तरबूज		22414
129		विटामिन सी के साथ सेब का रस		22751
130		सेब, अंगूर और नाशपाती के रस		22901
131		ब्लूबेरी		23052
132		अंगूर का रस		23200
133		अंगूर		23351
134		हैम		23500
135		अतिरिक्त सहारा हैम		23646
136		अतिरिक्त सहारा भुना हुआ हाम		23793
137		प्राकृतिक रस के साथ हैम		23940
138		हैम और पानी		24095
139		हाम - पानी में जोड़ा		24246
140		सेब का रस		24400
