Row	ID	AllWeights	AllProperties
0	WS1202	1 biscotto=5.2|3 biscotti=3.1|1 giro (4 cm)=10|1 elemento ovale (8 x 3 cm x 1 cm)=15|1 once (oz)=28.5|1 b=5.2|1 giro (4 cms)=80	03515|048.6|0511|0680.5|073.85|0819|095.75|15385
1	WS7987	1 tazza (piccole conchiglie)=115|1 piatto=140|1 porzione=50|1 tazza (a forma di spirale)=135|1 t=140|1 tazze	03355|0412.5|051.25|0676|075.1|080.4|090.2|100.1|110.5|1222|131.5|14200|155.8
2	WS941	1 cucchiaio da tavolo=13.5|1 cucchiaino=4.5|1 cucchiaio=13.5|1 oncia (pari a 28 g)=28.5|1 cucchiaino da tavolo=2.7|2 cucchiaini|1 tazze|100 grammi	03890|05100|0914|1072.5|1110.5
3	WS931	1 tazza piccola=180|1 tazza grande=355|1 tazzina=235|1 tazza di caffè=180|1 tazze	031.5|040.05|060.35|070.1|127.95|130.05|1426.5|151.35
4	WS1201	1 fetta=25|1 panino=70|2 fette=25|1 fetta sottile=20|1 fetta senza crosta=12|1 porzione=80|1 fetta molto sottile (cubi)=15|1 fetta (cubi)=30|1 fetta sottile senza crosta (cubi)=9|1 tazza (cubi)=35|1 tazza (briciole)=45	03275|0410.5|053.5|0649.5|074.2|086.05|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
5	WS1201	1 fetta=25|1 panino=70|2 fette=25|1 fetta sottile=20|1 fetta senza crosta=12|1 porzione=80|1 fetta molto sottile (cubi)=15|1 fetta (cubi)=30|1 fetta sottile senza crosta (cubi)=9|1 tazza (cubi)=35|1 tazza (briciole)=45	03275|0410.5|053.5|0649.5|074.2|086.05|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
6	WS941	1 cucchiaio da tavolo=13.5|1 cucchiaino=4.5|1 cucchiaio=13.5|1 oncia (pari a 28 g)=28.5|1 cucchiaino da tavolo=2.7|2 cucchiaini|1 tazze|100 grammi	03890|05100|0914|1072.5|1110.5
7	WS7526	1 porzione=240|1 tazza piccola=180|1 tazza grande=355|100 millilitri|1 tazze|100 grammi	0334.5|043.45|050.15|065|085.05|090.15|100.05|110.1|14155|1541.5|162
8	WS1656	1 cucchiaio=20|1 confezione=14|1 cucchiaino=45|1 cucchiaio (per due fette)=10|2 cucchiaini|2 cucchiai	03250|040.5|050.5|0661|072.2|0858.5|1218|131.4|14100|1512|174
9	WS1338	1 media (7 cm di diametro) (circa 3 in 450 g)=140|1 medio (8 cm)=180|1 mela piccola=34.5|1 piccola (6.5 cm di diametro) (circa 4 in 450 g)=105|1 mela=150|1 grande (8 cm)=225|1 piccolo (7 cm)=150|1 fetta=17|1 porzione=150|1 fetta sottile=7.7|1 oncia (pari a 28 g). con pelle. produce=27|1 media=120|1 medio (8 cms)=135|1 anello=13.5|1 taz|1 PZ|1 oncia (pari a 28 g), con pelle, produce=27|100 grammi|1 piccola (6,5 cm di diametro) (circa 4 in 450 g)=105	0353|040.25|050.2|0614|072.35|0810.5|090.05|110.05|14110|150.95
10	WS914	1 tazza grande=355|1 tazza piccola=180|1 gr=200|1 tazza media=200|1 tazze	0319.5|040.95|051.1|061.5|070.1|081.25|090.65|100.25|110.05|1238|1461|1511.5|164.15|170.25
11	WS897	1 tazzone=100|1 tazze|50 millilitri|1 bicchiere	0357|043.5|052.8|064.65|084.65|091.65|100.65|110.15|12120|14155|1538.5|1611|170.5|180.05
12	WS2275	1 pezzo (9.5 cm x 4.5 cm x 0.3 cm)=5.2|4 fette=30|2 fetta=17.5|2 pezzi (9.5 cm x 4.5 cm x 0.3 cm)=5.2|1 rotonde=3.1|2 pezzi=16|0.5 oncia (pari a 28 g)=14|1 porzione=20|1 tazza. pezzi=30|1 tazze. tonde=33|1 pezzo (9,5 cm x 4,5 cm x 0,3 cm)=5.2|1 tazza, pezzi=30|1 tazze, tonde=33|100 grammi	03425|0412.5|053.3|0678.5|075.85|081.05|090.45|100.75|111.25|14195|15800
13	WS2229	1 cucchiaino=4.2|1 cucchiaino scompattato=3|1 importo indicativo per 30 ml di bevanda=1.3|1 cucchiaino pieno=4.6|1 zoletta. 2 cubetti=4.9|1 pacchetto unico=6|1 porzione=8|3 cucchiaini|1 tazze|1 bustina|1 zoletta, 2 cubetti=4.9|100 grammi	03390|06100|08100
14	WS174	1 cornetto medio=57|1 cornetto piccolo=42|1 cornetto grande=67|1 cornetto mini=28|1 cornetto=40|1 piccolo=42|1 medio=57|1 mini=28|1 surgelato=42|1 porzione=56|1 grande=67|100 grammi	03435|048.6|0524.5|0646.5|071.8|083.6|0914|105.7|111.55|1256|131.15|14140|15480|1675|170.25|180.45
15	WS1338	1 media (7 cm di diametro) (circa 3 in 450 g)=140|1 medio (8 cm)=180|1 mela piccola=34.5|1 piccola (6.5 cm di diametro) (circa 4 in 450 g)=105|1 mela=150|1 grande (8 cm)=225|1 piccolo (7 cm)=150|1 fetta=17|1 porzione=150|1 fetta sottile=7.7|1 oncia (pari a 28 g). con pelle. produce=27|1 media=120|1 medio (8 cms)=135|1 anello=13.5|1 taz|1 PZ|1 oncia (pari a 28 g), con pelle, produce=27|100 grammi|1 piccola (6,5 cm di diametro) (circa 4 in 450 g)=105	0353|040.25|050.2|0614|072.35|0810.5|090.05|110.05|14110|150.95
16	WS2698	1 media (18 cm - 20 cm di lunghezza)=120|1 piccola (15 cm - 17.5 cm di lunghezza)=100|1 medio (18 cm a 20 cm)=120|1 molto piccola (meno di 15 cm di lunghezza)=81|1 piccolo (15 cm a 18 cm)=100|1 grande (20 cm a 22 cm)=135|1 fetta=5.6|1 porzione=120|1 medio (18 cm a 20 cms)=110|1 inch lineare (2.54 cm circa)=15.5|1 inch lineare (2,54 cm circa)=15.5|1 g producono=18|100 grammi|1 piccola (15 cm - 17,5 cm di lunghezza)=100	0389.5|041.1|050.35|0623|072.6|0812.5|090.1|100.05|110.05|14360|150.9
17	WS7618	1 bicchiere=50|1 t=30|1 tazze|100 grammi	03370|048.05|051.05|075|084|090.5|15500
18	WS7619	1 medio (6 cm)=125|1 grande (8 cm)=180|1 pomodoro piccolo (6 cm)=91|1 fetta (1 cm)=20|1 medio (6 cms)=50|1 fetta spessa/grandi (1 cm)=27|1 a Cuneo (1/4 di pomodoro medio)=31|1 pomodoro=80|1 tazze	0321|040.8|050.3|064.2|071.2|083.2|090.05|100.05|110.15|128.5|130.15|14225|151.6|1718
19	WS1282	1 porzione=250|1 porzione normale=110|1 piatto=180|1 porzione grande=170|1 porzioni=80|1 t=240|1 tazze|1.1 porziones	0377|042.25|050.6|0614.5|070.9|084|090.15|100.1|110.15|1213|130.9|14190|15270|161
20	WS1338	1 media (7 cm di diametro) (circa 3 in 450 g)=140|1 medio (8 cm)=180|1 mela piccola=34.5|1 piccola (6.5 cm di diametro) (circa 4 in 450 g)=105|1 mela=150|1 grande (8 cm)=225|1 piccolo (7 cm)=150|1 fetta=17|1 porzione=150|1 fetta sottile=7.7|1 oncia (pari a 28 g). con pelle. produce=27|1 media=120|1 medio (8 cms)=135|1 anello=13.5|1 taz|1 PZ|1 oncia (pari a 28 g), con pelle, produce=27|100 grammi|1 piccola (6,5 cm di diametro) (circa 4 in 450 g)=105	0353|040.25|050.2|0614|072.35|0810.5|090.05|110.05|14110|150.95
21	WS1769	1 porzione=105|1 tazza. cotto=160|1 oncia (pari a 28 g). essiccato. produce=87|1.4 razza. cotto=70|1 tazza. essiccato. produce=570|1 tazze|100 grammi|1 oncia (pari a 28 g), essiccato, produce=87|1 tazza, cotto=160|1 tazza, essiccato, produce=570	03150|043.5|050.3|0632.5|070.5|080.05|090.1|100.1|110.1|1440|15335
22	WS1202	1 biscotto=5.2|3 biscotti=3.1|1 giro (4 cm)=10|1 elemento ovale (8 x 3 cm x 1 cm)=15|1 once (oz)=28.5|1 b=5.2|1 giro (4 cms)=80	03515|048.6|0511|0680.5|073.85|0819|095.75|15385
23	WS921	1 fetta=25|1 fetta. grande=30|1 fetta sottile. crosta non mangiata=9|1 fetta. sottile=20|1 fetta. crosta non mangiata=12|1 fetta. molto sottile=15|1 oncia (pari a 28 g)=28|1 tazza. cubetti=35|1 fetta senza crosta=12|100 grammi|1 fetta sottile, crosta non mangiata=9|1 fetta, crosta non mangiata=12|1 fetta, molto sottile=15|1 fetta, sottile=20|1 fetta, grande=30|1 tazza, cubetti=35	03265|047.9|053.15|0650.5|072.4|083.95|090.65|100.65|111.25|1499.5|15680
24	WS921	1 fetta=25|1 fetta. grande=30|1 fetta sottile. crosta non mangiata=9|1 fetta. sottile=20|1 fetta. crosta non mangiata=12|1 fetta. molto sottile=15|1 oncia (pari a 28 g)=28|1 tazza. cubetti=35|1 fetta senza crosta=12|100 grammi|1 fetta sottile, crosta non mangiata=9|1 fetta, crosta non mangiata=12|1 fetta, molto sottile=15|1 fetta, sottile=20|1 fetta, grande=30|1 tazza, cubetti=35	03265|047.9|053.15|0650.5|072.4|083.95|090.65|100.65|111.25|1499.5|15680
25	WS7306	1 tazzina di caffè espresso=60|1 tazza di caffè=240|1 porzione=60|1 tazza grande=300|6.699999 oncia fluida=200|1 porzioni=60|1 tazze|100 grammi	032.15|040.15|050.2|090.1|110.1|14115|1513.5
26	WS1198	1 seno=290|1 coscia=135|1 fetta sottile (circa 5 cm x 4 cm x 0.3 cm)=7.2|1 fetta media (circa 5 cm x 4 cm x 0.6 cm)=14|1 oncia (pari a 28 g). con l'osso (disossato. dopo essere stato cotto produce)=12|1 ala=49|1 cubic inch. disossato. cotto=17|1 tazza (tritato o a cubetti)=140|1 oncia pa|100 grammi|1 fetta sottile (circa 5 cm x 4 cm x 0,3 cm)=7.2|1 oncia (pari a 28 g), con l'osso (disossato, dopo essere stato cotto produce)=12|1 fetta media (circa 5 cm x 4 cm x 0,6 cm)=14|1 cubic inch, disossato, cotto=17	03235|0427|0513.5|093.75|105.3|112.95|14220|15395|1686.5
27	WS2432	1 toast=5.1|3 fette=5.1|4 fetta=48|2 fettes=15|0.5 oncia (pari a 28 g)=14|4 pezzo (9.5 cm x 4.5 cm x 0.3 cm)=20.5|1 porzione=30|1 t=5.1|2 pezzi|2 fettas|100 grammi	03395|0413|053.6|0681|077.85|090.35|100.55|110.9|14140|15820
28	WS4647	1 porzione|100 grammi	0318|041.4|050.2|062.3
29	WS1802	1 fetta=25|1 panino=77|2 fette=25|1 fetta sottile=20|1 Mezzo panino=50|1 pezzo=80|1 fetta senza crosta=12|1 fetta molto sottile (cubi)=15|3 panini=90|1 tazza (cubi)=35|1 fetta (cubi)=30|1 fetta sottile senza crosta (cubi)=9|1 f=40|1 tazza (briciole)=45|0.1 Gr	03250|0413|053.5|0642|076.7|085.55|090.75|101.55|110.6|12105|132.45|14245|15400
30	WS6387	1 cucchiaio da tavolo=21|1 cucchiaino=14|1 cucchiaio=21|1 cucchiaino da tavolo=10|1 Un cucchiaino=20|1 pacchetto=14|1.6 oncia (pari a 28 g)=45.5|1 cucchiaimo=10|1 cucchiainoes=5|1 bustina=6|2 cucchiaini|0.5 cucchiai|1 tazze|1 cucchiaino da caffè|0.7 cucchiaino da caffe|100 grammi	03305|040.3|0682|0882|1452|154.75
31	WS1198	1 seno=290|1 coscia=135|1 fetta sottile (circa 5 cm x 4 cm x 0.3 cm)=7.2|1 fetta media (circa 5 cm x 4 cm x 0.6 cm)=14|1 oncia (pari a 28 g). con l'osso (disossato. dopo essere stato cotto produce)=12|1 ala=49|1 cubic inch. disossato. cotto=17|1 tazza (tritato o a cubetti)=140|1 oncia pa|100 grammi|1 fetta sottile (circa 5 cm x 4 cm x 0,3 cm)=7.2|1 oncia (pari a 28 g), con l'osso (disossato, dopo essere stato cotto produce)=12|1 fetta media (circa 5 cm x 4 cm x 0,6 cm)=14|1 cubic inch, disossato, cotto=17	03235|0427|0513.5|093.75|105.3|112.95|14220|15395|1686.5
32	WS2698	1 media (18 cm - 20 cm di lunghezza)=120|1 piccola (15 cm - 17.5 cm di lunghezza)=100|1 medio (18 cm a 20 cm)=120|1 molto piccola (meno di 15 cm di lunghezza)=81|1 piccolo (15 cm a 18 cm)=100|1 grande (20 cm a 22 cm)=135|1 fetta=5.6|1 porzione=120|1 medio (18 cm a 20 cms)=110|1 inch lineare (2.54 cm circa)=15.5|1 inch lineare (2,54 cm circa)=15.5|1 g producono=18|100 grammi|1 piccola (15 cm - 17,5 cm di lunghezza)=100	0389.5|041.1|050.35|0623|072.6|0812.5|090.1|100.05|110.05|14360|150.9
