Row	Meal	Name	Brand	Pos
0	S	Arbata		33
1	B	Kiaušinių		119
2	B	Kavos		293
3	S	Kavos		411
4	B	Arbata		529
5	L	Vištienos		615
6	B	Avižiniai dribsniai		816
7	S	Sausainių		944
8	S	Kiaušinių		1120
9	S	Bananų		1294
10	B	Kava		1603
11	S	Duona		1697
12	B	Duona		1968
13	L	Duona		2239
14	D	Duona		2510
15	B	Bananų		2781
16	L	Pomidorų		3091
17	B	Balta duona		3378
18	D	Pica		3683
19	D	Kiaušinių		3835
20	S	Oranžinė		4010
21	B	1 % pieno		4170
22	B	Skrudinta duona		4321
23	L	Žalios salotos		4649
24	S	Mažai riebalų vaisiai jogurtas		5057
25	D	Vištienos		5218
26	L	Arbata		5420
27	L	Kava		5507
28	L	Baltieji ryžiai		5601
29	B	Kietai virtų kiaušinių		5718
30	L	Kiauliena		5918
31	B	Mažai riebalų vaisiai jogurtas		6031
32	B	Avižų		6192
33	L	Kiaušinių		6312
34	D	Pomidorų		6487
35	D	Vištienos krūtinėlė		6774
36	L	Morkų		6956
37	B	Oranžinė		7288
38	S	Skrudinta duona		7448
39	D	Kiauliena		7776
40	D	Baltieji ryžiai		7889
41	L	Bananų		8006
42	L	Salotoms su majonezu		8316
43	D	Morkų		8448
44	D	Vynuogės		8780
45	L	Šokoladinis pyragas		8897
46	D	Kopūstai		9019
47	D	Skrudinta duona		9371
48	L	Alyvuogių aliejaus		9699
49	B	Kukurūzų dribsnių		9778
50	S	Obuolys		9888
51	D	Šviesos mažai riebalų vaisiai jogurtas		9911
52	B	Sviestas		10085
53	L	Mažai riebalų vaisiai jogurtas		10216
54	D	Arbata		10377
55	L	Paruoštas kiaulienos dešra		10464
56	B	Prancūziška duona		10584
57	B	Kava su pienu		10770
58	L	Oranžinė		10789
59	D	Svogūnų		10949
60	L	Obuolių sulčių		11239
61	L	Lęšiai		11377
62	B	Pomidorų		11498
63	B	Obuolys		11785
64	B	Sūrelis		11808
65	L	Keptos bulvių		11842
66	L	Blynas		12049
67	L	Pica		12215
68	B	Sausainių		12367
69	B	Paruoštas kiaulienos dešra		12544
70	D	Žalios salotos		12664
71	B	Kumpis		13072
72	D	Kava		13204
73	L	Sriuba		13298
74	B	Varškė		13318
75	D	Varškė		13337
76	L	Kava su pienu		13356
77	B	Sausi Pusryčiai		13375
78	B	Sūris		13408
79	B	Sumuštinis su sūriu		13506
80	D	Keptos bulvių		13525
81	S	Šokoladas		13732
82	D	Sausainių		13771
83	L	Obuolys		13948
84	D	Bananų		13971
85	B	Šviesos mažai riebalų vaisiai jogurtas		14281
86	B	Blynas		14455
87	L	Kepta vištiena		14621
88	L	Eksportą ryžių		14842
89	B	Agurkas		14900
90	L	Makaronai su mėsos kukuliai pomidorų padaže		15084
91	S	Šokoladinis pyragas		15199
92	S	Bandelė		15321
93	B	grikiu koše		15341
94	B	Avižinė Košė		15361
95	L	Kopūstai		15381
96	S	Kriaušė		15733
97	S	Apelsinas		15908
98	B	Sumuštinis		15927
99	D	Obuolys		15946
100	L	Sumaišyti daržoves		15969
101	L	Lašiša		16086
102	S	Bananas		16190
103	S	Vištienos krūtinėlė		16212
104	B	Grikiai		16395
105	B	Dešra		16415
106	B	Bandelė		16545
107	L	Makaronai		16566
108	B	Jogurtas		16694
109	L	Grikiai		16713
110	S	Sūrelis		16733
111	L	Avižiniai dribsniai		16768
112	S	Kava		16898
113	S	Kava su pienu		16993
114	D	Paruoštas kiaulienos dešra		17013
115	S	Pomidorų		17134
116	B	Amerikos sūris		17422
117	L	Bandelė		17661
118	L	Sūrelis		17682
119	D	Mažai riebalų vaisiai jogurtas		17717
120	L	Sausainių		17879
121	S	Baltieji ryžiai		18057
122	S	Traškučiai		18175
123	D	Sriuba		18297
124	S	Avižiniai dribsniai		18318
125	D	Lašiša		18448
126	D	Blynas		18552
127	D	Sumaišyti daržoves		18719
128	B	Žalios salotos		18836
129	S	Saldainis		19245
130	L	Vištienos krūtinėlė		19265
131	L	Bulvių pūkinės		19448
132	L	Grietine		19561
133	L	Balandėliai		19621
134	B	Sumuštiniai		19642
135	B	Grikiai virti		19681
136	B	Cukrus		19720
137	B	Apelsinas		19747
138	B	Sumuštinis Su Lašiša		19767
139	D	Kefyras		19788
140	B	Baltieji ryžiai		19808
141	L	Balta duona		19926
142	L	Skrudinta duona		20232
143	B	Obuoliai		20561
144	L	Agurkas		20589
145	S	Keptos bulvių		20774
146	S	Saldainiai		20982
147	S	Kiauliena		21021
148	D	Bulvių pūkinės		21135
149	D	Balta duona		21248
150	B	Ryziu kose		21554
151	B	Melionas		21595
152	B	Sviesto be druskos		21615
153	B	Avokadas		21732
154	B	Bananas		21841
155	S	Ananasų		21863
156	S	Mandarinas		22091
157	S	Kefyras		22113
158	S	Pasukos		22133
159	L	Kepta kiaulienos nugarinė		22155
160	L	Pasukos		22296
161	S	Pica		22318
162	D	Salotoms su majonezu		22471
163	D	Grikiai		22604
164	L	Kriaušė		22624
165	L	Saldainiai		22800
166	D	Kava su pienu		22839
