Row	Meal	Name	Brand	Pos
0	B	Kafijas		33
1	B	Maize		119
2	B	Olu		433
3	L	Vistas		592
4	S	Cepums		779
5	S	Kafijas		929
6	B	Cukurs		1015
7	L	Kartupeļi		1134
8	B	2 % piena		1359
9	S	Tēja		1496
10	L	Tomāti		1570
11	B	Tēja		1784
12	B	Šķīstošā kafija		1859
13	B	Banānu		1925
14	B	Auzas		2213
15	D	Cepti kartupeļi		2316
16	D	Tomāti		2517
17	S	Banānu		2731
18	L	Tēja		3019
19	L	Maize		3094
20	L	Kafijas		3409
21	B	1 % piena		3496
22	D	Cūkgaļa izcirtņi		3635
23	S	Maize		3764
24	B	Čedaras siers		4079
25	D	Maize		4242
26	B	Maizi uzturā		4557
27	L	Zaļie salāti		4785
28	L	Cepti kartupeļi		5206
29	L	Cūkgaļas karbonādes		5407
30	S	Piena šokolāde		5530
31	B	Kukurūzas pārslas		5738
32	B	Gurķi		5846
33	L	Gurķi		6053
34	D	Dārzeņu maisījumi		6260
35	L	Burkāni		6372
36	S	Olu		6676
37	L	Olu		6836
38	B	Multi-graudu maize		6996
39	D	Kartupeļi		7294
40	D	Vistas		7520
41	L	Vistas fileja		7708
42	L	Ābolu		7745
43	B	Zema tauku augļu jogurts		7858
44	D	Baltos rīsus		8013
45	B	Pilngraudu auzu pārslas		8123
46	S	Ābolu		8161
47	B	Tomāti		8274
48	S	Maizīte		8488
49	D	Baltmaizes		8675
50	L	Olīvu eļļa		8947
51	D	Olu		9039
52	S	Zema tauku augļu jogurts		9199
53	S	Tomāti		9354
54	L	Pica		9568
55	B	Biezpienmaizīte		9695
56	D	Burkāni		9836
57	D	Vājpiena Biezpiens		10140
58	S	Alus		10177
59	L	Banānu		10267
60	B	Cepti kartupeļi		10555
61	D	2 % piena		10756
62	D	Vistas fileja		10894
63	D	Ābolu		10931
64	S	2 % piena		11044
65	S	Baltmaizes		11182
66	B	Biezpiens		11454
67	S	Šķīstošā kafija		11474
68	S	Bumbieri		11540
69	B	Tosts		11721
70	L	Griķi		12002
71	L	Baltmaizes		12042
72	S	Siers		12314
73	L	Piena šokolāde		12334
74	B	Rozīnes		12542
75	B	Kēksu		12725
76	S	Multi-graudu maize		12844
77	S	Ābols		13142
78	S	Tosts		13162
79	D	Pica		13443
80	B	Auzu milti		13570
81	D	Gurķi		13683
82	D	Šokolādes kūka		13890
83	B	Apelsīnu sulas koncentrāts		13997
84	D	Bumbieri		14125
85	D	Svaiga apelsīnu sula		14306
86	D	Sarkanvīns		14438
87	B	Burkāni		14512
88	S	Sarkanvīns		14816
89	D	Biezpienmaizīte		14890
90	B	Desa		15031
91	L	Biezpienmaizīte		15138
92	B	Rudzu maize		15279
93	B	Franču maize		15561
94	D	Ābols		15726
95	L	Čedaras siers		15746
96	L	Bumbieri		15909
97	D	Čedaras siers		16090
98	S	1 % piena		16253
99	S	Zemeņu		16392
100	B	Kartupeļi		16658
101	B	Ābolu		16885
102	B	Ananāsu		16999
103	D	Kefīrs		17208
104	D	Desa		17229
105	L	Baltos rīsus		17337
106	L	Šokolādes kūka		17448
107	S	Apelsīns		17556
108	D	Cūkgaļas karbonādes		17575
109	L	Ābols		17699
110	B	Siers		17720
111	D	Makaroni		17741
112	B	Lasis		17851
113	B	Ābols		17893
114	D	Rudzu maize		17914
115	S	Ananāsu		18197
116	B	Banāns		18406
117	L	Redīsi		18428
118	B	Pankūku		18448
119	D	Vistas kāja		18585
120	D	Salāti		18749
121	D	Cepta vistas		18769
122	S	Zaļie zirņi		18975
123	S	Galete		19079
124	B	Ola		19100
125	B	Limonāde		19133
126	L	Cukurs		19259
127	L	Tvaicēti rīsi		19380
128	L	Vaniļas saldējums		19459
129	L	Cepums		19579
130	L	Cepta ola		19731
131	D	Kafijas		19899
132	D	Zefīrs		19987
133	D	Krējums		20007
134	B	Sieriņš Kārums parastais		20027
135	L	Cūkgaļa izcirtņi		20047
136	L	Gurkis		20177
137	L	Biešu Salāti		20197
138	D	Vistas krūtiņa		20219
139	D	Zaļie zirņi		20353
140	D	Paniņas		20457
141	D	Redīsi		20497
142	S	Maisījums Gardēžiem		20517
143	D	Siers		20537
144	L	Salāti		20558
145	L	Sīpoli		20578
146	B	Muslis		20875
147	B	Cepta ola		20915
148	D	Zaļie salāti		21083
149	D	Cepums		21505
150	D	Cepta ola		21657
151	D	Tēja		21825
152	L	Biezpiens		21901
153	L	Makaroni		21922
154	D	Griķi		22032
155	L	Risi		22073
156	L	2 % piena		22093
157	B	Jogurts		22232
158	B	Cepums		22253
159	D	Sīpoli		22405
160	S	Zefīrs		22702
161	B	Auzu pārslu putra		22722
162	B	Baltmaizes		22742
163	B	Ābolu pīrags ar biezpienu		23015
164	B	Greipfruts		23034
165	L	Lasis		23055
166	B	Griķi		23097
167	L	Zema tauku augļu jogurts		23138
168	B	Bumbieri		23294
169	B	Sviests		23476
170	B	Siers, izplatīt		23496
171	B	Paprika		23622
172	L	Ābolu pīrags ar biezpienu		23656
173	B	Kefīrs		23675
174	L	Ola		23696
175	S	Siers, izplatīt		23729
176	S	Cukurs		23855
177	S	Rozīnes		23976
178	D	Medus		24160
179	D	Biešu Salāti		24208
180	D	Gurkis		24230
181	B	Paniņas		24250
182	L	Zivju pirkstini		24290
183	D	Spināti		24310
184	S	Vistas		24337
185	S	Kēksu		24526
186	L	Dārzeņu maisījumi		24646
187	D	Pankūku		24759
188	L	Cūkgaļa		24896
189	D	Banānu		24917
190	D	Alus		25206
191	D	Biezpiens		25297
192	D	Paprika		25318
193	B	Piens		25352
194	B	Zala teja		25372
195	B	Krējums		25405
196	S	Svaiga apelsīnu sula		25425
197	L	Kartupeļi vārīti		25558
198	S	Burkāni		25661
199	L	Siers, izplatīt		25966
200	D	Cukurs		26092
201	D	Zivju pirkstini		26213
202	L	Cepta vistas		26233
203	L	Multi-graudu maize		26439
204	L	Šķīstošā kafija		26738
205	D	Šķīstošā kafija		26805
206	D	Avokado		26872
207	B	Olas		26989
