Row	Meal	Name	Brand	Pos
0	B	Chleb		33
1	B	Jajko		351
2	B	Kawa		528
3	B	Płatki owsiane		642
4	D	Chleb		859
5	S	Herbata		1177
6	B	Herbata		1265
7	S	Kawa		1353
8	B	Chleb razowy		1467
9	B	Szynka		1760
10	S	Banan		1972
11	S	Chleb		2263
12	L	Ryż biały		2582
13	L	Kurczaka		2799
14	L	Pierś z kurczaka		2963
15	B	Banan		3129
16	B	Pomidor		3420
17	B	Kawa rozpuszczalna		3651
18	D	Pomidor		3738
19	B	1% mleka		3969
20	L	Ziemniak		4116
21	L	Ugotowane ziemniaki		4402
22	B	2% mleka		4652
23	B	Serek		4831
24	B	Mleko		5010
25	L	Pomidor		5185
26	D	Jajko		5416
27	L	Chleb		5594
28	B	Jajecznica jajko		5913
29	S	Jajko		6112
30	D	Herbata		6290
31	D	Szynka		6379
32	D	Pierś z kurczaka		6592
33	B	Ogórek		6758
34	L	Makaron		6998
35	D	Ryż biały		7193
36	B	Tosty		7410
37	B	Płatki kukurydziane		7741
38	S	Kawa rozpuszczalna		7864
39	S	Niskie owoców tłuszczu Jogurt		7951
40	S	2% mleka		8049
41	S	Czekolada mleczna		8228
42	S	Jabłko		8432
43	L	Marchew		8496
44	S	Cukier		8800
45	S	Herbatniki		9000
46	S	Pierś z kurczaka		9163
47	L	Jajko		9329
48	D	Ogórek		9507
49	L	Ogórek		9747
50	D	Chleb razowy		9987
51	L	Brokuły		10281
52	L	Mięso z piersi kurczaka		10565
53	L	Herbata		10768
54	D	Banan		10857
55	B	Jabłko		11148
56	S	Pomidor		11212
57	B	Niskie owoców tłuszczu Jogurt		11443
58	L	Oliwa z oliwek		11541
59	B	Biały chleb		11646
60	L	Banan		11956
61	D	Tosty		12247
62	S	Ogórek		12578
63	S	Ryż biały		12818
64	L	Kawa		13035
65	S	Tosty		13150
66	L	Zielona sałata		13481
67	D	Marchew		13932
68	L	Udko z kurczaka		14236
69	D	Sałata lodowa		14379
70	S	Sernik		14803
71	D	Kawa		14943
72	B	Cukier		15058
73	B	Pierś z kurczaka		15258
74	B	Naleśnik		15424
75	D	Cebula		15577
76	B	Jogurt naturalny		15870
77	D	Frytki		15982
78	B	Boczek		16152
79	L	Sałata lodowa		16305
80	D	Czerwone wino		16729
81	D	Jabłko		16801
82	S	Truskawka		16865
83	B	Ryż biały		17167
84	D	Brokuły		17384
85	D	Kurczaka		17668
86	S	Miód		17832
87	B	Owies		17924
88	S	Szynka		18037
89	B	Masło bez soli		18250
90	B	Bułka		18430
91	S	Niskie tłuszczu musli z rodzynkami		18449
92	S	Rodzynki		18562
93	B	Musli		18850
94	S	Brokuły		18878
95	D	Zielona herbata		19162
96	L	Szynka		19194
97	L	Jabłko		19407
98	L	Ryż brązowy		19471
99	D	Jogurt naturalny		19583
100	S	Oliwa z oliwek		19695
