Row	ID	AllWeights	AllProperties
0	WS9744	1 fatia=25|2 fatias=25|1 fatia grande (cubos)=30|1 fatia sem crosta=12|1 fatia fina=20|1 fatia fina sem crosta (cubos)=9|1 xícara (migalhas)=45|1 fatia muito fina (cubos)=15|1 xícara (cubos)=35|2 fatia. grande	03235|0410.5|053.05|0636.5|079.45|090.6|100.8|111.25|1239.5|132.1|14230|15440|160.7
1	WS10912	1 chávena. cozido=160|1 dose=105|1 xícara=160|3 conchas=235|1 oz. seco. produto=87|1 chávena. seco. produto=570|1 chávena, cozido=160|1 oz, seco, produto=87|100 gramas|1 chávena, seco, produto=570	03130|042.65|050.3|0628|070.4|080.05|090.1|100.1|110.1|1434.5|15340
2	WS10278	1 caneca=240|1 chávena de café=240|1 xícara=235|1 dose=240|1 copo pequeno=180|2 cafés=240|1 copo grande=355|2 canecas=240|1 pedido de fast food grande=600|100 mililitros|1 chávenas	031.05|040.15|060.05|1446.5|152.15
3	WS9744	1 fatia=25|2 fatias=25|1 fatia grande (cubos)=30|1 fatia sem crosta=12|1 fatia fina=20|1 fatia fina sem crosta (cubos)=9|1 xícara (migalhas)=45|1 fatia muito fina (cubos)=15|1 xícara (cubos)=35|2 fatia. grande	03235|0410.5|053.05|0636.5|079.45|090.6|100.8|111.25|1239.5|132.1|14230|15440|160.7
4	WS20352	1 xícara=235|1 copo pequeno=180|1 copo grande=355	0341.5|043.35|050.95|064.95|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
5	WS10911	1 peito=290|1 fatia fina (aprox 5 cm x 4 cm x 0.3 cm)=7.2|1 polegada cúbica. sem ossos. cozido=17|1 fatia média (aprox 5 cm x 4 cm x 0.6 cm)=14|1 coxas=66.5|1 oz. com ossos (produto após cozinhado. ossos removidos)=12|1 asa=49|1 xícara (picado ou em cubos)=140|1 baqueta=135|1 coxa|1 pepita=20	03235|0427|0513.5|093.75|105.3|112.95|14220|15390|1687
6	WS10912	1 chávena. cozido=160|1 dose=105|1 xícara=160|3 conchas=235|1 oz. seco. produto=87|1 chávena. seco. produto=570|1 chávena, cozido=160|1 oz, seco, produto=87|100 gramas|1 chávena, seco, produto=570	03130|042.65|050.3|0628|070.4|080.05|090.1|100.1|110.1|1434.5|15340
7	WS9744	1 fatia=25|2 fatias=25|1 fatia grande (cubos)=30|1 fatia sem crosta=12|1 fatia fina=20|1 fatia fina sem crosta (cubos)=9|1 xícara (migalhas)=45|1 fatia muito fina (cubos)=15|1 xícara (cubos)=35|2 fatia. grande	03235|0410.5|053.05|0636.5|079.45|090.6|100.8|111.25|1239.5|132.1|14230|15440|160.7
8	WS19428	1 serviço=89|1 xícara (pedaços de 1 cm. picados. vagamente embalado)=57|2 folha média (cerca de 14 cm)=16|1 xícara (picada)=72|1 folha grande (cerca de 18 cm)=15|1 folha pequena (picada)=5|1 alface médio (15 cm)=540|1 xícara (pedaços de 1 cm, picados, vagamente embalado)=57|1 alface grande (15cm)=755	0315|041.35|050.15|062.85|071.3|080.8|110.1|1236|130.85|14195|1528|179.2
9	WS10911	1 peito=290|1 fatia fina (aprox 5 cm x 4 cm x 0.3 cm)=7.2|1 polegada cúbica. sem ossos. cozido=17|1 fatia média (aprox 5 cm x 4 cm x 0.6 cm)=14|1 coxas=66.5|1 oz. com ossos (produto após cozinhado. ossos removidos)=12|1 asa=49|1 xícara (picado ou em cubos)=140|1 baqueta=135|1 coxa|1 pepita=20	03235|0427|0513.5|093.75|105.3|112.95|14220|15390|1687
10	WS20026	1 fatia=25|2 fatias=12.5|1 fatia sem crosta=12|1 fatia grande (cubos)=30|1 fatia fina=20|1 fatia muito fina (cubos)=15|1 xícara (migalhas)=45|1 xícara (cubos)=35|1 fatia fina sem crosta (cubos)=9	03320|0416.5|054.05|0651|079.2|085.75|090.9|101.95|110.75|12130|132.95|14325|15495
11	WS4830	1 xícara=235|1 copo grande=355|1 copo pequeno=180|1 chávenas	031|060.3|1437|153
12	WS4830	1 xícara=235|1 copo grande=355|1 copo pequeno=180|1 chávenas	031|060.3|1437|153
