Row	Meal	Name	Brand	Pos
0	B	Cafea		33
1	L	Pâine		159
2	B	Pâine		410
3	B	Ou		661
4	S	Cafea		820
5	D	Pâine		946
6	S	Pâine		1197
7	L	Pui		1448
8	S	Biscuiti		1624
9	S	Banane		1784
10	B	Banane		2058
11	S	Ceai		2333
12	S	Ou		2412
13	B	Paine prajita		2572
14	B	Ceai		2853
15	B	1% lapte		2932
16	L	Ou		3100
17	D	Ou		3260
18	D	Piept de pui		3420
19	B	Fulgi de ovăz		3611
20	D	Cartofi prajiti		3762
21	S	Cartofi		3937
22	L	Salata verde		4143
23	B	lapte 2%		4558
24	B	Biscuiti		4730
25	D	Salata verde		4891
26	L	Cafea		5306
27	L	Pulpă de pui		5433
28	L	Orez alb		5668
29	S	Chips-uri		5787
30	B	Covrig		5940
31	S	Mar		6091
32	S	Covrig		6124
33	L	Banane		6275
34	D	Vin rosu		6550
35	L	Castravete		6655
36	S	Paine prajita		6860
37	B	Crema de branza		7141
38	S	Tort de ciocolata		7363
39	D	Pui		7488
40	D	Castravete		7665
41	L	Tomate		7870
42	S	Piept de pui carne		8197
43	S	Scăzut de grăsime fructe iaurt		8346
44	L	Paine prajita		8448
45	L	Iahnie de fasole		8729
46	B	Salam		8811
47	D	Ceai		8979
48	D	Ceapa		9058
49	L	Varza		9357
50	S	Salata verde		9726
51	B	Unt sărat		10141
52	D	Ciocolata cu lapte		10281
53	B	Scăzut de grăsime fructe iaurt		10460
54	D	Supa de pui		10562
55	D	Paine prajita		10723
56	B	Castravete		11004
57	B	Mar		11209
58	D	Orez alb		11242
59	L	Covrig		11361
60	L	Ulei de măsline		11512
61	B	Cozonac		11605
62	L	Fiert orez		11782
63	L	Ceai		11866
64	D	Pulpă de pui		11945
65	L	Ceapa		12180
66	S	Pui prăjit		12479
67	L	Morcov		12690
68	B	Fulgi de porumb		12973
69	L	Crema de branza		13083
70	B	Tomate		13305
71	D	Tomate		13632
72	D	Crema de branza		13959
73	S	Ceapa		14181
74	B	Ou fiert tare		14480
75	S	Carne de porc sol		14669
76	D	Morcov		14771
77	S	Floricele de porumb		15054
78	S	Migdale		15188
79	B	Ovăz		15428
80	D	Carne de vită		15550
81	S	Inghetata de ciocolata		15731
82	S	Carne de vită		15867
83	B	Supa de pui		16048
84	L	Cartofi prajiti		16209
