Row	ID	AllWeights	AllProperties
0	WS12	1 кружка=240|1 чашка кофе=240|1 большая чашка=355|1 большой заказ быстрого питания=600|1 маленькая чашка=180|1 средний заказ быстрого питания=480|1 порция=240|1 маленький заказ быстрого питания=240|1 стаканы|100 мл|100 г	031.25|040.1|060.05|090.05|110.15|1446.5|152.1
1	WS295	1 большая чашка=355|1 маленькая чашка=180|1 стаканы|100 мл|100 г	030.9|060.3|090.1|110.2|1436.5|153
2	WS4008	100 гр=100|100 гг=100|4 ложки=66.5|1 чашку=40|1 порция=150|1 ч=100|1 жменя=60|0.4 Кубов=105|0.3 стаканы	03365|0412|056.95|0669.5|0710|081.5|091.35|102.3|112.55|12350|1324.5|14365|15220
3	WS295	1 большая чашка=355|1 маленькая чашка=180|1 стаканы|100 мл|100 г	030.9|060.3|090.1|110.2|1436.5|153
4	WS9	1 ломтик=25|1 большой ломтик (кубики)=30|2 ломтика=25|1 тонкий ломтик=20|1 ломтик без коры=12|1 очень тонкий ломтик (кубики)=15|1 тонкий ломтик без коры (кубики)=9|1 чашка (крошки)=45|1 чашка (кубики)=35	03275|0410.5|053.45|0650|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
5	WS618	1 средний (7 см диаметром) (около 3 на 450 г)=140|1 средний (8 см)=180|1 маленький (6.5 см диаметром) (около 4 на 450 г)=105|1 большой (8 см)=225|1 дикое яблоко=34.5|1 маленький (7 см)=150|1 ломтик=17|1 очень мелкий (6 см)=100|1 тонкий ломтик=7.7|1 кольцо=13.5|1 стаканы|100 г|1 средний (8 смs)|1 чашка (рубленый)=125|1 чашка (ломтики)=110	0353|040.25|050.15|0614|072.4|0810.5|090.05|100.05|110.05|14105|150.8
6	WS59	1 средний=44|1 маленький=36.5|1 порция=50.5|1 большой=50.5|1 чашка (4.86 яйца)=245|1 очень большой=58|1 супер-большая=65.5|1 стаканы|100 г|1 слон=63	03145|0412.5|059.85|060.8|080.7|093.1|103.75|111.4|14135|15140|16415
7	WS9	1 ломтик=25|1 большой ломтик (кубики)=30|2 ломтика=25|1 тонкий ломтик=20|1 ломтик без коры=12|1 очень тонкий ломтик (кубики)=15|1 тонкий ломтик без коры (кубики)=9|1 чашка (крошки)=45|1 чашка (кубики)=35	03275|0410.5|053.45|0650|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
8	WS1068	0.5 курицы=330|1 грудка=235|1 голень=120|1 чашка (колотые или кубиками)=140|1 крыло=41|1 самородок=20	03240|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
9	WS295	1 большая чашка=355|1 маленькая чашка=180|1 стаканы|100 мл|100 г	030.9|060.3|090.1|110.2|1436.5|153
10	WS295	1 большая чашка=355|1 маленькая чашка=180|1 стаканы|100 мл|100 г	030.9|060.3|090.1|110.2|1436.5|153
11	WS8	1 ломтик=28|2 ломтика=28|1 чашка (кубиками)=130|1 пакет (расплавленного)=170|1 кубический дюйм=17|1 чашка (расплавленного)=245|1 чашка (измельченных)=115	03400|0425|0533|061.3|080.55|0921|109.4|110.95|12720|130.7|1498|15620|16105|180.6
12	WS1068	0.5 курицы=330|1 грудка=235|1 голень=120|1 чашка (колотые или кубиками)=140|1 крыло=41|1 самородок=20	03240|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
13	WS12	1 кружка=240|1 чашка кофе=240|1 большая чашка=355|1 большой заказ быстрого питания=600|1 маленькая чашка=180|1 средний заказ быстрого питания=480|1 порция=240|1 маленький заказ быстрого питания=240|1 стаканы|100 мл|100 г	031.25|040.1|060.05|090.05|110.15|1446.5|152.1
14	WS10	1 чашка. творог (не упакован)=210|0.5 стакана=125|1 порция=105|1 ф=100|1 стаканы|100 г|4 унции=115|1 чашка, творог (не упакован)=210|1 фунты=455	03110|0412.5|054.7|062.7|080.3|093.35|101.5|110.15|1486|15375|1618.5
