Row	Meal	Name	Brand	Pos
0	B	Кофе		33
1	B	Чай		309
2	B	Овсяная каша		418
3	S	Чай		613
4	B	Хлеб		722
5	S	Яблоко		1019
6	B	Яйцо		1438
7	L	Хлеб		1664
8	L	Курица		1961
9	L	Чай		2139
10	D	Чай		2248
11	B	Сыр		2358
12	D	Курица		2602
13	S	Кофе		2781
14	B	Творог		3058
15	D	Хлеб		3281
16	B	Молоко		3579
17	B	Банан		4031
18	B	Колбаса		4439
19	S	Банан		4536
20	L	Помидор		4944
21	D	Помидор		5230
22	L	Огурец		5516
23	B	Яблоко		5861
24	D	Яблоко		6281
25	S	Печенье		6701
26	B	Йогурт		6886
27	S	Хлеб		7059
28	L	Яблоко		7357
29	L	Кофе		7777
30	D	Огурец		8054
31	B	Печенье		8399
32	B	Овсянка		8584
33	S	Шоколад		8920
34	B	Яйцо варёное		9127
35	L	Борщ		9348
36	L	Смешанные овощи		9625
37	S	Конфета		9741
38	L	Макароны		9876
39	B	Яичница		10196
40	B	Шоколад		10439
41	D	Творог		10646
42	L	Салат		10869
43	B	Кофе с молоком		11253
44	S	Йогурт		11447
45	L	Сыр		11620
46	D	Картошка		11864
47	D	Сыр		12104
48	B	Каша		12348
49	L	Белый рис		12465
50	L	Яйцо		12750
51	L	Куриный суп с лапшой		12977
52	S	Творог		13158
53	D	Смешанные овощи		13381
54	D	Кефир		13497
55	L	Колбаса		13834
56	S	Мандарин		13931
57	L	Куриная грудка		14316
58	S	Сыр		14922
59	D	Макароны		15166
60	D	Салат		15486
61	D	Яйцо		15870
62	B	Мед		16097
63	L	Рыба		16311
64	D	Куриная грудка отварная		16469
65	B	Масло сливочное		16693
66	B	Белый хлеб		17005
67	D	Рыба		17479
68	D	Картофельное пюре		17637
69	S	Кефир		18191
70	B	Кефир		18528
71	B	Помидор		18865
72	D	Колбаса		19151
73	S	Апельсин		19248
74	D	Кофе		19640
75	D	Печенье		19917
76	L	Банан		20102
77	D	Банан		20510
78	L	Каша		20918
79	S	Курица		21035
80	L	Суп		21214
81	B	Курица		21337
82	S	Яйцо		21516
83	B	Огурец		21743
84	B	Конфета		22088
85	D	Белый рис		22223
86	S	Молоко		22508
87	D	Йогурт		22960
88	B	Апельсин		23133
89	L	Гречка		23525
90	L	Творог		23674
91	L	Яйцо варёное		23897
92	B	Салат		24118
93	L	Картофельное пюре		24502
94	L	Йогурт		25056
95	B	Чай с сахаром		25229
96	L	Морковь		25517
97	B	сахар		25981
98	L	Молоко		26300
99	D	Морковь		26752
100	S	Яйцо варёное		27216
101	S	Салат		27438
102	B	Каша овсяная		27823
103	D	Апельсин		28025
104	B	Зеленый чай		28418
105	S	Каша		28555
106	B	Варёное яйцо		28673
107	D	Куриная грудка		28943
108	S	Картошка		29550
109	S	Помидор		29791
110	S	Макароны		30078
111	B	Тост из муки грубого помола		30399
112	L	Конфета		30716
113	L	Пицца		30852
114	S	Молочный шоколад		31009
115	L	Рис		31206
116	B	Кофе с сахаром		31353
117	L	Гречка вареная		31533
118	D	Гречка		31756
119	L	Ржаной хлеб		31906
120	D	Конфета		32342
121	D	Салат овощной		32478
122	B	Гречка		32628
123	L	Макароны отварные		32778
124	D	Сметана		32935
125	L	Белый хлеб		33094
126	L	Суп овощной		33569
127	L	Куриное филе		33725
128	B	Ржаной хлеб		34055
129	L	Салат овощной		34491
