Row	ID	AllWeights	AllProperties
0	WS20046	1 plátok=25|1 tenký plátok=20|1 veľký krajec (kocky)=30|1 plátok bez kôry=12|1 veľmi tenký plátok (kocky)=15|1 tenký plátok bez kôry (kocky)=9|1 šálka (omrvinky)=45|1 šálka (kocky)=35	03240|0410.5|053.1|0639|078.45|090.65|100.75|111.3|1259|132.35|14225|15455|160.7
1	WS20047	0.3 pohár=24.5|1 lyžice=25|1 polievkova lyzica=9|1 poháre|1 polievkové lyžice|0.7 porcia	03365|0412.5|056.8|0668|0710|081.5|091.35|102.35|112.55|12350|1324.5|14365|15220
2	WS27781	1 kopka=60|1 poháre|1 šálky	03330|046.6|050.55|0671.5|071.05|080.1|090.15|100.2|110.15|1223|133.45|1492.5|153.9
3	WS37557	1 prsníka=160|1 šálka (sekané alebo kocky)=140|1 plátok=150	03155|0430|053.4|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
4	WS21940	1 plátok=27|2 tenký plátok=30|2 plátky=27|5 tenký poplatok=75|1 poháre	03175|0422.5|059.55|093.1|104.45|111.4|128|131.35|14410|151500|1659|180.8
5	WS19563	1 malý pohár=180|1 veľký hrnček=355|1 stredný pohar=235|300 d=350|1 poháre	031.8|040.05|060.35|070.1|127.35|130.05|1429|151.4
6	WS20046	1 plátok=25|1 tenký plátok=20|1 veľký krajec (kocky)=30|1 plátok bez kôry=12|1 veľmi tenký plátok (kocky)=15|1 tenký plátok bez kôry (kocky)=9|1 šálka (omrvinky)=45|1 šálka (kocky)=35	03240|0410.5|053.1|0639|078.45|090.65|100.75|111.3|1259|132.35|14225|15455|160.7
7	WS21750	1 stredná=44|1 veľké=50|1 malý=38|0.2 extra veľké=11|1 vajce=170|1 poháre	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
8	WS25132	1 veľký hrnček=355|0.8 malý pohár=140|1 poháre|4 dcl	031|060.3|1437|153
9	WS24832	1 stredná (6 cm na 8 cm)=215|1 veľké (8 cm do 11 cm)=370|0.5 pohára (nakrájané)=75|1 zemiak=175|1 malý (4 cm do 6 cm)=170	0384.5|041.7|050.1|0620|071.8|080.85|090.05|110.05|128|130.3|14330|155|177.4
10	WS20046	1 plátok=25|1 tenký plátok=20|1 veľký krajec (kocky)=30|1 plátok bez kôry=12|1 veľmi tenký plátok (kocky)=15|1 tenký plátok bez kôry (kocky)=9|1 šálka (omrvinky)=45|1 šálka (kocky)=35	03240|0410.5|053.1|0639|078.45|090.65|100.75|111.3|1259|132.35|14225|15455|160.7
11	WS27697	1 stredná (18 cm do 20 cm)=120|1 veľké (20 cm až 22 cm)=135|1 malý (15 cm 18 cm)=100|1 extra veľké (22 cm alebo dlhšie)=150|0.5 stredná (6 cm az 10 cm)|1 extra malé (menšia ako 15 cm)=81|1 šálka (nakrájané)=150|1 šálka (kaša)=225	0394|041.1|050.3|0623|072.1|0816.5|090.1|110.05|127.6|130.4|14380|151|1711.5
12	WS21940	1 plátok=27|2 tenký plátok=30|2 plátky=27|5 tenký poplatok=75|1 poháre	03175|0422.5|059.55|093.1|104.45|111.4|128|131.35|14410|151500|1659|180.8
13	WS20048	1 veľký hrnček=355|1 malý pohár=180|1 poháre	0342|043.35|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
14	WS29351		0368|040.4|050.45|0614.5
15	WS37557	1 prsníka=160|1 šálka (sekané alebo kocky)=140|1 plátok=150	03155|0430|053.4|091|101.25|110.75|1215|131.05|14255|1574|1685|180.1
16	WS22255	1 polievková lyžica=14|0.5 čajové lyžičky=19|0.8 palica (sq 2 cm. 1 cm)=92|2 lyžičky|1 palica (sq 2 cm, 1 cm)=115	03730|040.85|0582|060.05|080.05|0951.5|1021|113.05|1224|1424|1511|16215|181.5
17	WS19563	1 malý pohár=180|1 veľký hrnček=355|1 stredný pohar=235|300 d=350|1 poháre	031.8|040.05|060.35|070.1|127.35|130.05|1429|151.4
18	WS27930	0.5 malý pohár=89|1 veľký hrnček=355|1 poháre	0352|042.6|051.95|066.05|070.3|080.55|090.55|100.85|110.55|129|131.35|1444|15705|1611
19	WS21764	1 sušienky (6 cm)=35|1 stredná=51|1 veľké=77|1 malý=35	03365|046.2|0516.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
