Row	Meal	Name	Brand	Pos
0	B	Kaffe		33
1	B	Bröd		141
2	B	Ägg		405
3	S	Kaffe		553
4	B	Havregryn		661
5	L	Kyckling		774
6	B	1% mjölk		944
7	D	Potatis		1071
8	D	Tomat		1299
9	L	Bröd		1562
10	S	Banan		1826
11	D	Bröd		2099
12	B	Helmjölk		2364
13	L	Kaffe		2522
14	B	Skinka		2631
15	S	Bröd		2763
16	L	Tomat		3028
17	L	Ägg		3292
18	B	Banan		3441
19	B	Saltat smör		3714
20	D	Kyckling		3888
21	B	Te		4059
22	B	2% mjölk		4132
23	L	Potatis		4282
24	L	Gurka		4511
25	D	Gurka		4646
26	B	Låg fett fruktyoghurt		4781
27	B	Cheddarost		4938
28	B	Rågbröd		5091
29	L	Grön sallad		5341
30	D	Vitt ris		5580
31	D	Nötkött		5688
32	S	Ägg		5857
33	L	Morot		6006
34	L	Köttfärs (75/25)		6172
35	D	Isbergssallad		6274
36	L	Vitt ris		6523
37	B	Gurka		6631
38	D	Ägg		6766
39	S	Apple		6915
40	D	Grön sallad		7013
41	B	Tomat		7252
42	D	Köttfärs (75/25)		7516
43	D	Lax		7618
44	S	Te		7753
45	L	Isbergssallad		7826
46	D	Sås		8075
47	D	Morot		8200
48	S	Mjölkchoklad		8366
49	D	Lök		8473
50	L	Banan		8667
51	B	Margarin		8940
52	L	Lax		9105
53	S	2% mjölk		9240
54	S	Kex		9390
55	S	Helmjölk		9521
56	B	Knäckebröd		9679
57	S	Kanelbulle		9803
58	B	Lätta		9935
59	L	Skinka		9971
60	S	Cashewnötter		10103
61	B	Låg fett müsli med russin		10211
62	D	Makaroner		10327
63	L	Olivolja		10428
64	L	Kokt potatis		10498
65	D	Kycklingbröst		10642
66	L	Crème fraiche		10763
67	S	Päron		10869
68	B	Kvarg		11008
69	D	Saltat smör		11041
70	B	Lantgoda surdegsbröd		11215
71	L	1% mjölk		11250
72	D	Olivolja		11378
73	S	Hårt godis		11448
74	S	Låg fett fruktyoghurt		11534
75	D	Crème fraiche		11691
76	D	Avokado		11797
77	D	1% mjölk		11924
78	B	Franskt bröd		12052
79	D	Korv		12205
80	B	Bregott		12339
81	S	Skinka		12386
82	L	Broccoli		12518
83	S	Apelsin		12546
84	L	Avokado		12580
85	S	Vitt vin		12707
86	L	Cheddarost		12793
87	D	Cheddarost		12946
88	D	Kaffe		13099
89	S	Saltat smör		13208
90	B	Ost		13382
91	S	Sockerkaka		13401
92	B	Avokado		13547
93	B	Mjukost		13674
94	B	Goudaost		13798
95	L	Korv		13827
96	D	Gräddfil		13961
97	D	Skinka		14085
98	S	Cheddarost		14217
99	L	Fetaost		14370
100	B	Honung		14414
101	D	Mozzarellaost		14518
102	D	Rött vin		14667
103	L	Räkor		14758
104	L	Helmjölk		14878
105	D	Vitt vin		15037
106	B	Blåbär		15124
107	D	Pasta		15252
108	B	Apelsinjuice koncentrat		15273
109	L	Cashewnötter		15394
110	D	Knäckebröd		15503
111	S	Knäckebröd		15628
112	B	Svecia		15753
113	D	Paprika		15788
114	L	Makaroner		15820
115	D	Nötfärs		15922
116	L	Keso		15954
117	D	Blandade grönsaker		15993
118	B	Yougurt		16093
119	B	Müsli		16147
120	D	Broccoli		16204
121	B	Kaviar		16233
122	B	Keso		16281
123	D	Helmjölk		16320
124	B	Hel-vete bröd		16479
125	L	Apple		16664
126	L	Saltat smör		16763
127	L	Knäckebröd		16938
128	D	Majs		17063
129	D	Potatismos		17326
130	B	Korv		17427
131	D	Smörolja		17562
132	L	Blandade grönsaker		17711
133	L	Te		17811
134	L	Sås		17885
135	D	Ost		18011
136	L	Blandfärs		18031
137	D	Fetaost		18052
138	S	Choklad glass		18097
139	L	Nötkött		18215
140	S	Kvarg		18385
141	S	Mandel		18419
142	L	Pasta		18534
143	B	Äppelmos		18555
144	D	Pizza		18655
145	B	Strösocker		18697
146	B	Äppeljuice		18767
147	L	Lök		18883
148	L	Kvarg		19078
149	B	Havre		19112
150	B	Solrosfrön		19205
151	B	Hallon		19309
152	B	Havregrynsgröt		19355
153	S	Ost		19388
154	D	Räkor		19408
155	L	Köttbullar		19528
156	L	Majs		19549
157	B	Blandfärs		19812
158	B	Filmjölk		19833
159	B	Kalles kaviar		19895
160	B	Yoghurt		19940
161	B	Fil		19959
162	S	Vaniljglass		20000
163	D	Pannkaka		20115
164	D	Varmkorv		20254
165	L	Gräddfil		20362
166	D	Banan		20487
167	D	2% mjölk		20761
168	B	Vitt bröd		20912
169	L	Potatismos		21144
170	L	2% mjölk		21245
171	B	Apple		21396
172	S	Strösocker		21495
173	D	Kvarg		21565
174	D	Margarin		21599
175	S	Potatis		21765
176	L	Låg fett fruktyoghurt		21995
177	D	Hamburgare		22153
178	B	Olivolja		22254
179	D	Bregott		22325
180	L	Honung		22373
181	L	Paprika		22477
182	L	Rågbröd		22509
183	B	Smör		22760
184	B	Låg fetthalt vanilj yoghurt		22788
185	D	Köttbullar		22935
186	B	Äggvita		22956
187	D	Gröna ärtor		22993
188	L	Hamburgare		23095
189	S	Kokosolja		23196
190	L	Kycklingbröst		23278
191	D	Grillad fläskkarré		23400
192	S	Gurka		23500
193	S	Tunga vispgrädde		23636
194	L	Kassler		23744
195	S	Äppelpaj		23764
196	L	Salladsdressing med majonnäs		23920
197	B	A-fil		24030
198	B	Crème fraiche		24094
199	B	Gröt		24201
200	S	Chokladkaka		24242
201	S	Tomat		24355
202	S	Keso		24620
203	D	Avokado (livsmedelsverket)		24659
204	S	Honung		24697
205	D	Kokt potatis		24801
206	L	Vitt bröd		24946
207	D	Bacon		25178
208	B	Schweizisk ost		25206
209	B	Naturell yoghurt		25353
210	L	Bregott		25399
211	S	Margarin		25447
212	B	Supergröt blåbär & hallon		25613
213	D	Bakad potatis		25667
214	D	Rostbiff		25816
215	D	Rågbröd		25861
216	L	Mozzarellaost		26112
217	L	Ost		26261
218	B	Pumpafrön		26281
219	B	Hushållsost		26312
220	B	Leverpastej		26333
221	L	Lätta		26372
222	L	Gröna ärtor		26409
223	B	Linfrön		26511
224	S	Morot		26549
225	S	Ostbågar		26716
226	D	Strösocker		26851
227	L	Smörolja		26921
228	B	Majs		27070
229	S	Druvor		27333
230	D	Vitt bröd		27491
231	D	Hackat fläskkött		27723
232	L	Varmkorv		27829
233	B	Apelsin		27937
234	L	Vlcd		27972
235	S	Avokado		28000
236	L	Brunt ris		28128
237	D	Apple		28225
