Row	ID	AllWeights	AllProperties
0	WS23052	1 ถ้วยน้ำ=160|1 ช้อน=10|1 ถ้วย|1 ทัพพี|0.4 ถั่วน้ำซุป	03340|046.65|050.6|0674.5|071.2|080.1|090.15|100.2|110.15|1226|134|14105|154.6
1	WS19234	1 ปานกลาง=44|1 ขนาดใหญ่=50|1 ขนาดเล็ก=38|1 ขนาดใหญ่พิเศษ=56|1 จัมโบ้=63|1 ถ้วย	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
2	WS23052	1 ถ้วยน้ำ=160|1 ช้อน=10|1 ถ้วย|1 ทัพพี|0.4 ถั่วน้ำซุป	03340|046.65|050.6|0674.5|071.2|080.1|090.15|100.2|110.15|1226|134|14105|154.6
3	WS23052	1 ถ้วยน้ำ=160|1 ช้อน=10|1 ถ้วย|1 ทัพพี|0.4 ถั่วน้ำซุป	03340|046.65|050.6|0674.5|071.2|080.1|090.15|100.2|110.15|1226|134|14105|154.6
4	WS21472	1 ถ้วยน้ำ=235|1 ถ้วยเล็ก=180|1 ถ้วยใหญ่=355|1 ถ้วย	032.85|040.1|122|1449|152
5	WS23986	1 ขนม (6 ซม.)=35|1 ปานกลาง=51|1 ขนาดเล็ก=35|1 ขนาดใหญ่=77	03375|046.2|0517.5|0648.5|071.3|083.5|092.5|106.9|116.2|1249|133.3|14225|15940|161
6	WS19234	1 ปานกลาง=44|1 ขนาดใหญ่=50|1 ขนาดเล็ก=38|1 ขนาดใหญ่พิเศษ=56|1 จัมโบ้=63|1 ถ้วย	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
7	WS19234	1 ปานกลาง=44|1 ขนาดใหญ่=50|1 ขนาดเล็ก=38|1 ขนาดใหญ่พิเศษ=56|1 จัมโบ้=63|1 ถ้วย	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
8	WS29399	1 ถ้วยน้ำ=160|1 ชาม=160|1 ถ้วย	03140|044.65|052.05|0625|071.2|080.4|090.4|100.6|110.55|1212|131.45|1438|155|1629|180.1
9	WS21850	1 บรรจุ=245|1 คอนเทนเนอร์ขนาดกลาง=185|1 ถ้วยน้ำ=125|1 แก้ว=125|1 หม้อ=125|2 ชัอนโต๊ะ=15|1 ถ้วย	0394.5|043.85|052.9|0613|0813|091.8|100.7|110.15|12130|14125|1545|169|180.05
10	WS20386	1 ชิ้น=25|1 ชิ้น โดยไม่มีเปลือก=12|1 ถ้วย (เศษ)=45|1 ชิ้นใหญ่ (ลูกบาศก์)=30|1 บางชิ้น=20|1 ชิ้นบาง ๆ ไม่ มีเปลือก (ลูกบาศก์)=9|1 ถ้วย (ลูกบาศก์)=35|1 ชิ้นบางมาก (ลูกบาศก์)=15	03240|0410.5|053.15|0638|078.9|090.65|100.75|111.25|1250|132.25|14225|15450|160.7
