Row	Meal	Name	Brand	Pos
0	L	ข้าวขาว		33
1	B	ไข่		177
2	D	ข้าวขาว		353
3	B	ข้าวขาว		497
4	B	กาแฟ		641
5	S	ขนม		729
6	L	ไข่		881
7	D	ไข่		1057
8	L	ก๋วยเตี๋ยว		1233
9	B	โยเกิร์ตผลไม้ไขมันต่ำ		1363
10	B	ขนมปัง		1546
11	L	ไก่		1815
12	S	โยเกิร์ตผลไม้ไขมันต่ำ		1998
13	S	ชา		2182
14	B	ขนมปังโฮลวีท		2293
15	B	ไก่ทอด		2512
16	S	กาแฟ		2670
17	B	นม 1%		2759
18	D	ขนมปัง		2902
19	S	แอปเปิ้ล		3171
20	B	กาแฟสำเร็จรูป		3425
21	B	กล้วย		3493
22	B	ก๋วยเตี๋ยว		3798
23	S	กล้วย		3929
24	B	ข้าวนึ่ง		4234
25	D	ไก่		4301
26	D	ก๋วยเตี๋ยว		4484
27	B	ข้าวกล้อง		4615
28	D	อกไก่		4754
29	S	ไข่		4881
30	L	ขนมปัง		5058
31	S	ขนมปัง		5327
32	D	ไก่ทอด		5596
33	B	ขนมปังปิ้ง		5754
34	L	หมูสับ		6026
35	L	ข้าวนึ่ง		6138
36	B	ไส้กรอก		6205
37	D	โยเกิร์ตผลไม้ไขมันต่ำ		6323
38	B	หมูสับ		6507
39	L	ผัก		6619
40	L	กาแฟ		6735
41	D	พิซซ่า		6824
42	B	แอปเปิ้ล		6952
43	S	โคล่า		7206
44	D	น้ำผักและผลไม้		7316
45	L	กล้วย		7432
46	D	กล้วย		7737
47	L	โยเกิร์ตผลไม้ไขมันต่ำ		8042
48	L	มะเขือเทศ		8226
49	S	นมสด		8480
50	D	แอปเปิ้ล		8671
51	B	ข้าวโอ๊ต		8925
52	S	แตงโม		9044
53	D	นมสด		9367
54	D	มะเขือเทศ		9558
55	S	ขนมปังปิ้ง		9812
56	L	ปลานิล		10084
57	D	ปลานิล		10189
58	L	นมสด		10294
59	S	เค้กช็อคโกแลต		10485
60	S	ไอศครีมช็อคโกแลต		10618
61	D	หมูสับ		10749
62	L	แอปเปิ้ล		10861
63	L	น้ำมันพืช		11115
64	D	มะม่วง		11204
65	B	หมูตัด		11355
66	B	ชา		11471
67	S	โดนัท		11582
68	D	แครอท		11847
69	B	เบคอน		12140
70	B	ข้าวสวย		12266
71	S	นม 1%		12285
72	S	หมูสับ		12428
73	L	ไก่ทอด		12540
74	L	หมูตัด		12698
75	D	ไส้กรอกหมูอร่อย		12814
76	S	น้ำตาล		12919
77	L	แตงโม		13002
78	L	น้ำตาล		13325
79	B	มะม่วง		13408
80	S	น้ำส้มคั้น		13559
81	L	ถั่วอบกรอบ		13700
82	D	ขนมปังปิ้ง		13763
83	B	ชีสเนยแข็งชนิดหนึ่ง		14035
84	B	ขนมปังฝรั่งเศส		14149
85	B	นมสด		14199
86	B	ปลานิล		14390
87	D	เบคอน		14495
88	L	แครอท		14621
89	D	ข้าวกล้อง		14914
90	S	สีส้ม		15053
91	L	ข้าวสวย		15215
92	S	ข้าวโอ๊ต		15234
93	B	สีส้ม		15353
94	B	ไข่ดาว		15515
95	S	คุกกี้ช็อกโกแลตชิป		15700
96	D	หมูตัด		15819
97	L	ข้าวกล้อง		15935
98	L	ชา		16074
99	S	อัลมอนด์อบ		16185
100	S	สปาเก็ตตี้		16355
101	S	เค้กฟองน้ำ		16464
102	B	ไข่ต้ม		16602
103	D	ชีสเนยแข็งชนิดหนึ่ง		16640
104	D	ข้าวสวย		16755
105	L	ส้มตำ		16775
106	B	ผัก		16795
107	L	ชีสเนยแข็งชนิดหนึ่ง		16912
108	S	น้ำผักและผลไม้		17027
109	B	อกไก่		17144
110	L	ไข่ดาว		17272
111	D	กาแฟ		17458
112	D	ข้าวนึ่ง		17548
113	D	น้ำสลัดกับมายองเนส		17616
114	L	สีส้ม		17763
115	S	กาแฟ 1 ซอง		17926
116	D	ส้มตำ		17947
117	L	อกไก่		17967
118	D	แตงโม		18095
119	B	ก๋วยเตี๋ยวน้ำไก่		18419
120	D	ไข่ต้ม		18571
121	D	มาม่า		18609
122	L	ก๋วยเตี๋ยวน้ำไก่		18629
123	S	นม 2%		18781
124	L	น้ำมันมะกอก		18928
125	B	ไข่ต้มอย่างหนัก		19003
126	S	นม		19215
127	L	ข้าวเหนียว		19314
128	L	ข้าวมันไก่		19334
129	B	ข้าวต้ม		19354
130	L	มาม่า		19374
131	B	ข้าวสวย 1 ทัพพี		19394
132	B	นมถั่วเหลือง		19416
133	D	ข้าวสวย1จาน		19454
134	D	ผัก		19474
135	D	ไข่ดาว		19591
136	D	ฝรั่ง		19777
137	L	เนื้อ		19814
138	S	ข้าวขาว		19978
139	L	ไส้กรอก		20124
140	B	หมูปิ้ง		20243
