Row	Meal	Name	Brand	Pos
0	B	Yumurta		33
1	B	Çay		307
2	B	Ekmek		446
3	B	Domates		685
4	D	Ekmek		940
5	B	Salatalık		1179
6	S	Çay		1419
7	L	Ekmek		1558
8	B	Az yağlı peynir		1797
9	S	Elma		2021
10	B	Haşlanmış yumurta		2314
11	S	Bisküvi		2636
12	B	Tam buğday ekmeği		2815
13	B	Kaşar peyniri		3039
14	L	Domates		3290
15	B	Beyaz peynir		3546
16	S	Kahve		3610
17	D	Yeşil salata		3744
18	D	Beyaz pirinç		4191
19	L	Elma		4307
20	B	%1 süt		4601
21	S	Ekmek		4747
22	D	Domates		4987
23	D	Tavuk		5243
24	L	Tavuk		5438
25	B	Kahve		5633
26	B	Kızarmış ekmek		5767
27	D	Yarım yağlı yoğurt		6045
28	B	Bal		6155
29	S	Çikolatalı kek		6256
30	S	Yumurta		6402
31	L	Yarım yağlı yoğurt		6677
32	L	Çay		6787
33	L	Makarna		6927
34	L	Yumurta		7073
35	B	Zeytin		7348
36	D	Tavuk göğsü		7367
37	B	Mısır gevreği		7746
38	D	Patates kızartması		7994
39	S	Muz		8204
40	D	Tam buğday ekmeği		8627
41	D	Yumurta		8851
42	B	Elma		9126
43	L	Beyaz pirinç		9420
44	L	Kuru fasulye		9536
45	S	Kayısı		9749
46	D	Yayla çorbası		9933
47	S	Karışık Kuruyemiş		10075
48	D	Bulgur pilavı		10238
49	D	Tarhana çorbası		10334
50	D	Şehriye çorbası		10476
51	D	Mercimek çorbası		10628
52	L	Patates kızartması		10801
53	S	Ceviz		11011
54	D	Pirinç pilavı		11274
55	S	Kuru üzüm		11459
56	S	Portakal		11742
57	D	Yeşil fasulye		12023
58	D	Kaşar peyniri		12216
59	B	Çavdar ekmeği		12467
60	L	Çikolatalı kek		12746
61	B	Yulaf ezmesi		12892
62	D	Soğan		13146
63	D	Ayran		13419
64	D	Sade Yoğurt		13556
65	B	Bisküvi		13813
66	S	Çikolatalı kurabiye		13992
67	L	Ayran		14182
68	B	Muz		14319
69	B	Doğal Peynir		14742
70	S	Makarna		14991
71	L	Sütlü çikolata		15137
72	L	Salatalık		15277
73	S	Patlamış mısır		15518
74	S	Kızarmış ekmek		15665
75	B	Simit		15943
76	S	Düşük yağ meyve yoğurt		16197
77	B	Hazır kahve		16278
78	D	Mercimek köftesi		16342
79	S	Tuzlu bisküvi kraker		16527
80	B	Salam		16750
81	B	Reçel		17062
82	D	Havuç		17173
83	D	Kuru fasulye		17488
84	S	Badem		17701
85	L	Çavdar ekmeği		17880
86	L	Tam buğday ekmeği		18159
87	B	Eski moda poğaça		18383
88	S	Az yağlı peynir		18643
89	B	Kepekli ekmek		18868
90	L	Zeytin yağı		18948
91	L	Muz		19025
92	B	Yulaf		19448
93	L	Havuç		19575
94	B	Düşük yağ meyve yoğurt		19890
95	D	Kızarmış ekmek		19971
96	D	Makarna		20249
97	L	Düşük yağ meyve yoğurt		20395
98	S	Fındık		20476
99	L	Sigara böreği		20660
100	L	Kaşar peyniri		20795
101	L	Kepekli tost		21047
102	D	Yoğurt tam yağlı		21323
103	D	Salata		21361
104	L	Kepekli ekmek		21380
105	B	Sahanda yumurta		21461
106	D	Pastırma		21631
107	D	Köfte		21765
108	L	Sade Yoğurt		22096
109	L	Mercimek çorbası		22354
110	S	Çilek		22528
111	D	Kepekli ekmek		22801
112	S	Turuncu		22882
113	B	Turuncu		23021
114	S	Sütlü çikolata		23160
115	B	Beyaz ekmek		23301
116	L	Pirinç pilavı		23593
117	B	Patates kızartması		23779
118	B	Ispanaklı börek		23990
119	S	Armut		24139
120	L	Konserve yeşil bezelye		24321
121	L	Yeşil salata		24432
122	L	Bisküvi		24880
123	S	Hazır kahve		25060
124	B	Fransız ekmeği		25125
125	B	Tam yağlı süt		25282
126	D	Elma		25674
127	B	Patatesli börek		25969
128	B	Pastırma		26106
129	B	Menemen		26240
130	B	Tereyağı yağ		26428
131	D	Şekerli çay		26543
132	B	yağlı peynir		26576
133	D	Yaprak sarma		26676
134	L	Bulgur pilavı		26813
135	L	Haşlanmış yumurta		26910
136	B	Ceviz		27233
137	B	Peynır		27497
138	S	Mandalina (Mandalin Portakal)		27527
139	L	Zeytin		27767
140	D	Çay		27787
141	L	Kahve		27928
142	L	Karisik Tost		28063
143	L	Turuncu		28219
144	S	Çubuk kraker		28358
145	S	Simit		28402
146	B	Biber		28657
147	D	Haşlanmış tavuk		28684
148	S	Sütlü Çikolata (Milka)		28881
149	B	Poğaça		28959
150	D	Patates salatası		28999
151	D	Haşlanmış patates		29158
152	L	Köfte		29366
153	D	Çiğ köfte		29697
154	L	Kepekli bisküvi		29844
155	L	Şehriye çorbası		29883
156	D	Çeşitli Sebzelerle Marul Salatası (Domates ve/veya Havuç'da Dahil Olmak Üzere)		30036
157	D	Mandalina (Mandalin Portakal)		30199
158	D	Kısır		30439
159	D	Tavuk sote		30592
160	B	Karisik Tost		30718
161	S	Gofret		30874
162	B	Maydanoz		30894
163	L	Doğal Peynir		31067
164	B	Krem peynir		31317
165	D	Yeşil çay		31489
166	D	Kremalı mantar çorbası		31570
167	D	Fırında patates		31715
168	L	Çiğ köfte		31906
169	L	Az yağlı peynir		32053
170	L	Tarhana çorbası		32279
171	L	Çikolatalı kurabiye		32422
172	S	Erik		32613
173	L	Soğan		32634
174	B	Sütlü çikolata		32908
175	L	Simit		33049
176	L	Tavuk döner		33304
177	S	Cips		33446
178	L	Salata		33580
179	D	Turşu		33599
180	L	Menemen		33818
181	B	Çok tahıl ekmeği		34006
182	B	Marul		34291
183	B	Sut		34657
184	S	Salatalık		34998
185	D	Sığır eti		35240
186	D	Patates		35611
187	L	Mandalina (Mandalin Portakal)		35803
188	L	Beyaz ekmek		36043
189	L	Eski moda poğaça		36335
190	L	Portakal		36596
191	B	Domates salçası		36878
192	B	Siyah Zeytin		37013
193	B	Mercimek çorbası		37050
194	B	Çilek		37224
195	L	Beyaz peynir		37497
196	L	Çok tahıl ekmeği		37562
197	L	Yoğurt tam yağlı		37847
198	L	Sahanda yumurta		37885
199	D	Portakal		38055
200	L	Hazır kahve		38337
201	D	Konserve yeşil bezelye		38402
202	D	Salatalık		38513
203	D	Patatesli börek		38755
204	D	Kabak yemeği		38892
205	B	Greyfurt		39026
206	S	Domates		39048
207	B	Sade Yoğurt		39305
208	D	Çavdar ekmeği		39563
209	L	Yeşil fasulye		39843
210	B	Yumurta beyazı		40037
211	D	Beyaz ekmek		40162
212	D	Patlıcan Musakka		40454
213	B	Yarım yağlı yoğurt		40589
214	D	Haşlanmış yumurta		40700
215	D	Yaş pasta		41023
216	B	Kepekli tost		41062
217	B	Havuç		41338
218	B	Tost Ekmeği (Uno)		41654
219	B	Yeşil Biber		41767
220	S	Kabak yemeği		41824
221	S	Leblebi		41958
222	S	Ayva		42100
223	L	Patates salatası		42120
224	L	Haşlanmış patates		42279
225	D	Bisküvi		42487
226	B	Un helvası		42667
227	B	Çikolatalı kek		42687
228	B	Meyveli gevreğin		42834
229	B	Portakal		42940
230	B	Yeşil çay		43222
231	L	Sığır eti		43303
232	L	Haşlanmış tavuk		43674
233	L	Fırında patates		43871
234	D	Ispanaklı börek		44062
235	D	Nohut		44211
236	S	Çikolatalı süt		44251
237	B	Sucuk		44399
238	B	Kayısı		44435
239	D	Işık ton balığı konserve		44620
240	B	Haşlanmış patates		44752
241	B	Şeftali		44960
242	S	Hurma		45432
243	D	Karisik Tost		45453
244	D	Tost Ekmeği (Uno)		45609
245	L	Salam		45722
246	S	Eski moda poğaça		46035
247	D	Kızarmış Kepekli Ekmek		46296
248	S	Bitter		46613
249	L	Mercimek köftesi		46634
250	B	Makarna		46820
251	S	Ananas (Katı ve Sıvı, Meyve Suyu Paketi, Konservelenmiş)		46967
252	S	Havuç		47289
253	S	Yeşil çay		47605
254	L	Kremalı mantar çorbası		47686
255	L	Yayla çorbası		47831
256	L	%1 süt		47974
257	L	Leblebi		48121
258	L	Yaprak sarma		48263
259	L	Kızarmış Kepekli Ekmek		48400
260	B	Fıstık Ezmesi (Tuzlu)		48717
261	D	Salam		48912
262	D	Sahanda yumurta		49225
263	D	Sütlü çikolata		49395
264	B	Zeytinyağı		49536
265	D	Sigara böreği		49660
266	D	Eski moda poğaça		49796
267	D	Çok tahıl ekmeği		50057
268	B	Omlet		50342
269	D	Tavuk Göğüs eti		50377
270	D	Ketçap		50578
271	D	Künefe		50782
272	L	Marul		50819
273	L	Kabak yemeği		51185
274	L	Şekerli çay		51319
275	B	Tarhana çorbası		51352
276	L	Turşu		51495
277	B	Baklava		51714
278	L	Yeşil çay		51743
279	L	Kısır		51824
280	B	Patates salatası		51977
281	D	Reçel		52136
282	S	Sade Yoğurt		52248
283	S	Çikolatalı dondurma		52506
284	S	Bal		52628
285	S	Tam yağlı süt		52730
286	D	Mayonez sos		53122
287	D	Yeşil bezelye		53233
288	D	Tavuk döner		53372
