Row	ID	AllWeights	AllProperties
0	WS22586	3 bát=475|1 ly|1 lít	03350|048.8|050.65|0679|071.25|080.1|090.2|100.2|110.15|1227|134.15|14110|154.8
1	WS22586	3 bát=475|1 ly|1 lít	03350|048.8|050.65|0679|071.25|080.1|090.2|100.2|110.15|1227|134.15|14110|154.8
2	WS21566	1 lát=25|1 lớn lát (hình khối)=30|1 lát mỏng=20|2 cái=15|3 o banh mi=25|1 lát mỏng mà không có lớp vỏ (hình khối)=9|1 lát mà không có lớp vỏ=12|1 rất mỏng lát (hình khối)=15|1 ổ	03275|0412|053.5|0650.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
3	WS22585	1 trung=44|1 lớn=50|1 nhỏ=38|1 quả=44|2 trứng=44|1 cực lớn=56|1 ly	03145|0412.5|059.65|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
4	WS22585	1 trung=44|1 lớn=50|1 nhỏ=38|1 quả=44|2 trứng=44|1 cực lớn=56|1 ly	03145|0412.5|059.65|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
5	WS22586	3 bát=475|1 ly|1 lít	03350|048.8|050.65|0679|071.25|080.1|090.2|100.2|110.15|1227|134.15|14110|154.8
6	WS29692	1 đĩa nhỏ=100|1 đĩa vừa=150|0.5 dĩa=50	0365|042.85|050.15|0613|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
7	WS22585	1 trung=44|1 lớn=50|1 nhỏ=38|1 quả=44|2 trứng=44|1 cực lớn=56|1 ly	03145|0412.5|059.65|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
8	WS21567	1 hộp|1 hủ|100 gram	0399.5|044.35|051.2|0618|0819|090.7|100.3|110.05|12150|130.05|14195|1558|164.1|170.7
9	WS24516	1 vú=290|1 cánh=49|1 phần thịt=100|1 đùi=290|2 miếng=32.5|0.7 thịt gà=205|1 v=290|1 c=49|1 miếng nhỏ=180|1 phần=250|0.5 con|0.8 Ức	03235|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
10	WS22584	1 chén lớn=355|1 chén nhỏ=180|2 tách=80|1 ly	033.5|040.1|050.05|122|1449|152
11	WS29692	1 đĩa nhỏ=100|1 đĩa vừa=150|0.5 dĩa=50	0365|042.85|050.15|0613|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
12	WS55065	2 slide=33.5|1 miếng to=150|1.3 s=100	03240|0426.5|0514|094.9|106|111.5|1220|131.1|14340|1557|1688|170.1|180.9
13	WS25454	1 vừa (18 cm đến 20 cm)=120|1 nhỏ (15 cm đến 18 cm)=100|1 rất nhỏ (nhỏ hơn 15 cm)=81|1 lớn (20 cm đến 22 cm)=135|1 vừa=150|1 lớn (22 cm hoặc dài hơn)=150|1 nhỏ=80|1 rất nhỏ (nhỏ hơn 15cm)=81|1 lớn (15 cm đến 18 cm)=100|1 chén (thái lát)=150	0395.5|041.1|050.3|0623|072.05|0816.5|090.1|110.05|127.75|130.4|14385|151|1711.5
14	WS21566	1 lát=25|1 lớn lát (hình khối)=30|1 lát mỏng=20|2 cái=15|3 o banh mi=25|1 lát mỏng mà không có lớp vỏ (hình khối)=9|1 lát mà không có lớp vỏ=12|1 rất mỏng lát (hình khối)=15|1 ổ	03275|0412|053.5|0650.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
15	WS25454	1 vừa (18 cm đến 20 cm)=120|1 nhỏ (15 cm đến 18 cm)=100|1 rất nhỏ (nhỏ hơn 15 cm)=81|1 lớn (20 cm đến 22 cm)=135|1 vừa=150|1 lớn (22 cm hoặc dài hơn)=150|1 nhỏ=80|1 rất nhỏ (nhỏ hơn 15cm)=81|1 lớn (15 cm đến 18 cm)=100|1 chén (thái lát)=150	0395.5|041.1|050.3|0623|072.05|0816.5|090.1|110.05|127.75|130.4|14385|151|1711.5
16	WS22584	1 chén lớn=355|1 chén nhỏ=180|2 tách=80|1 ly	033.5|040.1|050.05|122|1449|152
17	WS25291	1 chén lớn=355|1 tách=235|1 chén nhỏ=180|1 coc=355|1 ly	031.1|060.35|1437|153
18	WS29262	1 tô=160|1 bát=185|1 gói=160|1 ly	03140|044.55|052.15|0625|071.2|080.4|090.4|100.6|110.55|1212|131.45|1438|155|1629|180.1
19	WS24515	1 trung bình (6 cm)=125|1 lớn (8 cm)=180|1 lát (1 cm)=20|1 hình nêm (1/4 của cà chua vừa)=31|1 nhỏ cà chua (6 cm)=91|1 lát dày/lớn (1 cm)=27|2 quả=100|0.8 ly|2 nhỏ cà chua (4cm)	0321|040.8|050.3|064.2|071.2|083.2|090.05|100.05|110.15|128.9|130.2|14225|151.7|1717.5
20	WS21566	1 lát=25|1 lớn lát (hình khối)=30|1 lát mỏng=20|2 cái=15|3 o banh mi=25|1 lát mỏng mà không có lớp vỏ (hình khối)=9|1 lát mà không có lớp vỏ=12|1 rất mỏng lát (hình khối)=15|1 ổ	03275|0412|053.5|0650.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
21	WS25452	1 chén lớn=355|1 hộp=355|1 chén nhỏ=180|1 ly lớn=355|1 ly	0341.5|043.4|050.95|065|085.2|090.65|100.3|110.05|12125|130.05|14150|1544|165|181.2
22	WS24515	1 trung bình (6 cm)=125|1 lớn (8 cm)=180|1 lát (1 cm)=20|1 hình nêm (1/4 của cà chua vừa)=31|1 nhỏ cà chua (6 cm)=91|1 lát dày/lớn (1 cm)=27|2 quả=100|0.8 ly|2 nhỏ cà chua (4cm)	0321|040.8|050.3|064.2|071.2|083.2|090.05|100.05|110.15|128.9|130.2|14225|151.7|1717.5
23	WS25454	1 vừa (18 cm đến 20 cm)=120|1 nhỏ (15 cm đến 18 cm)=100|1 rất nhỏ (nhỏ hơn 15 cm)=81|1 lớn (20 cm đến 22 cm)=135|1 vừa=150|1 lớn (22 cm hoặc dài hơn)=150|1 nhỏ=80|1 rất nhỏ (nhỏ hơn 15cm)=81|1 lớn (15 cm đến 18 cm)=100|1 chén (thái lát)=150	0395.5|041.1|050.3|0623|072.05|0816.5|090.1|110.05|127.75|130.4|14385|151|1711.5
24	WS24516	1 vú=290|1 cánh=49|1 phần thịt=100|1 đùi=290|2 miếng=32.5|0.7 thịt gà=205|1 v=290|1 c=49|1 miếng nhỏ=180|1 phần=250|0.5 con|0.8 Ức	03235|0427|0513.5|093.8|105.35|112.95|1215|131.25|14225|1582|1688
25	WS29263	1 miếng=285|1 lát mỏng=27|1 lát dày=85|1 sườn=270|1 lưỡi=245|1 lạng=100|1 lít|1 thịt thăn bò (nạc)	03280|0427.5|0519|097.75|108.45|110.7|129|132.7|14320|1563|1687|180.3
26	WS29263	1 miếng=285|1 lát mỏng=27|1 lát dày=85|1 sườn=270|1 lưỡi=245|1 lạng=100|1 lít|1 thịt thăn bò (nạc)	03280|0427.5|0519|097.75|108.45|110.7|129|132.7|14320|1563|1687|180.3
27	WS21566	1 lát=25|1 lớn lát (hình khối)=30|1 lát mỏng=20|2 cái=15|3 o banh mi=25|1 lát mỏng mà không có lớp vỏ (hình khối)=9|1 lát mà không có lớp vỏ=12|1 rất mỏng lát (hình khối)=15|1 ổ	03275|0412|053.5|0650.5|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
28	WS55065	2 slide=33.5|1 miếng to=150|1.3 s=100	03240|0426.5|0514|094.9|106|111.5|1220|131.1|14340|1557|1688|170.1|180.9
29	WS22585	1 trung=44|1 lớn=50|1 nhỏ=38|1 quả=44|2 trứng=44|1 cực lớn=56|1 ly	03145|0412.5|059.65|060.75|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
30	WS31113	1 phục vụ=125|0.1 phục=25|9 miếng=125	03295|0425.5|0521|097.7|109.25|111.85|1222|131.3|14360|1573|1694|170.7|180.5
31	WS37487	1 lớn=180|1 củ=150|1 nhỏ=60|1 củ to=150|1 đĩa nhỏ=200|3 củ nhỏ=90|1 củ vừa=105|1 đĩa vừa=500|2 trung=180|1 ly|0.5 c	0379|041.4|050.15|0618|072.55|085.75|090.05|110.05|1227|130.75|14230|1527|1713
32	WS29693	1 phi lê=115|1 p=100	0396|0420|051.7|090.6|100.5|110.35|1210|130.55|14300|1552|1650.5|183.1
33	WS29271	1 bánh=40|1 bánh (15 cm)=73	03260|045.3|056.9|0638.5|071|088.3|091.15|101.55|113.85|1278|135.65|1490|15460|1618|170.3
34	WS29941	1 cốc=100|1 chén nhỏ=180|1 có thể=355|1 ly	03190|040.2|050.7|0650|070.3|0844.5|090.05|110.05|127|130.1|1472|157|1713
35	WS29941	1 cốc=100|1 chén nhỏ=180|1 có thể=355|1 ly	03190|040.2|050.7|0650|070.3|0844.5|090.05|110.05|127|130.1|1472|157|1713
36	WS29263	1 miếng=285|1 lát mỏng=27|1 lát dày=85|1 sườn=270|1 lưỡi=245|1 lạng=100|1 lít|1 thịt thăn bò (nạc)	03280|0427.5|0519|097.75|108.45|110.7|129|132.7|14320|1563|1687|180.3
37	WS48193	1 phi lê=160|0.5 khuc=80|1 chép=160|1 khúc=100	03120|0415|055.95|091.3|102.55|111.1|128|130.25|14300|1598|1655|180.2
38	WS25873	1 lát=25|1 lớn lát (hình khối)=30|1 lát mỏng=20|1 lát mỏng mà không có lớp vỏ (hình khối)=9|1 lát mà không có lớp vỏ=12|1 rất mỏng lát (hình khối)=15	03310|0412.5|053.85|0656|074.55|086.2|090.95|101|111.7|12165|134.1|14225|15605|170.2
39	WS25874	1 gói=2|1 muỗng cà phê	03210|0412.5|0513|0667.5|0765
40	WS31880	1 lát=8|1 lát dày=12|1 lát mỏng=5	03540|0437|0542|061.45|0913.5|1018.5|114.55|1211|131.45|14565|151700|16110|181
41	WS24515	1 trung bình (6 cm)=125|1 lớn (8 cm)=180|1 lát (1 cm)=20|1 hình nêm (1/4 của cà chua vừa)=31|1 nhỏ cà chua (6 cm)=91|1 lát dày/lớn (1 cm)=27|2 quả=100|0.8 ly|2 nhỏ cà chua (4cm)	0321|040.8|050.3|064.2|071.2|083.2|090.05|100.05|110.15|128.9|130.2|14225|151.7|1717.5
42	WS29941	1 cốc=100|1 chén nhỏ=180|1 có thể=355|1 ly	03190|040.2|050.7|0650|070.3|0844.5|090.05|110.05|127|130.1|1472|157|1713
