Row	Meal	Name	Brand	Pos
0	L	Gạo trắng		33
1	D	Gạo trắng		146
2	B	Bánh mì		259
3	B	Trứng		533
4	L	Trứng		699
5	B	Gạo trắng		865
6	L	Hỗn hợp rau		978
7	D	Trứng		1106
8	S	Sữa chua trái cây chất béo thấp		1272
9	L	Gà		1388
10	B	Cà phê		1598
11	D	Hỗn hợp rau		1687
12	L	Cắt giảm thịt lợn		1816
13	B	Chuối		1939
14	D	Bánh mì		2273
15	S	Chuối		2548
16	S	Cà phê		2882
17	S	Trà		2971
18	B	Mì		3061
19	D	Cà chua		3195
20	S	Bánh mì		3472
21	B	1% sữa		3747
22	L	Cà chua		3901
23	L	Chuối		4178
24	D	Gà		4512
25	L	Thịt bò		4723
26	D	Thịt bò		4905
27	L	Bánh mì		5087
28	D	Cắt giảm thịt lợn		5362
29	S	Trứng		5485
30	L	Mặt đất thịt lợn		5652
31	S	Khoai lang		5779
32	D	Cá rô phi		5986
33	B	Bánh		6090
34	S	Nước chanh		6220
35	B	Nước chanh		6349
36	B	Thịt bò		6478
37	L	Cá da trơn		6660
38	B	Bánh mì nướng		6789
39	B	Cà phê hòa tan		7036
40	B	Thịt xông khói		7101
41	B	Cà chua		7226
42	D	Nước chanh		7503
43	L	Mỡ lợn		7632
44	B	Trà		7698
45	S	Bánh mì nướng		7788
46	S	Dưa hấu		8035
47	D	Tôm		8391
48	B	Khoai lang		8527
49	S	Mì		8734
50	S	Xoài		8868
51	D	Cà rốt		9051
52	L	Trà		9281
53	D	Thịt xông khói		9371
54	B	Bột yến mạch		9496
55	L	Sữa chua trái cây chất béo thấp		9615
56	D	Xúc xích		9732
57	L	Cà rốt		9875
58	L	Gạo lứt		10105
59	D	Sữa nguyên chất		10162
60	L	Dưa leo chua		10313
61	B	Sữa chua trái cây chất béo thấp		10462
62	B	Dưa hấu		10579
63	L	Mùa hè bí		10935
64	D	Mì		11092
65	S	Sô cô la sữa		11226
66	L	Mì		11371
67	B	Yến mạch		11505
68	D	Sữa chua trái cây chất béo thấp		11646
69	D	Hành tây		11763
70	S	Sữa sô cô la		12003
71	L	Cà phê		12129
72	D	Trà		12218
73	D	Ngô		12308
74	L	Dứa		12555
75	L	Dầu ô liu		12821
76	B	Sữa chua nhẹ tăng cường chất trái cây chất béo thấp		12908
77	B	Ngô		13032
78	L	Rau diếp xoăn xanh		13279
79	L	Cải xoăn		13375
80	S	Ngô		13478
81	B	Bánh mì Pháp		13725
82	B	Dứa		13873
83	S	Bỏng ngô		14139
84	D	Bánh mì nướng		14243
85	L	Cải bắp		14490
86	D	Hạt hướng dương rang		14737
87	S	Thạch		14837
88	L	Nướng thịt lợn thăn		14948
89	L	Màu xanh lá cây đậu Hà Lan		15050
90	S	Cà rốt		15149
91	S	Bơ đậu phộng		15379
92	L	Cơm		15483
93	L	Khoai lang		15502
94	D	Gạo lứt		15709
95	D	Dưa chuột		15766
96	S	Súp mì gà		15967
97	L	Bún		16100
98	L	Nướng đậu		16119
99	B	Cá hồi		16178
100	D	Chuối		16268
101	D	Khoai lang		16603
102	L	Cá rô phi		16811
103	D	Bỏng ngô		16916
104	S	Dâu tây		17021
105	L	Cơm trắng		17261
106	L	Chiên trứng		17298
107	S	Cá hồi		17498
108	L	Nước cam tươi		17589
109	B	Bún		17724
110	B	Sữa nguyên chất		17744
111	L	Tôm		17896
112	B	Cơm		18033
113	B	Gạo lứt		18053
114	B	Xúc xích		18111
115	L	Lợn Nướng Chả		18255
116	L	Xoài		18276
117	B	Xoài		18460
118	D	Bún		18644
119	D	Dưa hấu		18664
120	B	Sữa		19021
121	L	Táo		19059
