Row	ID	AllWeights	AllProperties
0	WS19574	1 中期=44|1 中等=44|1 大=50|1 小=38|2 中=76|2 特大=110|1 珍宝=63|1 顆=44|1 大汤匙|1 珍寶=63	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
1	WS22376	1 片=25|1 大切片 （多维数据集）=30|1 薄切片=20|1 片无外壳=12|4 片 （多维数据集）=300|2 薄层无外壳 （多维数据集）=18|3 片土司=36|1 杯 （麵包屑）=45|1 杯 （多維資料集）=35|1 大切片 （多維資料集）=30|1 薄層無外殼 （多維資料集）=9|1 非常薄切片 （多維資料集）=15	03325|0412.5|054.05|0656|074.45|086.05|090.9|101|111.7|12165|134.1|14225|15610|170.2
2	WS113600		03310|046.45|050.6|0672|071.15|080.1|090.15|100.2|110.15|1225.5|133.85|14105|154.4
3	WS115377		03285|0410.5|053.5|0650|074.2|086.1|090.8|100.65|111.6|12140|133.5|14180|15520|170.2
4	WS22380	1 杯 （240毫升）=200|1 杯（咖啡杯大小） （180毫升）=200|1 大杯=355|1 小杯=180|1 大汤匙|100 毫升	031.9|040.15|050.05|060.1|1451|152.25
5	WS113600		03310|046.45|050.6|0672|071.15|080.1|090.15|100.2|110.15|1225.5|133.85|14105|154.4
6	WS19574	1 中期=44|1 中等=44|1 大=50|1 小=38|2 中=76|2 特大=110|1 珍宝=63|1 顆=44|1 大汤匙|1 珍寶=63	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
7	WS19574	1 中期=44|1 中等=44|1 大=50|1 小=38|2 中=76|2 特大=110|1 珍宝=63|1 顆=44|1 大汤匙|1 珍寶=63	03145|0412.5|059.5|060.7|080.35|093.15|103.65|111.9|1256|131.75|14140|15140|16370|182
8	WS50366	0.5 杯嗯=200|0.5 份=91|0.5 大汤匙	0364.5|042.85|050.15|0613|074.4|083.1|090.05|110.05|1225|130.8|14170|1535|173.2
9	WS19576	1 个，中型的 （18厘米- 20厘米长）=120|1 小 （15 釐米至 18 釐米）=100|1 个，小的 （15厘米- 17.5厘米长=100|1 特大 (22 釐米或更長時間）)=150|1 个，特大的 （23厘米或更长）=150|1 特大 22 厘米或更长时间）=150|1 根/条，特小型 （少于15厘米长）=81|0.5 額外小 （小於 15 釐米）=40.5|1 份=125|1 大 （20 厘米至 22 厘米=135|1 小 （15 厘米至 18 厘米）=100|1 杯，泥状=225|1 丰條|1 杯 （切片）=150|1 杯 (土豆泥)=225	0388.5|041.1|050.35|0623|072.6|0812|090.1|100.05|110.05|14360|150.9
