Row	Meal	Name	Brand	Pos
0	B	蛋		33
1	B	吐司		205
2	L	白米饭		470
3	B	面包		566
4	B	咖啡		664
5	D	白米饭		783
6	L	蛋		879
7	D	蛋		1051
8	L	混合的蔬菜		1223
9	S	香蕉		1342
10	S	饼干		1705
11	B	香蕉		1785
12	S	茶		2149
13	S	面包		2204
14	B	燕麦		2303
15	D	香蕉		2380
16	B	香草奶昔		2744
17	B	1%牛奶		2902
18	S	苹果		3018
19	L	面包		3095
20	S	咖啡		3194
21	L	香蕉		3314
22	L	番茄		3678
23	B	全脂牛奶		3975
24	L	白飯		4124
25	B	燕麥		4143
26	B	速溶咖啡		4252
27	D	面包		4296
28	D	白米飯		4395
29	B	麵包		4514
30	L	便當		4657
31	B	茶		4677
32	L	蘋果		4732
33	S	餅乾		4960
34	D	牛肉		5092
35	D	白菜		5261
36	L	牛肉		5525
37	D	吐司		5694
38	B	全麦面包		5960
39	S	蛋		6046
40	B	煎饼		6219
41	D	番茄		6324
42	S	吐司		6621
43	B	苹果		6887
44	B	浓缩的豆浆		6964
45	B	蘋果		7063
46	L	面条		7291
47	D	饺子		7376
48	S	低脂肪水果酸奶		7459
49	D	白飯		7529
50	L	白米飯		7548
51	L	麵包		7667
52	L	苹果		7810
53	D	胡萝卜		7887
54	L	茶		7980
55	D	苹果		8035
56	L	胡萝卜		8112
57	S	西瓜		8205
58	D	雞胸肉		8472
59	L	白菜		8518
60	S	腰果		8782
61	D	面条		8923
62	B	培根		9008
63	B	花生醬		9132
64	B	芭樂		9236
65	B	鸡蛋		9256
66	L	高麗菜		9342
67	B	白菜		9360
68	L	豆漿		9624
69	B	燕麥粥		9660
70	B	豆漿		9768
71	D	玉米		9804
72	B	奶茶		10051
73	B	白米饭		10094
74	S	橙		10191
75	L	芭樂		10270
76	B	面条		10290
77	B	番茄		10375
78	D	洋葱		10672
79	D	酸奶		10744
80	L	玉米		10789
81	D	高麗菜		11036
82	S	蘋果		11054
83	L	橙		11282
84	S	巧克力饼干		11361
85	B	白吐司		11452
86	L	橄欖油		11643
87	D	巧克力饼干		11726
88	B	白米飯		11817
89	B	燕麦粥		11936
90	L	燕麥		12022
91	D	芭樂		12131
92	B	黑米粥		12151
93	B	玉米		12184
94	L	烤的雞肉		12431
95	D	橙		12576
96	S	核桃		12655
97	S	番茄		12842
98	B	切达干酪		13139
99	B	蛋餅		13171
100	L	胡蘿蔔		13192
101	S	牛奶巧克力		13406
102	S	牛肉		13544
103	D	餅乾		13714
104	L	水餃		13847
105	B	饅頭		13867
106	B	低脂肪水果酸奶		13887
107	L	茄子		13958
108	D	胡蘿蔔		14029
109	L	咖啡		14243
110	B	花生酱		14364
111	B	低脂牛奶		14446
112	D	全脂牛奶		14487
113	S	花生醬		14637
114	B	冷凍的披薩		14742
115	L	吐司		14866
116	B	玉米片		15133
117	B	全麥麵包		15254
118	B	法国面包		15398
119	D	鳳梨		15442
120	D	豬肉		15527
121	S	硬糖		15564
122	B	黄瓜		15629
123	B	橙		15708
124	B	牛奶		15788
125	B	即溶咖啡		15869
126	B	肉包子		15923
127	S	玉米		15968
128	L	地瓜		16216
129	L	雞胸肉		16253
130	D	黄瓜		16300
131	D	便當		16379
132	D	咖啡		16400
133	S	麵包		16521
134	S	鳳梨		16665
135	S	奶茶		16750
136	S	乳酪泡芙		16794
137	L	奇異果		16921
138	B	火腿		16957
139	L	黄瓜		17068
140	D	冰淇淋		17147
141	D	豆漿		17237
142	B	切達乾酪		17274
143	B	地瓜		17373
144	B	飯糰		17410
145	D	地瓜葉		17431
146	L	餅乾		17450
147	D	洋蔥		17583
148	D	生菜		17782
149	D	水餃		18039
150	L	通心粉		18059
151	L	火腿		18171
152	L	香腸		18282
153	L	芒果		18324
154	L	冰淇淋		18454
155	D	木瓜		18544
156	L	全脂牛奶		18631
157	B	拿鐵		18781
158	B	橄欖油		18801
159	D	奇異果		18885
160	D	培根		18921
161	D	地瓜		19046
162	L	腰果		19083
163	L	紅茶		19225
164	D	咸烤的花生		19244
165	L	鳳梨		19355
166	B	纯牛奶		19440
167	D	麵包		19483
168	B	炒麵		19627
169	B	玉米濃湯		19647
170	B	奇異果		19733
171	B	硬煮的雞蛋		19769
172	B	三明治		19920
173	S	白米饭		19941
174	D	飯		20039
175	B	蜂蜜		20060
176	B	蘿蔔糕		20081
177	B	糙米		20120
178	B	無糖豆漿		20231
179	B	脱脂牛奶		20250
180	B	水煎包		20337
181	B	濃縮的豆漿		20358
182	L	猪肉削减		20480
183	B	咖啡（加糖）		20568
184	D	法國麵包		20618
185	D	橘子		20755
186	D	饅頭		20841
187	B	混合的蔬菜		20861
188	D	蘋果		20982
189	L	全麦吐司		21211
190	L	鸡蛋		21307
191	L	草莓		21394
192	L	無糖豆漿		21635
193	L	低脂肪水果酸奶		21654
194	L	洋蔥		21725
195	D	葡萄		21924
196	B	優格		22051
197	S	芭樂		22071
198	S	橙色		22092
199	L	白吐司		22227
200	L	苦瓜		22419
201	L	花生醬		22440
202	L	青江菜		22545
203	L	土司		22565
204	L	皮蛋瘦肉粥		22667
205	L	奶茶		22688
206	B	全麥饅頭		22732
207	B	白飯		22753
208	B	餅乾		22773
209	B	全麦吐司		22906
210	B	馬鈴薯		23002
211	B	熱狗		23064
212	L	鴨肉		23098
213	B	牛肉		23169
214	B	蜂蜜蛋糕		23339
215	B	烤的雞肉		23442
216	S	巧克力		23588
217	L	拿鐵		23637
218	B	薯條		23657
219	L	乾麵		23678
220	L	土豆汤		23768
221	L	巧克力蛋糕		23858
222	L	雞排		23974
223	L	豬肉		23995
224	L	烤的火腿		24032
225	L	生菜		24136
226	S	即溶咖啡		24393
227	S	葡萄		24447
228	L	炒米粉		24574
229	D	土司		24598
230	B	巧克力蛋糕		24700
231	D	切达干酪		24816
232	D	肉餅		24849
233	D	西瓜		24869
234	B	干米粉		25137
235	B	裡斯的泡芙		25215
236	B	法國麵包		25329
237	B	腰果		25466
238	B	紅茶		25608
239	B	雞胸肉		25627
240	D	優格		25674
241	D	花生醬		25694
242	B	拿鐵咖啡		25799
243	B	生菜		25852
244	B	煎蛋		26109
245	B	肉包		26130
246	B	鳳梨		26151
247	B	漢堡		26236
248	L	滷蛋		26270
249	L	海苔		26290
250	D	梨		26330
251	L	巧克力		26514
252	D	濃縮的豆漿		26563
253	L	年糕		26685
254	L	蕎麥麵		26706
255	L	魷魚		26726
256	B	肉餅		26760
257	D	泡菜		26780
258	S	米糕		26884
259	S	木瓜		26904
260	S	橘子		26991
261	S	草莓		27077
262	S	海苔		27318
263	S	飯		27358
264	S	法国面包		27379
265	S	皮蛋瘦肉粥		27423
266	S	全麦面包		27444
267	D	滷蛋		27531
268	S	鮮奶茶		27551
269	D	炒蛋		27636
270	D	煮熟的西兰花（新鲜）		27783
271	D	羊肉		27863
272	D	茶葉蛋		27933
273	D	燕麥		28034
274	D	茄子		28144
275	D	炒麵		28215
276	D	南瓜		28235
277	L	地瓜葉		28254
278	D	硬煮的雞蛋		28273
279	L	燒肉		28424
280	S	速溶咖啡		28446
281	B	洋葱		28491
282	L	炒麵		28564
283	L	雞肉		28584
284	B	巧克力饼干		28624
285	B	鮮奶茶		28716
286	B	豬肉		28801
287	B	硬糖		28838
288	B	海绵蛋糕		28903
289	B	巧克力牛奶		28980
290	B	雞肉		29090
291	B	土司		29130
292	L	切達乾酪		29232
293	B	起司		29331
294	B	番薯		29365
295	L	白菜汤		29403
296	B	草莓		29487
297	B	水餃		29728
298	B	橙色		29748
299	B	堅果		29883
300	L	義大利麵		29904
301	B	橙汁		29925
302	B	冰淇淋		30010
303	B	火腿片（瘦肉）		30100
304	B	地瓜葉		30180
305	B	葡萄		30199
306	B	咖啡牛奶		30326
307	B	乾麵		30378
308	B	烤的火腿		30468
309	B	木瓜		30572
310	B	蔬菜和水果的果汁		30659
311	B	核桃		30754
312	B	油豆腐		30942
313	L	西瓜		30963
314	B	水果		31231
315	B	燒肉		31252
316	B	紅豆薏仁		31274
317	B	黑糖饅頭		31296
318	B	莧菜		31317
319	B	飯		31347
320	B	李子		31368
321	B	魷魚		31438
322	B	玉米蛋餅		31472
323	B	麵		31493
324	B	西瓜		31514
325	B	蔥抓餅		31782
326	D	脱水豆腐		31802
327	D	玉米濃湯		31879
328	D	芒果		31965
329	L	海綿蛋糕		32095
330	D	乾麵		32222
331	L	葡萄		32312
332	D	蛋糕		32439
333	D	白蘑菇		32527
334	D	糙米		32651
335	D	蕃茄		32762
336	D	紅茶		32782
337	D	切達乾酪		32801
338	D	壽司		32900
339	D	紅豆薏仁		32920
340	D	拿鐵		32942
341	D	堅果		32962
342	D	義大利麵		32983
343	D	米糕		33004
344	S	鸡蛋		33024
345	S	水煎包		33111
346	S	濃縮的豆漿		33132
347	S	漢堡		33254
348	S	地瓜		33288
349	S	牛奶		33325
350	S	蘿蔔糕		33406
351	S	無糖豆漿		33445
352	D	熱狗		33464
353	D	低脂肪水果酸奶		33498
354	L	梨		33569
355	L	培根		33753
356	L	南瓜		33878
357	D	Chicken		33897
358	L	壽司		33980
359	L	香草奶昔		34000
360	D	莧菜		34159
361	L	荷包蛋		34189
362	D	牛奶		34273
363	L	木瓜		34354
364	L	肉圓		34441
365	L	蕃茄		34461
366	L	水煎包		34481
367	L	豬排		34502
368	L	速溶咖啡		34553
369	L	地面猪肉		34598
370	D	蘿蔔糕		34690
371	L	白蘑菇		34729
372	L	熱狗		34853
373	D	苦瓜		34887
374	D	肉包		34908
375	L	糙米		34929
376	L	麵		35040
377	L	蜂蜜		35061
378	L	蛋餅		35082
379	L	麥片		35104
380	L	油豆腐		35138
381	L	煎蛋		35159
382	D	李子		35180
383	D	蕎麥麵		35250
384	D	拿鐵咖啡		35270
385	D	干米粉		35323
386	D	全麥饅頭		35401
387	D	蔥油餅		35422
388	D	漢堡		35443
389	D	雞排		35477
390	D	豬肝		35498
391	D	馬鈴薯		35519
392	D	魷魚		35581
393	D	油豆腐		35615
394	D	青江菜		35636
395	D	煎蛋		35656
396	D	肉圓		35677
397	D	荷包蛋		35697
398	D	芋頭糕		35781
399	D	奶茶		35814
400	D	法国面包		35858
401	D	鴨肉		35902
402	S	多多		35973
403	S	蜂蜜		35993
404	S	麵		36014
405	S	酸奶		36035
406	S	豆漿		36081
407	S	口香糖		36118
408	S	水梨		36184
409	S	番薯		36206
410	S	堅果		36244
411	D	水果		36265
412	S	鬆餅		36286
413	S	豬血湯		36309
414	S	蛋糕		36329
415	S	土司		36417
416	S	饅頭		36519
417	S	芒果		36539
418	S	白吐司		36669
419	S	海綿蛋糕		36861
420	S	肉圓		36988
421	S	拿鐵咖啡		37008
422	S	全麥麵包		37061
423	D	雞肉		37205
424	D	拉面		37245
425	D	花生酱		37349
426	D	全麦吐司		37431
427	D	薯條		37527
428	D	火腿		37548
429	D	香腸		37659
430	D	硬糖		37701
431	D	全麦面包		37766
432	D	白粥		37853
433	S	纯牛奶		37886
434	D	巧克力牛奶		37929
